"__leidenCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"128","1.0","0.3452539107430412","1.0","0.2644927536231884","24","1","false","PROCR","7.083333333333333","0","24","1","1","1","0","1.0","false","0","PROCR","406","0.2951388888888889"
"129","1.0","0.38986928104575164","1.0","0.2679738562091503","18","1","false","SPP1","5.555555555555555","0","18","1","1","1","0","1.0","false","0","SPP1","224","0.30864197530864196"
"129","1.8333333333333333","0.0016339869281045752","0.5454545454545455","0.6666666666666666","3","2","false","RFESD","11.666666666666666","0","3",,"0","0","0","0.9537037037037037","false","0","RFESD","2","0.6481481481481481"
"46","1.78125","0.010411866359447002","0.5614035087719298","0.35714285714285715","10","3","false","NFKB1","11.875","0","9","1","1","1","0","0.9720982142857143","false","1","NFKB1","52","0.39166666666666666"
"27","1.1538461538461537","0.17026873126873127","0.8666666666666667","0.2683982683982684","24","2","false","PRKACA","8.090909090909092","0","23","1","1","1","0","0.9940828402366864","false","1","PRKACA","338","0.3111888111888112"
"88","1.6666666666666667","0.013988095238095237","0.6","0.5","8","2","false","IGHV7-81","10.5","0","8","0","0","0","0","0.9722222222222222","false","0","IGHV7-81","28","0.4375"
"88","1.0","0.34731280193236713","1.0","0.2463768115942029","26","1","false","BMP2","6.666666666666667","0","25","1","1","1","0","1.0","false","1","BMP2","416","0.2777777777777778"
"133","1.0","0.9","1.0","0.1","7","1","false","MAPK1","1.4","0","6","1","1","1","0","1.0","false","1","MAPK1","18","0.4"
"133","1.8","0.0","0.5555555555555556","0.0","1","2","false","RNF157","5.0","0","1",,"0","0","0","0.8400000000000001","false","0","RNF157","0","0.0"
"129","1.3888888888888888","0.08850762527233116","0.72","0.34545454545454546","11","2","false","CC2D1B","6.818181818181818","0","11","0","0","0","0","0.9783950617283951","false","0","CC2D1B","72","0.3787878787878788"
"116","0.0","0.0","0.0","0.0","0","0","true","IFNK","0.0","0","0",,"0","0","0","Infinity","false","0","IFNK","0","0.0"
"134","1.0","0.5740740740740741","1.0","0.25","11","1","false","CASP3","3.0","0","10","1","1","1","0","1.0","false","1","CASP3","54","0.3333333333333333"
"123","1.0","0.4141414141414142","1.0","0.25757575757575757","14","1","false","SRC","3.8333333333333335","0","13","1","1","1","0","1.0","false","1","SRC","98","0.3194444444444444"
"123","1.5833333333333333","0.013888888888888888","0.6315789473684211","0.7","5","2","false","COL4A4","7.0","0","5","0","0","0","0","0.9513888888888888","false","0","COL4A4","6","0.5833333333333334"
"11","2.25","0.0","0.4444444444444444","0.0","1","3","false","RPS27L","2.0","0","1","0","0","0","0","0.5833333333333334","false","0","RPS27L","0","0.0"
"128","1.7083333333333333","0.012755923625488842","0.5853658536585367","0.38095238095238093","7","2","false","TMEM41A","11.0","0","7","0","0","0","0","0.9704861111111112","false","0","TMEM41A","26","0.4583333333333333"
