"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"19","1.2142857142857142","0.7967032967032968","0.823529411764706","0.10909090909090909","11","2","false","COL5A1","2.4545454545454546","0","11","1","1","1","0","0.9805194805194806","false","0","COL5A1","176","0.19834710743801653"
"1","2.8344827586206898","0.0769814790829835","0.35279805352798055","0.3333333333333333","3","5","false","RAB38","23.333333333333332","0","3","0","0","0","0","0.9745210727969348","false","0","RAB38","10362","0.5111111111111111"
"10","1.9333333333333333","0.0","0.5172413793103449","1.0","3","3","false","SRRM5","20.0","0","3","0","0","0","0","0.967816091954023","false","0","SRRM5","0","0.6896551724137931"
"10","1.0333333333333334","0.4925661375661376","0.9677419354838709","0.19950738916256158","29","2","false","PROCR","6.620689655172414","0","29","1","1","1","0","0.9988505747126436","false","0","PROCR","704","0.2206896551724138"
"15","1.05","0.503421052631579","0.9523809523809523","0.23976608187134502","19","2","false","SPP1","5.368421052631579","0","19","1","1","1","0","0.9973684210526316","false","0","SPP1","296","0.27977839335180055"
"15","1.9","0.0013157894736842105","0.5263157894736842","0.6666666666666666","3","3","false","RFESD","12.0","0","3",,"0","0","0","0.9526315789473685","false","0","RFESD","2","0.631578947368421"
"4","2.0701754385964914","0.020104979508342422","0.48305084745762705","0.21818181818181817","13","3","false","NFKB1","10.363636363636363","0","12","1","1","1","0","0.979016167870657","false","1","NFKB1","364","0.2545454545454545"
"13","1.1538461538461537","0.17945188145188146","0.8666666666666667","0.2554112554112554","24","2","false","PRKACA","7.818181818181818","0","23","1","1","1","0","0.9940828402366864","false","1","PRKACA","344","0.3006993006993007"
"14","1.7692307692307692","0.00675091575091575","0.5652173913043479","0.5714285714285714","7","3","false","IGHV7-81","11.285714285714286","0","7","0","0","0","0","0.9692307692307692","false","0","IGHV7-81","18","0.4514285714285714"
"14","1.0384615384615385","0.4281963933502395","0.9629629629629629","0.22","27","2","false","BMP2","6.32","0","26","1","1","1","0","0.9984615384615384","false","1","BMP2","508","0.2512"
"28","1.1428571428571428","0.9047619047619047","0.875","0.06666666666666667","8","2","false","MAPK1","1.5","0","7","1","1","1","0","0.9761904761904763","false","1","MAPK1","38","0.2777777777777778"
"28","1.7142857142857142","0.2857142857142857","0.5833333333333334","0.0","2","2","false","RNF157","3.5","0","2",,"0","0","0","0.8809523809523809","false","0","RNF157","12","0.5"
"15","1.5","0.0712719298245614","0.6666666666666666","0.34545454545454546","11","3","false","CC2D1B","6.909090909090909","0","11","0","0","0","0","0.9736842105263158","false","0","CC2D1B","72","0.36363636363636365"
"7","1.9736842105263157","0.0","0.5066666666666667","0.0","1","2","false","IFNK","38.0","0","1",,"0","0","0","0.974376731301939","false","0","IFNK","0","0.0"
"25","1.1818181818181819","0.5212121212121211","0.8461538461538461","0.25","11","2","false","CASP3","3.2222222222222223","0","10","1","1","1","0","0.9797979797979798","false","1","CASP3","78","0.29292929292929293"
"20","1.0714285714285714","0.6245421245421245","0.9333333333333333","0.20512820512820512","15","2","false","SRC","3.5384615384615383","0","14","1","1","1","0","0.9945054945054945","false","1","SRC","148","0.28205128205128205"
"20","1.7142857142857142","0.010073260073260072","0.5833333333333334","0.7","5","3","false","COL4A4","7.0","0","5","0","0","0","0","0.9450549450549451","false","0","COL4A4","6","0.5384615384615384"
"24","1.9090909090909092","0.0","0.5238095238095238","0.0","1","2","false","RPS27L","11.0","0","1","0","0","0","0","0.9173553719008264","false","0","RPS27L","0","0.0"
"10","1.8","0.008093413610654989","0.5555555555555556","0.38095238095238093","7","3","false","TMEM41A","12.142857142857142","0","7","0","0","0","0","0.9724137931034482","false","0","TMEM41A","26","0.4187192118226601"
"15","1.85","0.0","0.5405405405405405","1.0","4","3","false","POLR3GL","12.75","0","4",,"0","0","0","0.9552631578947368","false","0","POLR3GL","0","0.6710526315789473"
"27","1.0","0.15688775510204078","1.0","0.5","10","1","false","PTGS2","4.5","0","9","1","1","1","0","1.0","false","1","PTGS2","28","0.5625"
"27","1.5","0.00510204081632653","0.6666666666666666","0.8333333333333334","4","2","false","EPB41L3","6.75","0","4","0","0","0","0","0.9375","false","0","EPB41L3","2","0.84375"
"1","2.806896551724138","0.005221637043655435","0.35626535626535627","0.3333333333333333","7","5","false","GPR146","15.857142857142858","0","7","0","0","0","0","0.974904214559387","false","0","GPR146","672","0.20593692022263452"
"4","2.9473684210526314","0.0","0.3392857142857143","0.0","1","4","false","STK3","3.0","0","1","0","0","0","0","0.9618163054695563","false","0","STK3","0","0.0"
"17","1.0","0.6764705882352943","1.0","0.14705882352941177","19","1","false","PGR","3.3529411764705883","0","18","1","1","1","0","1.0","false","1","PGR","232","0.2398190045248869"
"19","2.7142857142857144","0.005494505494505495","0.3684210526315789","0.0","2","4","false","ERLEC1","2.5","0","2","0","0","0","0","0.8441558441558441","false","0","ERLEC1","2","0.75"
"1","3.2","0.0","0.3125","0.0","1","5","false","IKBKE-AS1","72.0","0","1",,"0","0","0","0.9694444444444444","false","0","IKBKE-AS1","0","0.0"
"4","2.1052631578947367","0.0","0.47500000000000003","0.0","1","4","false","KLK9","51.0","0","1",,"0","0","0","0.978328173374613","false","0","KLK9","0","0.0"
"41","1.0","0.0","1.0","0.0","1","1","false","DPH1","1.0","0","1","0","0","0","0","1.0","false","0","DPH1","0","0.0"
"21","1.0","0.706959706959707","1.0","0.14285714285714285","14","1","false","VTN","2.857142857142857","0","14","1","1","1","0","1.0","false","0","VTN","156","0.2571428571428571"
"21","1.8571428571428572","0.0","0.5384615384615384","1.0","2","2","false","PFKL","11.0","0","2","0","0","0","0","0.9387755102040816","false","0","PFKL","0","0.7857142857142857"
"3","1.4395604395604396","0.6228718347587782","0.6946564885496184","0.058823529411764705","69","4","false","COL5A3","5.927536231884058","0","69","1","1","1","0","0.9936295588469501","false","0","COL5A3","15024","0.08020647210641255"
"3","2.065934065934066","0.02505091288914713","0.4840425531914893","0.2833333333333333","16","4","false","RARS1","10.875","0","16","0","0","0","0","0.984551680203854","false","0","RARS1","1222","0.145"
"5","1.9636363636363636","0.0","0.5092592592592593","1.0","3","3","false","ZNF669","36.666666666666664","0","3",,"0","0","0","0.9821548821548822","false","0","ZNF669","0","0.6790123456790124"
"1","3.3241379310344827","0.0013687741058430714","0.3008298755186722","0.5","4","5","false","SMIM44","18.75","0","4","0","0","0","0","0.9677203065134099","false","0","SMIM44","134","0.46875"
"15","1.55","0.03745614035087719","0.6451612903225806","0.4888888888888889","10","3","false","PRR5","8.1","0","10","0","0","0","0","0.9710526315789473","false","0","PRR5","46","0.4263157894736842"
"1","3.1586206896551725","5.986590038314177E-4","0.3165938864628821","0.38095238095238093","7","5","false","NPAS1","14.0","0","7","0","0","0","0","0.9700191570881227","false","0","NPAS1","26","0.19444444444444445"
"17","1.8823529411764706","0.0","0.53125","1.0","2","2","false","FITM2","12.5","0","2","0","0","0","0","0.9480968858131488","false","0","FITM2","0","0.7352941176470589"
"22","1.1666666666666667","0.8106060606060607","0.8571428571428571","0.08888888888888889","12","2","false","PTGS1","2.0","0","11","1","1","1","0","0.9833333333333334","false","1","PTGS1","114","0.21428571428571427"
"22","2.0833333333333335","0.0","0.48","0.0","1","3","false","CLCA2","10.0","0","1",,"0","0","0","0.8916666666666666","false","0","CLCA2","0","0.0"
"13","1.7307692307692308","0.0014079254079254078","0.5777777777777777","0.8571428571428571","7","2","false","ARHGAP28","15.714285714285714","0","7",,"0","0","0","0.9718934911242604","false","0","ARHGAP28","6","0.6043956043956044"
"12","3.0","0.0","0.3333333333333333","0.0","1","4","false","SNAP47","3.0","0","1","0","0","0","0","0.9130434782608695","false","0","SNAP47","0","0.0"
"3","2.2857142857142856","0.006864138695225708","0.4375","0.18181818181818182","11","5","false","NCR1","15.181818181818182","0","11","0",,"0","0","0.9813664596273292","false","0","NCR1","378","0.21428571428571427"
"2","1.4042553191489362","0.2443130390251186","0.7121212121212122","0.08904109589041095","75","4","false","COL5A2","8.36986301369863","0","74","1","1","1","0","0.9945370902817712","false","1","COL5A2","13500","0.10713031260976466"
"2","1.5957446808510638","0.06360736594874389","0.6266666666666667","0.1548780487804878","41","3","false","RABL6","11.658536585365853","0","41","0","0","0","0","0.9919493962047152","false","0","RABL6","2090","0.12811578665237203"
"4","2.087719298245614","0.0","0.4789915966386555","1.0","2","4","false","UTS2R","28.5","0","2",,"0","0","0","0.978672170622635","false","0","UTS2R","0","0.5588235294117647"
"26","1.0","0.7666666666666667","1.0","0.15555555555555556","12","1","false","GSK3B","2.4","0","11","1","1","1","0","1.0","false","1","GSK3B","76","0.25555555555555554"
"26","1.7","0.011111111111111112","0.5882352941176471","0.6666666666666666","3","2","false","ZNF710","4.666666666666667","0","3","0","0","0","0","0.93","false","0","ZNF710","2","0.4666666666666667"
"1","3.2275862068965515","0.11583818335105965","0.30982905982905984","0.16205533596837945","25","5","false","BCL2","4.956521739130435","0","24","1","1","1","0","0.9690613026819924","false","1","BCL2","11632","0.15489130434782608"
"1","3.0206896551724136","0.041206144355953274","0.3310502283105023","0.3333333333333333","3","4","false","CAPG","14.666666666666666","0","3","0","0","0","0","0.971934865900383","false","0","CAPG","5092","0.4777777777777778"
"8","2.3823529411764706","0.0","0.4197530864197531","0.0","1","5","false","EGR3","28.0","0","1",,"0","0","0","0.9506302521008403","false","0","EGR3","0","0.0"
"9","1.03125","0.673252688172043","0.9696969696969697","0.10752688172043011","33","2","false","TNFSF11","4.258064516129032","0","32","1","1","1","0","0.998991935483871","false","1","TNFSF11","886","0.14349276974416017"
"9","1.84375","0.007392473118279569","0.5423728813559322","0.4666666666666667","6","3","false","HSP90AA4P","10.166666666666666","0","6","0","0","0","0","0.9727822580645161","false","0","HSP90AA4P","16","0.3279569892473118"
"19","2.857142857142857","0.0","0.35","0.0","1","4","false","TCEANC","3.0","0","1","0","0","0","0","0.8311688311688311","false","0","TCEANC","0","0.0"
"1","3.7448275862068967","9.928842974819983E-4","0.26703499079189685","0.6666666666666666","3","6","false","IGKV2D-30","17.333333333333332","0","3","0",,"0","0","0.9618773946360153","false","0","IGKV2D-30","112","0.4444444444444444"
"9","1.71875","0.025537634408602145","0.5818181818181818","0.3333333333333333","10","3","false","DCDC2C","8.7","0","10","0","0","0","0","0.9768145161290323","false","0","DCDC2C","60","0.2806451612903226"
"5","2.0","0.0","0.5","0.0","1","3","false","FRMD6-AS1","54.0","0","1",,"0","0","0","0.9814814814814815","false","0","FRMD6-AS1","0","0.0"
"29","1.1666666666666667","0.6666666666666666","0.8571428571428571","0.2","7","2","false","ESR1","2.0","0","6","1","1","1","0","0.9666666666666666","false","1","ESR1","22","0.4"
"29","1.8333333333333333","0.0","0.5454545454545455","1.0","2","3","false","TAOK3","4.0","0","2","0","0","0","0","0.8333333333333334","false","0","TAOK3","0","0.8"
"1","3.2896551724137932","0.02577132949664161","0.30398322851153037","0.3333333333333333","4","5","false","LRFN3","10.25","0","4","0","0","0","0","0.9681992337164752","false","0","LRFN3","2082","0.3333333333333333"
"8","3.4705882352941178","0.11319073083778966","0.288135593220339","0.3","7","4","false","NTRK1","2.4","0","6","1","1","1","0","0.911764705882353","false","1","NTRK1","188","0.44"
"8","2.7058823529411766","0.2584670231729055","0.3695652173913043","0.3333333333333333","3","3","false","IFNLR1","3.6666666666666665","0","3","0","0","0","0","0.9390756302521008","false","0","IFNLR1","406","0.5555555555555556"
"4","1.9473684210526316","0.0017560509913351675","0.5135135135135135","0.3","5","3","false","RIPK2","23.8","0","5","0",,"0","0","0.9814241486068112","false","0","RIPK2","102","0.43703703703703706"
"19","2.0","0.05494505494505495","0.5","0.0","2","3","false","FOXRED2","6.5","0","2",,"0","0","0","0.9090909090909091","false","0","FOXRED2","22","0.55"
"5","1.9090909090909092","9.940676607343275E-5","0.5238095238095238","0.8666666666666667","6","3","false","OR9A1P","28.5","0","6",,"0","0","0","0.9831649831649832","false","0","OR9A1P","4","0.5277777777777778"
"16","1.5","0.01646137087313558","0.6666666666666666","0.6666666666666666","9","2","false","PGA4","11.0","0","9","0","0","0","0","0.9722222222222222","false","0","PGA4","24","0.6111111111111112"
"1","2.779310344827586","0.012407485554037275","0.3598014888337469","0.1794871794871795","13","5","false","CFAP107","11.23076923076923","0","13","0","0","0","0","0.9752873563218389","false","0","CFAP107","1556","0.14974358974358976"
"1","3.9310344827586206","0.0","0.2543859649122807","1.0","2","6","false","NKX2-8","31.0","0","2","0","0","0","0","0.9592911877394636","false","0","NKX2-8","0","0.8157894736842105"
"7","1.7894736842105263","0.0036713918292865656","0.5588235294117647","0.42857142857142855","8","2","false","C3orf84","14.75","0","8","0","0","0","0","0.9792243767313019","false","0","C3orf84","32","0.3881578947368421"
"1","3.2","0.0","0.3125","0.0","1","5","false","PPM1J","72.0","0","1","0","0","0","0","0.9694444444444444","false","0","PPM1J","0","0.0"
"2","2.0106382978723403","3.164517484267837E-4","0.4973544973544974","0.7","5","3","false","NPY4R","51.4","0","5","0","0","0","0","0.9863427257044279","false","0","NPY4R","282","0.5840909090909091"
"2","1.9893617021276595","0.0010865927500730908","0.5026737967914439","0.47619047619047616","7","3","false","CYB5RL","35.142857142857146","0","7","0","0","0","0","0.9866302472685452","false","0","CYB5RL","220","0.39935064935064934"
"7","1.9473684210526316","0.0","0.5135135135135135","1.0","2","2","false","TBC1D28","28.0","0","2",,"0","0","0","0.9750692520775623","false","0","TBC1D28","0","0.7368421052631579"
"10","1.9666666666666666","0.0","0.5084745762711864","1.0","2","3","false","CRTC3","20.5","0","2","0","0","0","0","0.9666666666666667","false","0","CRTC3","0","0.7068965517241379"
"5","1.9272727272727272","3.20666987333654E-5","0.5188679245283019","0.9","5","3","false","UAP1","32.8","0","5","0","0","0","0","0.9828282828282828","false","0","UAP1","2","0.6074074074074074"
"1","3.1448275862068966","0.05419584910181103","0.31798245614035087","0.3333333333333333","4","5","false","NCAPG","13.0","0","4","0","0","0","0","0.9702107279693486","false","0","NCAPG","6202","0.35135135135135137"
"16","1.8333333333333333","5.027652086475616E-4","0.5454545454545455","0.6666666666666666","3","2","false","PDXDC1","16.0","0","3","0","0","0","0","0.9537037037037037","false","0","PDXDC1","2","0.8888888888888888"
"23","1.0","0.5207070707070707","1.0","0.22727272727272727","14","1","false","JUN","3.5","0","13","1","1","1","0","1.0","false","1","JUN","102","0.2916666666666667"
"23","1.8333333333333333","0.0","0.5454545454545455","1.0","2","2","false","TPPP2","9.0","0","2","0","0","0","0","0.9305555555555555","false","0","TPPP2","0","0.75"
"3","2.2747252747252746","8.383761131013879E-4","0.4396135265700483","0.7","5","4","false","PECAM1","21.0","0","5","0","0","0","0","0.9815257206561555","false","0","PECAM1","32","0.2916666666666667"
"9","1.96875","0.0","0.5079365079365079","1.0","2","3","false","ZNF185","20.5","0","2",,"0","0","0","0.96875","false","0","ZNF185","0","0.6612903225806451"
"1","3.5310344827586206","3.192848020434227E-5","0.283203125","0.6666666666666666","3","6","false","GABPA","4.333333333333333","0","3","0","0","0","0","0.9648467432950191","false","0","GABPA","2","0.5416666666666666"
"1","3.413793103448276","0.01279468589825012","0.29292929292929293","0.3333333333333333","3","5","false","CYB5A","21.666666666666668","0","3","0","0","0","0","0.9664750957854407","false","0","CYB5A","998","0.5333333333333333"
"6","1.8148148148148149","0.006824588740009065","0.5510204081632653","0.36363636363636365","11","3","false","OR51M1","17.272727272727273","0","11","0","0","0","0","0.983371126228269","false","0","OR51M1","166","0.3259005145797599"
"7","1.868421052631579","0.0013147118410276304","0.5352112676056338","0.5","5","2","false","MOB2","16.0","0","5","0","0","0","0","0.9771468144044321","false","0","MOB2","10","0.42105263157894735"
"3","3.2857142857142856","0.08865225256435498","0.30434782608695654","0.20833333333333334","16","5","false","CTSK","4.4375","0","16","1","1","1","0","0.9668737060041407","false","0","CTSK","4996","0.23026315789473684"
"3","2.7252747252747254","0.051973011697056905","0.36693548387096775","0.4666666666666667","6","4","false","CASKIN2","7.333333333333333","0","6","0","0","0","0","0.9749960184742793","false","0","CASKIN2","2460","0.3412698412698413"
"9","1.8125","0.007594086021505375","0.5517241379310345","0.42857142857142855","7","3","false","CTNNA3","11.0","0","7","0","0","0","0","0.9737903225806451","false","0","CTNNA3","24","0.3548387096774194"
"20","2.0","0.0","0.5","0.0","1","3","false","CHPF2","13.0","0","1",,"0","0","0","0.9230769230769231","false","0","CHPF2","0","0.0"
"1","3.193103448275862","0.0","0.31317494600431967","1.0","2","5","false","VGLL3","39.5","0","2","0","0","0","0","0.9695402298850575","false","0","VGLL3","0","0.5486111111111112"
"18","2.0","0.0","0.5","0.0","1","3","false","OOSP4A","14.0","0","1","0",,"0","0","0.9285714285714286","false","0","OOSP4A","0","0.0"
"18","1.0666666666666667","0.961904761904762","0.9375","0.03296703296703297","14","2","false","BGLAP","1.5","0","14","1","1","1","0","0.9952380952380953","false","0","BGLAP","202","0.1326530612244898"
