Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
85,10,0.6222,28.00,118.0,NaN,0.883103,"TRIM23 CEACAM21 SYPL1 CADM4 MYLK3 IL34 NKAIN1 THBD TRMT1 AHRR"
86,4,0.6667,4.000,12.00,NaN,0.892262,"SLC9A8 ZNF213 ZNF397 GPR146"
87,5,0.6000,6.000,35.00,NaN,0.900586,"TELO2 KAZN RGR SLC2A11 PRAMEF19"
88,6,0.6000,9.000,61.00,NaN,0.902284,"MYCL RAMAC CCDC150 MS4A14 EFCAB13 FOXI1"
89,3,0.6667,2.000,9.000,NaN,0.917920,"MAP4K5 PPM1B MINDY2"
90,5,0.6000,6.000,25.00,NaN,0.929992,"NCOA7 GABPA STK16 NCCRP1 POF1B"
91,6,0.6000,9.000,49.00,NaN,0.938242,"SAMD15 NVL EVX1 RAB24 OR6C2 OR4X1"
92,8,0.6071,17.00,74.00,NaN,0.944552,"ZNF526 TP53 KIF22 RTF1 PIGP SOCS2 NXPH3 FGF10"
93,5,0.6000,6.000,23.00,NaN,0.945315,"GLYATL1 NFKB1 ZCCHC2 LRP2BP IRX2"
94,6,0.6000,9.000,60.00,NaN,0.946895,"TRIM55 PMS2 USP35 GCA OR12D2 OR4X1"
95,5,0.7000,7.000,44.00,NaN,0.955658,"PPP2CB DDX4 PPP2CA INTS5 PRR14L"
96,4,0.6667,4.000,12.00,NaN,0.957144,"IGLV1-36 PDCL2 HDGFL1 IGHV1-69"
97,5,0.6000,6.000,42.00,NaN,0.958167,"CC2D1A FAM166C ZNF547 SNRNP48 ZRSR2"
98,4,0.6667,4.000,15.00,NaN,0.962952,"C1QL2 KRTAP8-1 PROP1 DAZAP2"
99,4,0.6667,4.000,13.00,NaN,0.963867,"SLC9A8 TRIM38 ZNF397 GPR146"
100,3,1.000,3.000,14.00,NaN,0.964649,"KYNU MVD GSR"
101,3,0.6667,2.000,6.000,NaN,0.967457,"IGKV3D-11 CEP57L1 SNAP47"
102,5,0.6000,6.000,31.00,NaN,0.968279,"TELO2 NIBAN1 FCER1A RGR SLC2A11"
103,6,0.6000,9.000,49.00,NaN,0.968400,"FBF1 NCAPG BCL2 RGL4 GRAP2 LRFN3"
104,3,0.6667,2.000,8.000,NaN,0.970327,"MFSD10 PECAM1 CD38"
105,3,0.6667,2.000,10.00,NaN,0.970327,"KLHL40 MCM8 ZNF219"
106,4,0.6667,4.000,25.00,NaN,0.973496,"EIF2S1 REST PDCL2 RPS27L"
107,6,0.6000,9.000,54.00,NaN,0.974561,"PROCR SCML1 COBLL1 TMCO6 MYOCD GTF2A1L"
108,3,0.6667,2.000,11.00,NaN,0.978443,"DCP2 MEX3D NXPH3"
109,5,0.6000,6.000,37.00,NaN,0.980019,"BMS1 ZBTB48 APOBEC3C CASP3 WDR45B"
110,5,0.6000,6.000,38.00,NaN,0.980019,"PRSS8 BRDT MAMLD1 CNR2 NCR1"
111,6,0.6000,9.000,51.00,NaN,0.989361,"PROCR ANKRD36B COBLL1 GTF2A1L TMEM41A AKAP17A"
112,4,0.6667,4.000,24.00,NaN,0.990291,"RSBN1 DDX52 RBMX2 ARID5B"
113,4,0.6667,4.000,34.00,NaN,0.990291,"TCP11X2 AICDA CPSF3 MARCHF7"
114,3,0.6667,2.000,9.000,NaN,0.990789,"BPIFC B4GALNT2 FOXI1"
115,6,0.6000,9.000,71.00,NaN,0.990845,"XRCC5 CORO1C JUP TFCP2 DSG2 DUSP4"
116,6,0.6000,9.000,54.00,NaN,0.991158,"MAGEB17 MAGEB6B ZNF547 FILIP1 EFCAB9 OR12D2"
117,5,0.7000,7.000,26.00,NaN,0.992023,"ADORA3 DDX4 OR9A1P GPR141 FAM20A"
118,6,0.6000,9.000,69.00,NaN,0.992935,"IL34 NKAIN1 ZNF449 TRMT1 DGLUCY ZFP57"
119,5,0.6000,6.000,26.00,NaN,0.993551,"ADORA3 DDX4 HOXA13 OR9A1P FAM20A"
120,4,0.6667,4.000,17.00,NaN,0.994300,"POLR2M RPAP2 RPAP3 HELLS"
121,6,0.6000,9.000,46.00,NaN,0.995257,"ZNF319 FAM166C MYC METTL15P1 OR51M1 STAP1"
122,5,0.6000,6.000,34.00,NaN,0.995266,"MRPS6 ZNF853 MRPS24 PDK1 JUN"
123,6,0.6000,9.000,67.00,NaN,0.996526,"CADM4 MYLK3 TRMT1 AHRR TBX10 CYB5RL"
124,5,0.6000,6.000,35.00,NaN,0.997166,"UPK1A ARHGEF15 DPEP2 DAW1 KCNK10"
125,6,0.6000,9.000,68.00,NaN,0.998717,"RABEP1 MYCL FOXP1 RUFY1 CCDC183 KCNJ12"
126,6,0.6000,9.000,81.00,NaN,0.998808,"TARDBP HNRNPM IGF2BP3 MSI1 YARS2 HNRNPDL"
127,8,0.6071,17.00,118.0,NaN,0.999189,"RPL3 PNMA8A ZNF48 MECP2 RIOX2 BRIX1 PUM3 NVL"
128,6,0.6000,9.000,78.00,NaN,0.999234,"UBA2 MYLK3 NKAIN1 SLC25A30 CLDN12 ZSCAN22"
