"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"11","1.25","0.05555555555555555","0.8","0.6666666666666666","3","2","false","IGHV7-81","3.0","0","3","0","0","0","0","0.9166666666666666","false","0","IGHV7-81","2","0.75"
"10","5.0131578947368425","0.03409356725146202","0.1994750656167979","0.4666666666666667","8","10","false","BMP2","3.5","0","7","1","1","1","0","0.6351674641148325","false","1","BMP2","706","0.5"
,"0.0","0.0","0.0","0.0","0","0","true","MAPK1","0.0","0","0","1","1","1","0","Infinity","false","0","MAPK1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","RNF157","0.0","0","0",,"0","0","0","Infinity","false","0","RNF157","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","CC2D1B","0.0","0","0","0","0","0","0","Infinity","false","0","CC2D1B","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","IFNK","0.0","0","0",,"0","0","0","Infinity","false","0","IFNK","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","CASP3","0.0","0","0","1","1","1","0","Infinity","false","0","CASP3","0","0.0"
"10","4.315789473684211","0.0014035087719298245","0.23170731707317072","0.6666666666666666","5","8","false","SRC","3.3333333333333335","0","4","1","1","1","0","0.6985645933014354","false","1","SRC","20","0.5555555555555556"
"27","1.3333333333333333","0.16666666666666666","0.75","0.0","2","2","false","COL4A4","2.0","0","2","0","0","0","0","0.8333333333333334","false","0","COL4A4","2","1.0"
"22","1.0","0.0","1.0","1.0","2","1","false","RPS27L","2.0","0","2","0","0","0","0","1.0","false","0","RPS27L","0","1.0"
,"0.0","0.0","0.0","0.0","0","0","true","TMEM41A","0.0","0","0","0","0","0","0","Infinity","false","0","TMEM41A","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","POLR3GL","0.0","0","0",,"0","0","0","Infinity","false","0","POLR3GL","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","PTGS2","0.0","0","0","1","1","1","0","Infinity","false","0","PTGS2","0","0.0"
"26","3.227272727272727","0.24891774891774893","0.3098591549295775","0.0","3","6","false","EPB41L3","2.6666666666666665","0","3","0","0","0","0","0.5545454545454546","false","0","EPB41L3","186","0.4166666666666667"
"10","5.526315789473684","0.011462823725981622","0.18095238095238095","0.3333333333333333","3","10","false","GPR146","2.3333333333333335","0","3","0","0","0","0","0.5885167464114832","false","0","GPR146","110","0.5"
,"0.0","0.0","0.0","0.0","0","0","true","STK3","0.0","0","0","0","0","0","0","Infinity","false","0","STK3","0","0.0"
"20","1.0","0.0","1.0","1.0","4","1","false","PGR","2.0","0","3","1","1","1","0","1.0","false","1","PGR","0","1.0"
,"0.0","0.0","0.0","0.0","0","0","true","ERLEC1","0.0","0","0","0","0","0","0","Infinity","false","0","ERLEC1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","IKBKE-AS1","0.0","0","0",,"0","0","0","Infinity","false","0","IKBKE-AS1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","KLK9","0.0","0","0",,"0","0","0","Infinity","false","0","KLK9","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","DPH1","0.0","0","0","0","0","0","0","Infinity","false","0","DPH1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","VTN","0.0","0","0","1","1","1","0","Infinity","false","0","VTN","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","PFKL","0.0","0","0","0","0","0","0","Infinity","false","0","PFKL","0","0.0"
"13","4.484848484848484","0.0","0.222972972972973","1.0","2","6","false","COL5A3","2.5","0","2","1","1","1","0","0.6515151515151516","false","0","COL5A3","0","0.8333333333333334"
,"0.0","0.0","0.0","0.0","0","0","true","RARS1","0.0","0","0","0","0","0","0","Infinity","false","0","RARS1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","ZNF669","0.0","0","0",,"0","0","0","Infinity","false","0","ZNF669","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","SMIM44","0.0","0","0","0","0","0","0","Infinity","false","0","SMIM44","0","0.0"
"26","3.0454545454545454","0.20129870129870125","0.3283582089552239","0.0","2","5","false","PRR5","3.0","0","2","0","0","0","0","0.5909090909090909","false","0","PRR5","124","0.5"
"24","4.066666666666666","0.007936507936507936","0.24590163934426232","0.0","2","7","false","NPAS1","2.5","0","2","0","0","0","0","0.48888888888888893","false","0","NPAS1","4","0.75"
,"0.0","0.0","0.0","0.0","0","0","true","FITM2","0.0","0","0","0","0","0","0","Infinity","false","0","FITM2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","PTGS1","0.0","0","0","1","1","1","0","Infinity","false","0","PTGS1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","CLCA2","0.0","0","0",,"0","0","0","Infinity","false","0","CLCA2","0","0.0"
"3","1.5","0.0","0.6666666666666666","1.0","3","2","false","ARHGAP28","5.333333333333333","0","3",,"0","0","0","0.9166666666666666","false","0","ARHGAP28","0","0.8888888888888888"
,"0.0","0.0","0.0","0.0","0","0","true","SNAP47","0.0","0","0","0","0","0","0","Infinity","false","0","SNAP47","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","NCR1","0.0","0","0","0",,"0","0","Infinity","false","0","NCR1","0","0.0"
"5","1.0","0.35000000000000003","1.0","0.5","7","1","false","COL5A2","3.0","0","6","1","1","1","0","1.0","false","1","COL5A2","10","0.6"
"5","1.6","0.0","0.625","1.0","2","2","false","RABL6","4.0","0","2","0","0","0","0","0.8800000000000001","false","0","RABL6","0","0.8"
,"0.0","0.0","0.0","0.0","0","0","true","UTS2R","0.0","0","0",,"0","0","0","Infinity","false","0","UTS2R","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","GSK3B","0.0","0","0","1","1","1","0","Infinity","false","0","GSK3B","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","ZNF710","0.0","0","0","0","0","0","0","Infinity","false","0","ZNF710","0","0.0"
"6","2.111111111111111","0.0","0.47368421052631576","1.0","6","4","false","BCL2","4.25","0","5","1","1","1","0","0.7777777777777778","false","1","BCL2","0","0.85"
,"0.0","0.0","0.0","0.0","0","0","true","CAPG","0.0","0","0","0","0","0","0","Infinity","false","0","CAPG","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","EGR3","0.0","0","0",,"0","0","0","Infinity","false","0","EGR3","0","0.0"
"25","3.4285714285714284","0.18571428571428572","0.2916666666666667","0.16666666666666666","6","6","false","TNFSF11","2.0","0","5","1","1","1","0","0.5952380952380952","false","1","TNFSF11","86","0.375"
,"0.0","0.0","0.0","0.0","0","0","true","HSP90AA4P","0.0","0","0","0","0","0","0","Infinity","false","0","HSP90AA4P","0","0.0"
"10","3.6052631578947367","0.02631578947368421","0.2773722627737226","0.3333333333333333","3","8","false","TCEANC","7.666666666666667","0","3","0","0","0","0","0.7631578947368421","false","0","TCEANC","222","0.43137254901960786"
,"0.0","0.0","0.0","0.0","0","0","true","IGKV2D-30","0.0","0","0","0",,"0","0","Infinity","false","0","IGKV2D-30","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","DCDC2C","0.0","0","0","0","0","0","0","Infinity","false","0","DCDC2C","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","FRMD6-AS1","0.0","0","0",,"0","0","0","Infinity","false","0","FRMD6-AS1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","ESR1","0.0","0","0","1","1","1","0","Infinity","false","0","ESR1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","TAOK3","0.0","0","0","0","0","0","0","Infinity","false","0","TAOK3","0","0.0"
