"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6","1.836734693877551","0.006976295412393534","0.5444444444444444","0.3333333333333333","9","3","false","ELAC2","14.555555555555555","0","9","0","0","0","0","0.9809833024118738","false","0","ELAC2","86","0.30324074074074076"
,"0.0","0.0","0.0","0.0","0","0","true","CLN5","0.0","0","0","0","0","0","0","Infinity","false","0","CLN5","0","0.0"
"26","1.0","0.8555555555555556","1.0","0.1111111111111111","10","1","false","COL5A1","2.0","0","10","1","1","1","0","1.0","false","0","COL5A1","80","0.24285714285714285"
"8","1.9705882352941178","0.0","0.5074626865671642","1.0","2","3","false","RAB38","28.0","0","2","0","0","0","0","0.9705882352941178","false","0","RAB38","0","0.8484848484848485"
"9","1.8888888888888888","0.0","0.5294117647058824","1.0","3","2","false","SRRM5","19.0","0","3","0","0","0","0","0.9670781893004116","false","0","SRRM5","0","0.7037037037037037"
"9","1.0","0.43007619952064385","1.0","0.21937321937321938","27","1","false","PROCR","6.703703703703703","0","27","1","1","1","0","1.0","false","0","PROCR","548","0.24828532235939643"
"17","1.0","0.38986928104575164","1.0","0.2679738562091503","18","1","false","SPP1","5.555555555555555","0","18","1","1","1","0","1.0","false","0","SPP1","224","0.30864197530864196"
"17","1.8333333333333333","0.0016339869281045752","0.5454545454545455","0.6666666666666666","3","2","false","RFESD","11.666666666666666","0","3",,"0","0","0","0.9537037037037037","false","0","RFESD","2","0.6481481481481481"
"6","2.020408163265306","0.025967393051700913","0.494949494949495","0.21818181818181817","13","3","false","NFKB1","9.272727272727273","0","12","1","1","1","0","0.9768089053803339","false","1","NFKB1","304","0.2597402597402597"
"10","1.1538461538461537","0.17945188145188146","0.8666666666666667","0.2554112554112554","24","2","false","PRKACA","7.818181818181818","0","23","1","1","1","0","0.9940828402366864","false","1","PRKACA","344","0.3006993006993007"
"14","1.6956521739130435","0.008968567664219837","0.5897435897435898","0.5714285714285714","7","2","false","IGHV7-81","10.571428571428571","0","7","0","0","0","0","0.9697542533081286","false","0","IGHV7-81","18","0.45962732919254656"
"14","1.0","0.41114248070769815","1.0","0.22924901185770752","25","1","false","BMP2","6.043478260869565","0","24","1","1","1","0","1.0","false","1","BMP2","390","0.2727272727272727"
"31","1.0","0.9333333333333333","1.0","0.06666666666666667","8","1","false","MAPK1","1.3333333333333333","0","7","1","1","1","0","1.0","false","1","MAPK1","28","0.3333333333333333"
"31","1.8333333333333333","0.0","0.5454545454545455","0.0","1","2","false","RNF157","6.0","0","1",,"0","0","0","0.8611111111111112","false","0","RNF157","0","0.0"
"17","1.3888888888888888","0.08850762527233115","0.72","0.34545454545454546","11","2","false","CC2D1B","6.818181818181818","0","11","0","0","0","0","0.9783950617283951","false","0","CC2D1B","72","0.3787878787878788"
"7","1.9714285714285715","0.0","0.5072463768115941","0.0","1","2","false","IFNK","35.0","0","1",,"0","0","0","0.9722448979591836","false","0","IFNK","0","0.0"
"29","1.1111111111111112","0.5277777777777778","0.8999999999999999","0.2857142857142857","10","2","false","CASP3","3.125","0","9","1","1","1","0","0.9861111111111112","false","1","CASP3","50","0.3472222222222222"
"23","1.0","0.396969696969697","1.0","0.2909090909090909","13","1","false","SRC","3.909090909090909","0","12","1","1","1","0","1.0","false","1","SRC","78","0.35537190082644626"
"23","1.5454545454545454","0.016666666666666663","0.6470588235294118","0.7","5","2","false","COL4A4","6.6","0","5","0","0","0","0","0.9504132231404959","false","0","COL4A4","6","0.6"
"40","1.0","0.0","1.0","1.0","2","1","false","RPS27L","2.0","0","2","0","0","0","0","1.0","false","0","RPS27L","0","1.0"
"9","1.7407407407407407","0.010030298919187807","0.574468085106383","0.38095238095238093","7","2","false","TMEM41A","11.571428571428571","0","7","0","0","0","0","0.9725651577503429","false","0","TMEM41A","26","0.42857142857142855"
"17","1.7777777777777777","0.0","0.5625","1.0","4","2","false","POLR3GL","12.5","0","4",,"0","0","0","0.95679012345679","false","0","POLR3GL","0","0.6944444444444444"
"30","1.0","0.12444444444444444","1.0","0.6","8","1","false","PTGS2","4.0","0","7","1","1","1","0","1.0","false","1","PTGS2","12","0.6666666666666666"
,"0.0","0.0","0.0","0.0","0","0","true","EPB41L3","0.0","0","0","0","0","0","0","Infinity","false","0","EPB41L3","0","0.0"
"3","1.9322033898305084","0.002240405221118254","0.5175438596491229","0.4","6","3","false","GPR146","14.166666666666666","0","6","0","0","0","0","0.9836455545643771","false","0","GPR146","18","0.24853801169590642"
,"0.0","0.0","0.0","0.0","0","0","true","STK3","0.0","0","0","0","0","0","0","Infinity","false","0","STK3","0","0.0"
"18","1.0","0.6666666666666667","1.0","0.15833333333333333","18","1","false","PGR","3.375","0","17","1","1","1","0","1.0","false","1","PGR","202","0.2604166666666667"
,"0.0","0.0","0.0","0.0","0","0","true","ERLEC1","0.0","0","0","0","0","0","0","Infinity","false","0","ERLEC1","0","0.0"
"3","2.016949152542373","0.0","0.4957983193277311","0.0","1","3","false","IKBKE-AS1","57.0","0","1",,"0","0","0","0.9821587867975022","false","0","IKBKE-AS1","0","0.0"
"6","2.1020408163265305","0.0","0.47572815533980584","0.0","1","4","false","KLK9","44.0","0","1",,"0","0","0","0.9749536178107607","false","0","KLK9","0","0.0"
"69","1.0","0.0","1.0","0.0","1","1","false","DPH1","1.0","0","1","0","0","0","0","1.0","false","0","DPH1","0","0.0"
"24","1.0","0.7030303030303031","1.0","0.16363636363636364","11","1","false","VTN","2.6363636363636362","0","11","1","1","1","0","1.0","false","0","VTN","92","0.29545454545454547"
"24","1.8181818181818181","0.0","0.55","1.0","2","2","false","PFKL","8.5","0","2","0","0","0","0","0.9256198347107438","false","0","PFKL","0","0.7727272727272727"
