"__glayCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2","2.3789473684210525","0.0","0.420353982300885","1.0","2","5","false","ZNF257","68.0","0","2","0","0","0","0","0.9811103100216294","false","0","ZNF257","0","0.9315068493150684"
"10","1.9166666666666667","0.0026409213087675155","0.5217391304347826","0.5714285714285714","7","3","false","PDE7A","23.0","0","7",,"0","0","0","0.9816666666666667","false","0","PDE7A","134","0.39655172413793105"
"10","1.9166666666666667","0.002204199431367672","0.5217391304347826","0.6190476190476191","7","3","false","ZNF221","22.571428571428573","0","7","0","0","0","0","0.9816666666666667","false","0","ZNF221","120","0.3891625615763547"
"9","2.86046511627907","0.0036987335289346166","0.3495934959349593","0.3333333333333333","3","6","false","RTP3","36.0","0","3","0","0","0","0","0.967360261117911","false","0","RTP3","408","0.5752688172043011"
"4","1.8076923076923077","0.0015726495726495725","0.5531914893617021","0.7","5","2","false","VGF","14.2","0","5","0","0","0","0","0.9689349112426036","false","0","VGF","6","0.5461538461538461"
"5","4.743589743589744","0.0","0.21081081081081082","0.0","1","9","false","FAM110C","9.0","0","1",,"0","0","0","0.6880341880341879","false","0","FAM110C","0","0.0"
"10","2.066666666666667","6.55739883747711E-4","0.48387096774193544","0.3333333333333333","3","4","false","OTUD1","27.666666666666668","0","3","0","0","0","0","0.9786666666666666","false","0","OTUD1","48","0.5157232704402516"
"8","3.21875","0.0031922043010752686","0.3106796116504854","0.5","5","6","false","PWWP3A","7.6","0","5",,"0","0","0","0.861328125","false","0","PWWP3A","10","0.475"
"1","2.7655172413793103","0.03013799415369967","0.36159600997506236","0.22924901185770752","23","5","false","PHC2","11.826086956521738","0","23","0","0","0","0","0.9639690358902181","false","0","PHC2","5154","0.19074333800841514"
"11","2.0919540229885056","0.009087384837161344","0.47802197802197804","0.24175824175824176","14","4","false","TELO2","13.5","0","14",,"0","0","0","0.9832007073386384","false","0","TELO2","344","0.19014084507042253"
"1","3.3379310344827586","0.0","0.29958677685950413","1.0","2","5","false","TPTE2","9.5","0","2","0","0","0","0","0.9522871217452499","false","0","TPTE2","0","0.6333333333333333"
"10","1.95","0.0040840355749914015","0.5128205128205129","0.2857142857142857","7","3","false","AADACL4","19.714285714285715","0","7",,"0","0","0","0.981","false","0","AADACL4","156","0.35584415584415585"
"12","3.5121951219512195","0.0","0.2847222222222222","1.0","2","5","false","ZNF382","4.5","0","2",,"0","0","0","0.8522238163558107","false","0","ZNF382","0","0.75"
"9","2.8255813953488373","0.007036257612041321","0.35390946502057613","0.09523809523809523","7","4","false","MECP2","8.285714285714286","0","7","0","0","0","0","0.9679722562219503","false","0","MECP2","1198","0.20300751879699247"
"1","2.420689655172414","0.1714156917143195","0.4131054131054131","0.12535612535612536","27","4","false","CC2D1A","9.185185185185185","0","27","0","0","0","0","0.9710063335679099","false","0","CC2D1A","16596","0.11928811928811929"
"1","3.1586206896551725","4.0024630541871925E-5","0.3165938864628821","0.8333333333333334","4","5","false","OR52D1","27.75","0","4","0","0","0","0","0.9559465165376495","false","0","OR52D1","12","0.4955357142857143"
"2","2.031578947368421","4.2778042004366527E-4","0.49222797927461137","0.8","5","3","false","CCNQ","52.0","0","5","0","0","0","0","0.9858687815428984","false","0","CCNQ","440","0.5977011494252874"
"15","3.1538461538461537","0.0","0.3170731707317073","1.0","2","6","false","PODXL","11.5","0","2","0","0","0","0","0.8923076923076924","false","0","PODXL","0","0.575"
"2","2.042105263157895","4.2778042004366527E-4","0.4896907216494845","0.6666666666666666","4","3","false","KIAA0513","58.25","0","4","0",,"0","0","0.9857245854361932","false","0","KIAA0513","440","0.6695402298850575"
"15","2.6666666666666665","0.19658119658119655","0.375","0.0","2","6","false","SAA1","13.0","0","2","0",,"0","0","0.9166666666666666","false","0","SAA1","650","0.5"
"9","2.383720930232558","0.01276799562467922","0.41951219512195126","0.34615384615384615","13","4","false","SART1","16.153846153846153","0","13",,"0","0","0","0.9757241942064464","false","0","SART1","2706","0.16653449643140364"
"18","2.2666666666666666","0.15977011494252874","0.4411764705882353","0.0","2","4","false","ODAD1","10.5","0","2",,"0","0","0","0.9333333333333333","false","0","ODAD1","290","0.5"
"10","2.0","0.003464701585834791","0.5","0.4","6","4","false","ZNF565","14.833333333333334","0","6","0","0","0","0","0.98","false","0","ZNF565","68","0.2696969696969697"
"1","3.8620689655172415","4.709450830140486E-5","0.2589285714285714","0.0","3","6","false","CCDC183","12.0","0","3","0","0","0","0","0.9415904292751583","false","0","CCDC183","6","0.5238095238095238"
"16","1.8235294117647058","0.061942959001782524","0.5483870967741935","0.26666666666666666","6","2","false","KIF22","9.833333333333334","0","6","0","0","0","0","0.9750445632798574","false","0","KIF22","112","0.29292929292929293"
"1","4.137931034482759","0.0","0.24166666666666664","0.0","1","6","false","OR14C36","25.0","0","1",,"0","0","0","0.9359605911330049","false","0","OR14C36","0","0.0"
"13","2.0","0.0","0.5","0.0","1","3","false","GOLGA6C","23.0","0","1","0",,"0","0","0.9565217391304348","false","0","GOLGA6C","0","0.0"
"10","1.9333333333333333","0.001752894615656077","0.5172413793103449","0.6666666666666666","6","3","false","IQCM","25.166666666666668","0","6","0","0","0","0","0.9813333333333334","false","0","IQCM","112","0.4339080459770115"
"2","2.2842105263157895","0.0044869384798300535","0.4377880184331797","0.6666666666666666","3","4","false","RASEF","29.333333333333332","0","3","0","0","0","0","0.9824080749819755","false","0","RASEF","1380","0.4131455399061033"
"5","4.358974358974359","0.0","0.22941176470588237","0.0","1","8","false","ARID5B","5.0","0","1","0","0","0","0","0.7200854700854702","false","0","ARID5B","0","0.0"
"9","3.046511627906977","0.0014463778405349999","0.3282442748091603","0.2","5","5","false","DSG2","9.6","0","5","0","0","0","0","0.9640962872297021","false","0","DSG2","204","0.24864864864864866"
"2","1.768421052631579","0.026707346099517137","0.5654761904761905","0.2706552706552707","27","3","false","TRMT1","14.851851851851851","0","27","0","0","0","0","0.9894736842105263","false","0","TRMT1","1288","0.16502057613168725"
"2","2.126315789473684","0.001410174372100464","0.4702970297029703","0.45454545454545453","11","4","false","AHRR","20.636363636363637","0","11","0","0","0","0","0.9845710165825523","false","0","AHRR","60","0.2788697788697789"
