"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2","5.942028985507246","0.0","0.16829268292682928","0.0","1","10","false","SRRM5","10.0","0","1","0","0","0","0","0.8502415458937198","false","0","SRRM5","0","0.0"
"16","1.55","0.7731578947368422","0.6451612903225806","0.13636363636363635","12","3","false","PROCR","2.9166666666666665","0","12","1","1","1","0","0.9541666666666666","false","0","PROCR","308","0.20833333333333334"
"4","4.337662337662338","0.0865380745934403","0.2305389221556886","0.16666666666666666","9","7","false","SPP1","2.5555555555555554","0","9","1","1","1","0","0.8036669213139802","false","0","SPP1","1372","0.25925925925925924"
"4","4.5064935064935066","0.00945434151175778","0.2219020172910663","0.6666666666666666","3","7","false","RFESD","6.0","0","3",,"0","0","0","0.7937356760886173","false","0","RFESD","304","0.6"
"11","3.71875","0.02598658773000879","0.2689075630252101","0.06666666666666667","8","7","false","NFKB1","2.5","0","7","1","1","1","0","0.9150390625","false","1","NFKB1","696","0.3055555555555556"
"3","1.2592592592592593","0.15820907487574154","0.7941176470588235","0.2714285714285714","23","3","false","PRKACA","7.9523809523809526","0","22","1","1","1","0","0.9896296296296296","false","1","PRKACA","334","0.3058608058608059"
"2","7.053140096618358","0.016628809959329135","0.14178082191780822","0.47619047619047616","7","11","false","IGHV7-81","9.142857142857142","0","7","0","0","0","0","0.8165715122236862","false","0","IGHV7-81","3112","0.3657142857142857"
"2","6.971014492753623","0.09628501745428691","0.14345114345114346","0.17391304347826086","26","11","false","BMP2","5.041666666666667","0","25","1","1","1","0","0.8190601668862538","false","1","BMP2","12816","0.21557971014492755"
"11","3.7291666666666665","0.0012426900584795323","0.2681564245810056","0.3333333333333333","5","7","false","MAPK1","4.0","0","4","1","1","1","0","0.9147135416666666","false","1","MAPK1","20","0.4583333333333333"
"4","4.376623376623376","0.0","0.228486646884273","0.0","1","7","false","RNF157","4.0","0","1",,"0","0","0","0.8013750954927426","false","0","RNF157","0","0.0"
"4","3.675324675324675","0.16353892746579002","0.27208480565371024","0.26666666666666666","6","6","false","CC2D1B","5.166666666666667","0","6","0","0","0","0","0.8426279602750192","false","0","CC2D1B","2840","0.23809523809523808"
"2","5.753623188405797","0.0","0.17380352644836272","0.0","1","10","false","IFNK","15.0","0","1",,"0","0","0","0.8559508124725516","false","0","IFNK","0","0.0"
"6","4.172727272727273","0.10166527661940507","0.23965141612200436","0.16666666666666666","11","9","false","CASP3","3.6666666666666665","0","10","1","1","1","0","0.8557851239669422","false","1","CASP3","2498","0.17777777777777778"
"4","4.51948051948052","0.026999316473000686","0.22126436781609193","0.26666666666666666","8","7","false","SRC","2.5","0","7","1","1","1","0","0.7929717341482047","false","1","SRC","254","0.3888888888888889"
"19","1.25","0.5833333333333333","0.8","0.0","3","2","false","COL4A4","1.6666666666666667","0","3","0","0","0","0","0.9166666666666666","false","0","COL4A4","10","0.6666666666666666"
"11","3.9166666666666665","0.020833333333333332","0.25531914893617025","0.3333333333333333","3","7","false","RPS27L","2.3333333333333335","0","3","0","0","0","0","0.9088541666666666","false","0","RPS27L","282","0.5"
"16","2.3","0.009999999999999998","0.4347826086956522","0.5","4","4","false","TMEM41A","6.25","0","4","0","0","0","0","0.8916666666666666","false","0","TMEM41A","10","0.4807692307692308"
"4","4.51948051948052","0.0","0.22126436781609193","1.0","2","7","false","POLR3GL","7.5","0","2",,"0","0","0","0.7929717341482047","false","0","POLR3GL","0","0.75"
"2","1.5","0.5","0.6666666666666666","0.0","4","2","false","PTGS2","2.0","0","3","1","1","1","0","0.8333333333333334","false","1","PTGS2","6","0.5"
"6","3.3727272727272726","0.11161066761984198","0.29649595687331537","0.0","4","7","false","EPB41L3","5.75","0","4","0","0","0","0","0.8921487603305785","false","0","EPB41L3","2844","0.296875"
"2","5.705314009661835","0.02231443205871678","0.17527519051651144","0.16666666666666666","4","9","false","GPR146","4.75","0","4","0","0","0","0","0.8574147269799445","false","0","GPR146","5122","0.3541666666666667"
"4","4.883116883116883","0.0","0.2047872340425532","0.0","1","8","false","STK3","4.0","0","1","0","0","0","0","0.7715813598166539","false","0","STK3","0","0.0"
