Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
96,6,0.3333,5.000,23.00,NaN,0.989480,"HOXD13 CARD8 ZZZ3 PIPOX FOXC1 DPH1"
97,6,0.3333,5.000,30.00,NaN,0.991158,"SYNE4 TRIM69 SH3GLB1 TLR4 ZNF829 UBE2G1"
98,7,0.3333,7.000,30.00,NaN,0.991664,"GKAP1 ABI1 CLUH SLC50A1 FAAP100 RCOR3 TRIP10"
99,6,0.3333,5.000,26.00,NaN,0.991970,"TMEM200C OR52K2 OR10H4 ARHGAP11B MOB2 TFAP2A"
100,6,0.3333,5.000,25.00,NaN,0.992070,"PDIA2 RTN1 SYVN1 TACC1 POC1B UBE2G1"
101,6,0.3333,5.000,30.00,NaN,0.992749,"CD82 RASGEF1A RCOR2 PDIA2 SPATA18 TCP11X1"
102,6,0.3333,5.000,21.00,NaN,0.993584,"LPAR2 ZNF133 MRPS24 D2HGDH STK3 RUNDC3B"
103,6,0.3333,5.000,26.00,NaN,0.993707,"FAM234A SCO1 LETM1 DGLUCY ZNF454 COX11"
104,6,0.3333,5.000,31.00,NaN,0.994464,"CGAS MRPL28 UEVLD C9orf64 GOT1L1 FLYWCH1"
105,7,0.3333,7.000,29.00,NaN,0.994812,"POLR2M CAPZB FAM219B RPAP2 RPAP3 UBE2Q2 HELLS"
106,6,0.3333,5.000,28.00,NaN,0.995447,"ELAVL3 OR52D1 PEX14 OR10A2 SOBP MIER2"
107,7,0.3333,7.000,48.00,NaN,0.997342,"ZNF668 RSBN1 ZNF165 C18orf21 KIF22 DDX52 RBMX2"
108,7,0.3333,7.000,45.00,NaN,0.997419,"EIF2S1 REST SNX27 SLC2A1 PDCL2 RAB11A RPS27L"
109,6,0.3333,5.000,23.00,NaN,0.997458,"SLC35B4 NOP9 TYROBP FAM234A LETM1 FAM83H"
110,13,0.3077,24.00,142.0,NaN,0.997672,"POLB NCAPG PNMA8A UTP15 RNF2 NCAPH NOM1 BMI1 SUZ12 PABPC4 VGF RCOR3 MSI2"
111,13,0.3077,24.00,96.00,NaN,0.998408,"PDIA3 CORO1B CYB5A DLAT CORO1C SLC25A13 RTN1 DLST YARS2 SYVN1 PDK1 MAPK1 MLEC"
112,6,0.3333,5.000,31.00,NaN,0.998647,"FAM234A PDZD4 SLC25A3 LETM1 MAP2K5 CYB5R1"
113,6,0.3333,5.000,31.00,NaN,0.998717,"UTP15 UGDH BRIX1 MYLK2 GTF2A1 TAF4B"
114,6,0.3333,5.000,29.00,NaN,0.998786,"SNX27 SLC2A1 KCNK18 HLCS CTDNEP1 NEIL3"
115,6,0.3333,5.000,30.00,NaN,0.998852,"GTF2H1 TACC1 ERCC4 UVSSA NPBWR2 POC1B"
116,7,0.3333,7.000,45.00,NaN,0.999134,"CEP162 NEDD1 ST3GAL3 CRTC3 CMKLR1 HELLS FITM2"
