"EdgeBetweenness","Host_organism_taxid","interaction","irefindex_check","mean_prob_aff","method","name","numParticipants","OP_A","OP_B","OP_check","Predicted Classes","Probability Score","Regression Value","score_norm","selected","shared interaction","shared name","stringdb_check","uidA","uidA_irefindex","uidB","uidB_irefindex"
"30.94090909090909","","interacts with","0","0.464231289","","COL3A1 (interacts with) CARD8",,"1","0","1","1","0.526829268","0.401633309",,"false","interacts with","COL3A1 (interacts with) CARD8","0","P02461","","Q9Y2G2",""
"56.42424242424242","","interacts with","0","0.476426285","","COL3A1 (interacts with) NOSTRIN",,"1","0","1","1","0.551219512","0.401633059",,"false","interacts with","COL3A1 (interacts with) NOSTRIN","0","P02461","","Q8IVI9",""
"18.049999999999997","","interacts with","0","0.476426379","","COL3A1 (interacts with) ARHGAP44",,"1","0","1","1","0.551219512","0.401633246",,"false","interacts with","COL3A1 (interacts with) ARHGAP44","0","P02461","","Q17R89",""
"31.463458110516928","","interacts with","0","0.46423127","","COL3A1 (interacts with) PRKCSH",,"1","0","1","1","0.526829268","0.401633271",,"false","interacts with","COL3A1 (interacts with) PRKCSH","0","P02461","","P14314",""
"27.6009343653867","","interacts with","0","0.476426235","","COL3A1 (interacts with) ZNF772",,"1","0","1","1","0.551219512","0.401632957",,"false","interacts with","COL3A1 (interacts with) ZNF772","0","P02461","","Q68DY9",""
"24.899999999999995","","interacts with","0","0.469109309","","SCAF4 (interacts with) COL3A1",,"0","1","1","1","0.536585366","0.401633252",,"false","interacts with","SCAF4 (interacts with) COL3A1","0","O95104","","P02461",""
"34.329437229437225","","interacts with","0","0.476426179","","COL3A1 (interacts with) TNMD",,"1","0","1","1","0.551219512","0.401632845",,"false","interacts with","COL3A1 (interacts with) TNMD","0","P02461","","Q9H2S6",""
"31.39465730910964","","interacts with","0","0.476426199","","COL3A1 (interacts with) GLYATL1",,"1","0","1","1","0.551219512","0.401632886",,"false","interacts with","COL3A1 (interacts with) GLYATL1","0","P02461","","Q969I3",""
"19.963131313131314","","interacts with","0","0.47642625","","COL3A1 (interacts with) TMPPE",,"1","0","1","1","0.551219512","0.401632987",,"false","interacts with","COL3A1 (interacts with) TMPPE","0","P02461","","Q6ZT21",""
"49.660389610389615","","interacts with","0","0.476426206","","RDH16 (interacts with) COL3A1",,"0","1","1","1","0.551219512","0.401632899",,"false","interacts with","RDH16 (interacts with) COL3A1","0","O75452","","P02461",""
"26.55757575757575","","interacts with","0","0.476426215","","COL3A1 (interacts with) OTUD5",,"1","0","1","1","0.551219512","0.401632917",,"false","interacts with","COL3A1 (interacts with) OTUD5","0","P02461","","Q96G74",""
"46.55757575757577","","interacts with","0","0.476426254","","COL3A1 (interacts with) NUAK2",,"1","0","1","1","0.551219512","0.401632995",,"false","interacts with","COL3A1 (interacts with) NUAK2","0","P02461","","Q9H093",""
"54.133333333333326","","interacts with","0","0.476426194","","COL3A1 (interacts with) ST3GAL3",,"1","0","1","1","0.551219512","0.401632877",,"false","interacts with","COL3A1 (interacts with) ST3GAL3","0","P02461","","Q11203",""
