"__leidenCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1","1.625","0.05816210995018602","0.6153846153846154","0.22631578947368422","22","3","false","MYC","10.35","0","21","1","1","1","0","0.9857954545454546","false","1","MYC","412","0.2288888888888889"
"1","1.7083333333333333","0.01848537752401958","0.5853658536585367","0.3626373626373626","14","2","false","PSMA4","13.428571428571429","0","14","0","0","0","0","0.9839015151515151","false","0","PSMA4","148","0.27976190476190477"
"6","1.0","0.8472222222222222","1.0","0.1111111111111111","11","1","false","CALCA","1.8888888888888888","0","10","1","1","1","0","1.0","false","1","CALCA","64","0.25925925925925924"
"6","1.8888888888888888","0.0","0.5294117647058824","0.0","1","2","false","COL9A3","9.0","0","1",,"0","0","0","0.9012345679012346","false","0","COL9A3","0","0.0"
"8","1.3333333333333333","0.0","0.75","1.0","2","2","false","XPNPEP2","2.5","0","2","0","0","0","0","0.888888888888889","false","0","XPNPEP2","0","0.8333333333333334"
"8","1.0","0.6666666666666666","1.0","0.3333333333333333","5","1","false","NOS3","1.6666666666666667","0","4","1","1","1","0","1.0","false","1","NOS3","4","0.6666666666666666"
"9","1.9375","0.0","0.5161290322580645","0.0","1","2","false","IGLV1-51","16.0","0","1","0",,"0","0","0.94140625","false","0","IGLV1-51","0","0.0"
"9","1.0","0.9375","1.0","0.05","16","1","false","SOST","1.75","0","16","1","1","1","0","1.0","false","0","SOST","228","0.16964285714285715"
"10","1.0","0.5566091954022988","1.0","0.11954022988505747","30","1","false","MYCN","4.466666666666667","0","30","1","1","1","0","1.0","false","0","MYCN","766","0.14888888888888888"
"11","0.0","0.0","0.0","0.0","0","0","true","TSR3","0.0","0","0",,"0","0","0","Infinity","false","0","TSR3","0","0.0"
