uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
P10451,Q6UWW0,1,0.551219512,0.401633257,0.476426385,0,,,,,,,0,SPP1,LCN15,1,0,1
P25940,Q86YF9,1,0.551219512,0.40163308,0.476426296,0,,,,,,,0,COL5A3,DZIP1,1,0,1
P0DMN0,P18075,1,0.551219512,0.401632975,0.476426244,0,,,,,,,0,SULT1A4,BMP7,0,1,1
P02461,P49888,1,0.551219512,0.401632932,0.476426222,0,,,,,,,0,COL3A1,SULT1E1,1,0,1
P10451,Q96HH9,1,0.551219512,0.401633386,0.476426449,0,,,,,,,0,SPP1,GRAMD2B,1,0,1
P25940,Q86WT6,1,0.551219512,0.401632881,0.476426196,0,,,,,,,0,COL5A3,TRIM69,1,0,1
P01106,Q9BYV6,1,0.551219512,0.401633048,0.47642628,0,,,,,,,0,MYC,TRIM55,1,0,1
P17612,Q32M84,1,0.526829268,0.401633342,0.464231305,0,,,,,,,0,PRKACA,BTBD16,1,0,1
O75333,P05997,1,0.551219512,0.401632895,0.476426204,0,,,,,,,0,TBX10,COL5A2,0,1,1
O95476,P04637,1,0.551219512,0.401633202,0.476426357,0,,,,,,,0,CTDNEP1,TP53,0,1,1
P42574,Q99719,1,0.551219512,0.40163315,0.476426331,0,,,,,,,0,CASP3,SEPTIN5,1,0,1
P08123,P50548,1,0.526829268,0.401633185,0.464231226,0,,,,,,,0,COL1A2,ERF,1,0,1
O75829,P02452,1,0.551219512,0.401632893,0.476426203,0,,,,,,,0,CNMD,COL1A1,0,1,1
P05997,Q9H8X9,1,0.551219512,0.401632829,0.476426171,0,,,,,,,0,COL5A2,ZDHHC11,1,0,1
P04198,Q6P1L5,1,0.551219512,0.401633607,0.47642656,0,,,,,,,0,MYCN,FAM117B,1,0,1
P18075,Q14005,1,0.551219512,0.401633058,0.476426285,0,,,,,,,0,BMP7,IL16,1,0,1
P02461,Q9BZI1,1,0.526829268,0.4016814,0.464255334,0,,,,,,,0,COL3A1,IRX2,1,0,1
P01106,P55916,1,0.551219512,0.401633019,0.476426266,0,,,,,,,0,MYC,UCP3,1,0,1
P29474,P29474,1,0.902439024,0.406930869,0.654684947,0,,,,,,,0,NOS3,NOS3,1,1,1
P25940,Q93097,1,0.551219512,0.401632798,0.476426155,0,,,,,,,0,COL5A3,WNT2B,1,0,1
O14788,Q6NZY4,1,0.551219512,0.401632874,0.476426193,0,,,,,,,0,TNFSF11,ZCCHC8,1,0,1
O14788,Q7Z418,1,0.551219512,0.401633371,0.476426442,0,,,,,,,0,TNFSF11,KCNK18,1,0,1
P20908,Q6QHC5,1,0.52195122,0.401681156,0.461816188,0,,,,,,,0,COL5A1,DEGS2,1,0,1
O14788,P48595,1,0.551219512,0.401633046,0.476426279,0,,,,,,,0,TNFSF11,SERPINB10,1,0,1
P25940,Q9P0L2,1,0.52195122,0.401681209,0.461816214,0,,,,,,,0,COL5A3,MARK1,1,0,1
P10451,P60411,1,0.52195122,0.401441503,0.461696361,0,,,,,,,0,SPP1,KRTAP10-9,1,0,1
Q9H1R3,Q9UNN8,1,0.526829268,0.401633213,0.464231241,0,,,,,,,0,MYLK2,PROCR,0,1,1
Q96K58,Q9Y4K3,1,0.526829268,0.401633031,0.46423115,0,,,,,,,0,ZNF668,TRAF6,0,1,1
P05997,Q9H6T3,1,0.52195122,0.401681093,0.461816156,0,,,,,,,0,COL5A2,RPAP3,1,0,1
O14788,P00390,1,0.526829268,0.401633118,0.464231193,0,,,,,,,0,TNFSF11,GSR,1,0,1
P02452,Q9BSW7,1,0.551219512,0.401632967,0.47642624,0,,,,,,,0,COL1A1,SYT17,1,0,1
A6NM76,Q04206,1,0.551219512,0.401633266,0.476426389,0,,,,,,,0,OR6C76,RELA,0,1,1
P10451,Q9Y467,1,0.551219512,0.401632911,0.476426212,0,,,,,,,0,SPP1,SALL2,1,0,1
P14923,P25940,1,0.526829268,0.401681103,0.464255186,0,,,,,,,0,JUP,COL5A3,0,1,1
P08123,Q9NR83,1,0.52195122,0.401681144,0.461816182,0,,,,,,,0,COL1A2,SLC2A4RG,1,0,1
Q04206,Q13115,1,0.551219512,0.401632991,0.476426252,0,,,,,,,0,RELA,DUSP4,1,0,1
P04198,Q96NL8,1,0.526829268,0.40163306,0.464231164,0,,,,,,,0,MYCN,CFAP418,1,0,1
Q04206,Q8NH80,1,0.551219512,0.4016333,0.476426406,0,,,,,,,0,RELA,OR10D3,1,0,1
P17612,Q14005,1,0.551219512,0.401632834,0.476426173,0,,,,,,,0,PRKACA,IL16,1,0,1
Q04206,Q04206,1,0.926829268,0.405260648,0.666044958,0,,Q04206,Q04206,"psi-mi:""MI:0364""(inferred by curator)",taxid:9606(Homo sapiens),2,1,RELA,RELA,1,1,1
P02461,Q9H714,1,0.551219512,0.40163297,0.476426241,0,,,,,,,0,COL3A1,RUBCNL,1,0,1
P05997,Q7Z3D6,1,0.526829268,0.401633236,0.464231252,0,,,,,,,0,COL5A2,DGLUCY,1,0,1
P12524,Q7Z4V0,1,0.551219512,0.401632918,0.476426215,0,,,,,,,0,MYCL,ZNF438,1,0,1
Q9BQB4,Q9UL49,1,0.551219512,0.401632888,0.4764262,0,,,,,,,0,SOST,TCFL5,1,0,1
