Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
MSTN-SGTA complex,MSTN-SGTA complex,complex_name,1,2.13,0.11872555410691005,MSTN,47,768,8.17,0.021,0.041,0.19555
LPAR2-S1PR3 complex,LPAR2-S1PR3 complex,complex_name,1,2.13,0.11872555410691005,LPAR2,47,768,8.17,0.021,0.041,0.19555
LPAR2-S1PR2 complex,LPAR2-S1PR2 complex,complex_name,1,2.13,0.11872555410691005,LPAR2,47,768,8.17,0.021,0.041,0.19555
LPAR2-S1PR1 complex,LPAR2-S1PR1 complex,complex_name,1,2.13,0.11872555410691005,LPAR2,47,768,8.17,0.021,0.041,0.19555
LPAR2-LPAR3 complex,LPAR2-LPAR3 complex,complex_name,1,2.13,0.11872555410691005,LPAR2,47,768,8.17,0.021,0.041,0.19555
LPAR1-LPAR2 complex,LPAR1-LPAR2 complex,complex_name,1,2.13,0.11872555410691005,LPAR2,47,768,8.17,0.021,0.041,0.19555
Lysophosphatidic acid receptor 2,Lysophosphatidic acid receptor 2,complex_name,1,2.13,0.061197916666666664,LPAR2,47,768,16.34,0.021,0.042,0.19555
GPR55-LPAR2 complex,GPR55-LPAR2 complex,complex_name,1,2.13,0.11872555410691005,LPAR2,47,768,8.17,0.021,0.041,0.19555
CXCR1-CXCR2 complex,CXCR1-CXCR2 complex,complex_name,1,2.13,0.11872555410691005,CXCR1,47,768,8.17,0.021,0.041,0.19555
C-X-C chemokine receptor type 1,C-X-C chemokine receptor type 1,complex_name,1,2.13,0.061197916666666664,CXCR1,47,768,16.34,0.021,0.042,0.19555
CXCR3-CXCR4 complex,CXCR3-CXCR4 complex,complex_name,1,2.13,0.11872555410691005,CXCR3,47,768,8.17,0.021,0.041,0.19555
CCKAR-HCRTR1 complex,CCKAR-HCRTR1 complex,complex_name,1,2.13,0.11872555410691005,CCKAR,47,768,8.17,0.021,0.041,0.19555
CCKAR-CCKBR complex,CCKAR-CCKBR complex,complex_name,1,2.13,0.11872555410691005,CCKAR,47,768,8.17,0.021,0.041,0.19555
GPR68-LPAR2 complex,GPR68-LPAR2 complex,complex_name,1,2.13,0.11872555410691005,LPAR2,47,768,8.17,0.021,0.041,0.19555
FSTL3-MSTN complex,FSTL3-MSTN complex,complex_name,1,2.13,0.11872555410691005,MSTN,47,768,8.17,0.021,0.041,0.19555
Myostatin,Myostatin,complex_name,1,2.13,0.061197916666666664,MSTN,47,768,16.34,0.021,0.042,0.19555
GPR4-LPAR2 complex,GPR4-LPAR2 complex,complex_name,1,2.13,0.11872555410691005,LPAR2,47,768,8.17,0.021,0.041,0.19555
L-B-P100 subcomplex,L-B-P100 subcomplex,complex_name,1,2.13,0.17279852924656444,FAAP100,47,768,5.45,0.02,0.04,0.2304
"LPAR2-TRIP6-NHERF2 complex, LPA stimulated","LPAR2-TRIP6-NHERF2 complex, LPA stimulated",complex_name,1,2.13,0.17279852924656444,LPAR2,47,768,5.45,0.02,0.04,0.2304
LPAR2-NHERF2-PLCB3 complex,LPAR2-NHERF2-PLCB3 complex,complex_name,1,2.13,0.17279852924656444,LPAR2,47,768,5.45,0.02,0.04,0.2304
ITGA11-ITGB1-COL1A1 complex,ITGA11-ITGB1-COL1A1 complex,complex_name,1,2.13,0.17279852924656444,COL1A1,47,768,5.45,0.02,0.04,0.2304
MRNIP-MRE11-NBN-RAD50 complex,MRNIP-MRE11-NBN-RAD50 complex,complex_name,1,2.13,0.22362005751507608,MRNIP,47,768,4.09,0.02,0.039,0.28461
FA core complex (Fanconi anemia core complex),FA core complex (Fanconi anemia core complex),complex_name,1,2.13,0.43528522385853413,FAAP100,47,768,1.82,0.018,0.036,0.50783
FA core complex (Fanconi anemia core complex),FA core complex (Fanconi anemia core complex),complex_name,1,2.13,0.43528522385853413,FAAP100,47,768,1.82,0.018,0.036,0.50783
Fanconi anemia FAAP100 complex,Fanconi anemia FAAP100 complex,complex_name,1,2.13,0.4702543865445011,FAAP100,47,768,1.63,0.018,0.035,0.52668
BAF complex,BAF complex,complex_name,1,2.13,0.5629263012853412,ACTL6B,47,768,1.26,0.017,0.033,0.60623
"Spliceosome, E complex","Spliceosome, E complex",complex_name,1,2.13,0.9998689665924264,RBM25,47,768,0.13,0.006,0.011,0.99987
"Spliceosome, A complex","Spliceosome, A complex",complex_name,1,2.13,0.9995286696505089,RBM25,47,768,0.15,0.006,0.013,0.99987
