Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
AR-HEY1 complex,AR-HEY1 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-CDC25B complex,AR-CDC25B complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-CCNE1 complex,AR-CCNE1 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-TCF4 complex,AR-TCF4 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-GSK3B complex,AR-GSK3B complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-CTNNB1 complex,AR-CTNNB1 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-RNASEL complex,AR-RNASEL complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-SETD7 complex,AR-SETD7 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-SMAD3 complex,AR-SMAD3 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-STAT3 complex,AR-STAT3 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-PAK6 complex,AR-PAK6 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-RANBP9 complex,AR-RANBP9 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-NR0B1 complex,AR-NR0B1 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-TNK2 complex,AR-TNK2 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-FHL2 complex,AR-FHL2 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-EGR1 complex,AR-EGR1 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-CDK6 complex,AR-CDK6 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-CCND1 complex,AR-CCND1 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
AR-RB1 complex,AR-RB1 complex,complex_name,1,50.0,0.005204938070404171,AR,2,768,192.0,0.333,0.5,0.00667
