Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
EP300-MDM2-TP53 complex,EP300-MDM2-TP53 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
p53beta-MDM2 complex,p53beta-MDM2 complex,complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
p53gamma-MDM2 complex,p53gamma-MDM2 complex,complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
P53alpha-P53beta complex,P53alpha-P53beta complex,complex_name,1,3.33,0.0390625,TP53,30,768,25.6,0.033,0.065,0.13396
P53alpha-P53gamma complex,P53alpha-P53gamma complex,complex_name,1,3.33,0.0390625,TP53,30,768,25.6,0.033,0.065,0.13396
TP53-TSPY1-USP7 complex,TP53-TSPY1-USP7 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
Del133-p53beta-RHOB complex,Del133-p53beta-RHOB complex,complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
p53-MDM2 complex,p53-MDM2 complex,complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
MDM2-MDM4-TP53 complex,MDM2-MDM4-TP53 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
CABLES1-TP53-TP73 complex,CABLES1-TP53-TP73 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
MDM2-RSL1D1-TP53 complex,MDM2-RSL1D1-TP53 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
EP300-TP53 complex,EP300-TP53 complex,complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
SMAD4-TP53-WWOX complex,SMAD4-TP53-WWOX complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
GHR-SOCS2 complex,GHR-SOCS2 complex,complex_name,1,3.33,0.07664806062581488,SOCS2,30,768,12.8,0.032,0.062,0.13396
ALDOB-G6PD-p53 complex,ALDOB-G6PD-p53 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
MDM2-TP53-WWOX complex,MDM2-TP53-WWOX complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
SCN7A-SCNB3 complex,SCN7A-SCNB3 complex,complex_name,1,3.33,0.07664806062581488,SCN3B,30,768,12.8,0.032,0.062,0.13396
PKRL homotetramer,PKRL homotetramer,complex_name,1,3.33,0.0390625,PKLR,30,768,25.6,0.033,0.065,0.13396
STIP-USP7-p53 complex,STIP-USP7-p53 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
FHL2-p53-HIPK2 complex,FHL2-p53-HIPK2 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
BCL2L1-TP53 complex,BCL2L1-TP53 complex,complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
BCL2-TP53 complex,BCL2-TP53 complex,complex_name,1,3.33,0.07664806062581488,TP53,30,768,12.8,0.032,0.062,0.13396
MDM2-TP53-YY1 complex,MDM2-TP53-YY1 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
P53-BARD1-KU70 complex,P53-BARD1-KU70 complex,complex_name,1,3.33,0.11281066921749315,TP53,30,768,8.53,0.031,0.061,0.13396
