Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
AKAP250-PDE4D-PRKACA complex,AKAP250-PDE4D-PRKACA complex,complex_name,1,4.35,0.08729029508682228,PRKACA,23,768,11.13,0.04,0.077,0.20368
AKAP9-PDE4D-PRKACA complex,AKAP9-PDE4D-PRKACA complex,complex_name,1,4.35,0.08729029508682228,PRKACA,23,768,11.13,0.04,0.077,0.20368
ASXL2-BAP1 complex,ASXL2-BAP1 complex,complex_name,1,4.35,0.05903683181225553,ASXL2,23,768,16.7,0.042,0.08,0.20368
MTHFD2-PARP3 complex,MTHFD2-PARP3 complex,complex_name,1,4.35,0.05903683181225553,PARP3,23,768,16.7,0.042,0.08,0.20368
ASXL2-PPARA complex,ASXL2-PPARA complex,complex_name,1,4.35,0.05903683181225553,ASXL2,23,768,16.7,0.042,0.08,0.20368
ASXL2-PPARG complex,ASXL2-PPARG complex,complex_name,1,4.35,0.05903683181225553,ASXL2,23,768,16.7,0.042,0.08,0.20368
KCNQ1 macromolecular complex,KCNQ1 macromolecular complex,complex_name,1,4.35,0.14138200154882594,PRKACA,23,768,6.68,0.037,0.071,0.23349
Kinase maturation complex 2,Kinase maturation complex 2,complex_name,1,4.35,0.21680782113302116,TBKBP1,23,768,4.17,0.033,0.065,0.23349
RXFP1 signalosome,RXFP1 signalosome,complex_name,1,4.35,0.16726432653490322,PRKACA,23,768,5.57,0.036,0.069,0.23349
SMYLE 1 complex,SMYLE 1 complex,complex_name,1,4.35,0.21680782113302116,PRKACA,23,768,4.17,0.033,0.065,0.23349
LIG3-LIG4-PARP1-PARP3(short)-XRCC5-XRCC6 complex,LIG3-LIG4-PARP1-PARP3(short)-XRCC5-XRCC6 complex,complex_name,1,4.35,0.19239939279434848,PARP3,23,768,4.77,0.034,0.067,0.23349
LIG3-LIG4-PARP1-PARP3(long)-XRCC5-XRCC6 complex,LIG3-LIG4-PARP1-PARP3(long)-XRCC5-XRCC6 complex,complex_name,1,4.35,0.19239939279434848,PARP3,23,768,4.77,0.034,0.067,0.23349
PARP3-EZH2-HDAC1-SUZ12-YY1 complex,PARP3-EZH2-HDAC1-SUZ12-YY1 complex,complex_name,1,4.35,0.14138200154882594,PARP3,23,768,6.68,0.037,0.071,0.23349
Nuclear pore complex,Nuclear pore complex,complex_name,1,4.35,0.6177886367614644,TPR,23,768,1.08,0.019,0.037,0.61779
