Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
AKT1-FOXO1-WDFY2 complex,AKT1-FOXO1-WDFY2 complex,complex_name,1,6.67,0.05753029248266448,AKT1,15,768,17.07,0.059,0.111,0.09736
AR-RNASEL complex,AR-RNASEL complex,complex_name,1,6.67,0.038705997392438074,RNASEL,15,768,25.6,0.062,0.118,0.09736
AKT1-MAPK14-MAPKAPK2 complex,AKT1-MAPK14-MAPKAPK2 complex,complex_name,1,6.67,0.05753029248266448,AKT1,15,768,17.07,0.059,0.111,0.09736
AKT1-APPL1-HDAC3 complex,AKT1-APPL1-HDAC3 complex,complex_name,1,6.67,0.05753029248266448,AKT1,15,768,17.07,0.059,0.111,0.09736
AKT1-NQO2 complex,AKT1-NQO2 complex,complex_name,1,6.67,0.038705997392438074,AKT1,15,768,25.6,0.062,0.118,0.09736
Propionyl-CoA carboxylase,Propionyl-CoA carboxylase,complex_name,1,6.67,0.038705997392438074,PCCA,15,768,25.6,0.062,0.118,0.09736
HTT-DISC1-PDE4B complex,HTT-DISC1-PDE4B complex,complex_name,1,6.67,0.05753029248266448,PDE4B,15,768,17.07,0.059,0.111,0.09736
NGFR-PDE4B complex,NGFR-PDE4B complex,complex_name,1,6.67,0.038705997392438074,PDE4B,15,768,25.6,0.062,0.118,0.09736
AKT1-TNK2 complex,AKT1-TNK2 complex,complex_name,1,6.67,0.038705997392438074,AKT1,15,768,25.6,0.062,0.118,0.09736
PDE4B-DISC1 complex,PDE4B-DISC1 complex,complex_name,1,6.67,0.038705997392438074,PDE4B,15,768,25.6,0.062,0.118,0.09736
TCL1(trimer)-AKT1 complex,TCL1(trimer)-AKT1 complex,complex_name,1,6.67,0.038705997392438074,AKT1,15,768,25.6,0.062,0.118,0.09736
AKT1-APPL1-AR complex,AKT1-APPL1-AR complex,complex_name,1,6.67,0.05753029248266448,AKT1,15,768,17.07,0.059,0.111,0.09736
YBX1-AKT1 complex,YBX1-AKT1 complex,complex_name,1,6.67,0.038705997392438074,AKT1,15,768,25.6,0.062,0.118,0.09736
G alpha-13-Hax-1-cortactin-Rac complex,G alpha-13-Hax-1-cortactin-Rac complex,complex_name,1,6.67,0.0760100906692789,AKT1,15,768,12.8,0.056,0.105,0.09837
9-1-1-LIG1 complex,9-1-1-LIG1 complex,complex_name,1,6.67,0.0760100906692789,LIG1,15,768,12.8,0.056,0.105,0.09837
AKT1-HSPB1-MAPK14-MAPKAPK2 complex,AKT1-HSPB1-MAPK14-MAPKAPK2 complex,complex_name,1,6.67,0.0760100906692789,AKT1,15,768,12.8,0.056,0.105,0.09837
MiDAC complex,MiDAC complex,complex_name,1,6.67,0.0760100906692789,MIDEAS,15,768,12.8,0.056,0.105,0.09837
AKT1-FANCI-FANCD2-PHLPP1-PHLPP2-USP1-WDR48 complex,AKT1-FANCI-FANCD2-PHLPP1-PHLPP2-USP1-WDR48 complex,complex_name,1,6.67,0.12944066276266392,AKT1,15,768,7.31,0.048,0.091,0.15821
"Repairosome complex, XPA-specific","Repairosome complex, XPA-specific",complex_name,1,6.67,0.17997632949603876,LIG1,15,768,5.12,0.042,0.08,0.20839
"RC complex, S-phase-specific","RC complex, S-phase-specific",complex_name,1,6.67,0.3689425046667696,LIG1,15,768,2.23,0.027,0.053,0.40584
"Spliceosome, C complex","Spliceosome, C complex",complex_name,1,6.67,0.5457693217458573,PPWD1,15,768,1.31,0.019,0.037,0.57176
C complex spliceosome,C complex spliceosome,complex_name,1,6.67,0.8110222344686611,PPWD1,15,768,0.64,0.011,0.021,0.81102
