Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
BCL2-BFAR-CASP8 complex,BCL2-BFAR-CASP8 complex,complex_name,1,6.25,0.061285151875163826,BCL2,16,768,16.0,0.056,0.105,0.09533
BCL2-CALM1-FKBP38 complex,BCL2-CALM1-FKBP38 complex,complex_name,1,6.25,0.061285151875163826,BCL2,16,768,16.0,0.056,0.105,0.09533
BCL2-TP53 complex,BCL2-TP53 complex,complex_name,1,6.25,0.04125923511516731,BCL2,16,768,24.0,0.059,0.111,0.09533
BICD2-dynein-dynactin complex,BICD2-dynein-dynactin complex,complex_name,1,6.25,0.061285151875163826,DCTN1,16,768,16.0,0.056,0.105,0.09533
BCL2-CISD2 complex,BCL2-CISD2 complex,complex_name,1,6.25,0.04125923511516731,BCL2,16,768,24.0,0.059,0.111,0.09533
BAX-BCL2-MCL1 complex,BAX-BCL2-MCL1 complex,complex_name,1,6.25,0.061285151875163826,BCL2,16,768,16.0,0.056,0.105,0.09533
BCL2-BCL2L11 complex,BCL2-BCL2L11 complex,complex_name,1,6.25,0.04125923511516731,BCL2,16,768,24.0,0.059,0.111,0.09533
BAX-BCL2 complex,BAX-BCL2 complex,complex_name,1,6.25,0.04125923511516731,BCL2,16,768,24.0,0.059,0.111,0.09533
BCL2-MCL1 complex,BCL2-MCL1 complex,complex_name,1,6.25,0.04125923511516731,BCL2,16,768,24.0,0.059,0.111,0.09533
DCTN1-DYNC1I1-NUDC-PLK1 complex,DCTN1-DYNC1I1-NUDC-PLK1 complex,complex_name,1,6.25,0.08091840360065061,DCTN1,16,768,12.0,0.053,0.1,0.10299
DCTN1-OSBPL1A-RAB7A-RILP complex,DCTN1-OSBPL1A-RAB7A-RILP complex,complex_name,1,6.25,0.08091840360065061,DCTN1,16,768,12.0,0.053,0.1,0.10299
Dynein-dynactin complex,Dynein-dynactin complex,complex_name,1,6.25,0.10016618572419718,DCTN1,16,768,9.6,0.05,0.095,0.10787
VPS34-VPS15-BECLIN1-UVRAG-BCL2 complex,VPS34-VPS15-BECLIN1-UVRAG-BCL2 complex,complex_name,1,6.25,0.10016618572419718,BCL2,16,768,9.6,0.05,0.095,0.10787
Centriolar subdistal appendage,Centriolar subdistal appendage,complex_name,1,6.25,0.13753351184720755,DCTN1,16,768,6.86,0.045,0.087,0.13753
