Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
PGR-PRMT2 complex,PGR-PRMT2 complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
PGR-SFPQ complex,PGR-SFPQ complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
NONO-PGR complex,NONO-PGR complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
NONO-PGR complex,NONO-PGR complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
NCOA2-PGR complex,NCOA2-PGR complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
CDC25B-PGR complex,CDC25B-PGR complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
ANP32A-PGR complex,ANP32A-PGR complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
PGR-RBM23 complex,PGR-RBM23 complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
PGR-RBM39 complex,PGR-RBM39 complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
NCOA3-PGR complex,NCOA3-PGR complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
KAT7-PGR complex,KAT7-PGR complex,complex_name,1,9.09,0.028459093872229464,PGR,11,768,34.91,0.083,0.154,0.05433
NONO-PGR-SIN3A complex,NONO-PGR-SIN3A complex,complex_name,1,9.09,0.042410725683463775,PGR,11,768,23.27,0.077,0.143,0.05566
FOLR1-PGR-SRC complex,FOLR1-PGR-SRC complex,complex_name,1,9.09,0.042410725683463775,PGR,11,768,23.27,0.077,0.143,0.05566
NCOA1-NCOA2-PGR complex,NCOA1-NCOA2-PGR complex,complex_name,1,9.09,0.042410725683463775,PGR,11,768,23.27,0.077,0.143,0.05566
ABCB1-PPP2R3C-TFPI2 complex,ABCB1-PPP2R3C-TFPI2 complex,complex_name,1,9.09,0.042410725683463775,PPP2R3C,11,768,23.27,0.077,0.143,0.05566
COPS5-NCOA1-PGR complex,COPS5-NCOA1-PGR complex,complex_name,1,9.09,0.042410725683463775,PGR,11,768,23.27,0.077,0.143,0.05566
CTBP1-LCOR-PGR-RBBP8 complex,CTBP1-LCOR-PGR-RBBP8 complex,complex_name,1,9.09,0.05617998322265581,PGR,11,768,17.45,0.071,0.133,0.0694
Cleavage and polyadenylation factor (CPSF),Cleavage and polyadenylation factor (CPSF),complex_name,1,9.09,0.06976901487782697,CPSF3,11,768,13.96,0.067,0.125,0.0814
AHCYL1-CPSF complex,AHCYL1-CPSF complex,complex_name,1,9.09,0.08317994651130524,CPSF3,11,768,11.64,0.062,0.118,0.09194
"Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)","Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)",complex_name,1,9.09,0.09641488166665385,CPSF3,11,768,9.97,0.059,0.111,0.10124
CF IIAm complex (Cleavage factor IIAm complex),CF IIAm complex (Cleavage factor IIAm complex),complex_name,1,9.09,0.2079457549032421,CPSF3,11,768,4.36,0.038,0.074,0.20795
