Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
Prune-GSK3beta complex,Prune-GSK3beta complex,complex_name,1,12.5,0.020738265971316817,GSK3B,8,768,48.0,0.111,0.2,0.0411
AXIN1-CTNNB1-GSK3B-PPP2R5A complex,AXIN1-CTNNB1-GSK3B-PPP2R5A complex,complex_name,1,12.5,0.041099236239419475,GSK3B,8,768,24.0,0.091,0.167,0.0411
AXIN1-APC-CTNNB1-GSK3B complex,AXIN1-APC-CTNNB1-GSK3B complex,complex_name,1,12.5,0.041099236239419475,GSK3B,8,768,24.0,0.091,0.167,0.0411
"TSC (TSC1, TSC2, AXIN, GSK3) complex","TSC (TSC1, TSC2, AXIN, GSK3) complex",complex_name,1,12.5,0.041099236239419475,GSK3B,8,768,24.0,0.091,0.167,0.0411
CSF3R-FBXW7-GSK3B complex,CSF3R-FBXW7-GSK3B complex,complex_name,1,12.5,0.030965542566916648,GSK3B,8,768,32.0,0.1,0.182,0.0411
FoxM1-Axin-GSK3beta complex,FoxM1-Axin-GSK3beta complex,complex_name,1,12.5,0.030965542566916648,GSK3B,8,768,32.0,0.1,0.182,0.0411
FBXW7-CDX2-GSK3B complex,FBXW7-CDX2-GSK3B complex,complex_name,1,12.5,0.030965542566916648,GSK3B,8,768,32.0,0.1,0.182,0.0411
AXIN1-GID8-GSK3B complex,AXIN1-GID8-GSK3B complex,complex_name,1,12.5,0.030965542566916648,GSK3B,8,768,32.0,0.1,0.182,0.0411
GSKIP-GSK3B-PRKAR2A complex,GSKIP-GSK3B-PRKAR2A complex,complex_name,1,12.5,0.030965542566916648,GSK3B,8,768,32.0,0.1,0.182,0.0411
PRKAR2A-GSKIP-GSK3B-DNM1L complex,PRKAR2A-GSKIP-GSK3B-DNM1L complex,complex_name,1,12.5,0.041099236239419475,GSK3B,8,768,24.0,0.091,0.167,0.0411
TSC2-GSK3-AXIN-DVL complex,TSC2-GSK3-AXIN-DVL complex,complex_name,1,12.5,0.041099236239419475,GSK3B,8,768,24.0,0.091,0.167,0.0411
CTNNB1-GSK3B-PHF19 complex,CTNNB1-GSK3B-PHF19 complex,complex_name,1,12.5,0.030965542566916648,GSK3B,8,768,32.0,0.1,0.182,0.0411
GSK3B-HSP90AA1-PKM2 complex,GSK3B-HSP90AA1-PKM2 complex,complex_name,1,12.5,0.030965542566916648,GSK3B,8,768,32.0,0.1,0.182,0.0411
GSK3B-SRPK1-WNK1 complex,GSK3B-SRPK1-WNK1 complex,complex_name,1,12.5,0.030965542566916648,GSK3B,8,768,32.0,0.1,0.182,0.0411
AR-GSK3B complex,AR-GSK3B complex,complex_name,1,12.5,0.020738265971316817,GSK3B,8,768,48.0,0.111,0.2,0.0411
