Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
CRB1-MPP5- PATJ complex,CRB1-MPP5- PATJ complex,complex_name,1,16.67,0.023284979115675668,PALS1,6,768,42.67,0.125,0.222,0.04863
CRB1-MPP4-MPP5 complex,CRB1-MPP4-MPP5 complex,complex_name,1,16.67,0.023284979115675668,PALS1,6,768,42.67,0.125,0.222,0.04863
PALS1-PAR3-PAR6 complex,PALS1-PAR3-PAR6 complex,complex_name,1,16.67,0.023284979115675668,PALS1,6,768,42.67,0.125,0.222,0.04863
AKT1-HSPB1-MAPK14-MAPKAPK2 complex,AKT1-HSPB1-MAPK14-MAPKAPK2 complex,complex_name,1,16.67,0.030945489083395856,MAPK14,6,768,32.0,0.111,0.2,0.04863
AKT1-MAPK14-MAPKAPK2 complex,AKT1-MAPK14-MAPKAPK2 complex,complex_name,1,16.67,0.023284979115675668,MAPK14,6,768,42.67,0.125,0.222,0.04863
MAPK14-MAPKAPK3 complex,MAPK14-MAPKAPK3 complex,complex_name,1,16.67,0.015574071056062582,MAPK14,6,768,64.0,0.143,0.25,0.04863
AMOT-MPP5-NF2-PATJ complex,AMOT-MPP5-NF2-PATJ complex,complex_name,1,16.67,0.030945489083395856,PALS1,6,768,32.0,0.111,0.2,0.04863
AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,AKAP13-MAP2K3-MAP3K20-MAPK14-PKN1 complex,complex_name,1,16.67,0.038555864823578624,MAPK14,6,768,25.6,0.1,0.182,0.05301
"RICH1/AMOT polarity complex, Flag-Rich1 precipitated","RICH1/AMOT polarity complex, Flag-Rich1 precipitated",complex_name,1,16.67,0.06108880977667354,PALS1,6,768,16.0,0.077,0.143,0.0672
"RICH1/AMOT polarity complex, Flag-Amot precipitated","RICH1/AMOT polarity complex, Flag-Amot precipitated",complex_name,1,16.67,0.06108880977667354,PALS1,6,768,16.0,0.077,0.143,0.0672
Set1B complex,Set1B complex,complex_name,1,16.67,0.09044668405546923,BOD1L1,6,768,10.67,0.059,0.111,0.09045
