Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
PPIA-RELA complex,PPIA-RELA complex,complex_name,1,4.76,0.05397449478487615,RELA,21,768,18.29,0.045,0.087,0.1758
NFKB1-RELA-UXT complex,NFKB1-RELA-UXT complex,complex_name,1,4.76,0.07990991986257537,RELA,21,768,12.19,0.043,0.083,0.1758
TC45-p65 complex,TC45-p65 complex,complex_name,1,4.76,0.05397449478487615,RELA,21,768,18.29,0.045,0.087,0.1758
NFKB2(p49)-RELA-SP1 complex,NFKB2(p49)-RELA-SP1 complex,complex_name,1,4.76,0.07990991986257537,RELA,21,768,12.19,0.043,0.083,0.1758
MUC1-RELA complex,MUC1-RELA complex,complex_name,1,4.76,0.05397449478487615,RELA,21,768,18.29,0.045,0.087,0.1758
RELA-STAT3 complex,RELA-STAT3 complex,complex_name,1,4.76,0.05397449478487615,RELA,21,768,18.29,0.045,0.087,0.1758
NFKB1-NFKBIA-RELA complex,NFKB1-NFKBIA-RELA complex,complex_name,1,4.76,0.07990991986257537,RELA,21,768,12.19,0.043,0.083,0.1758
MURR1-NF(kappa)Bp65-IKBA complex,MURR1-NF(kappa)Bp65-IKBA complex,complex_name,1,4.76,0.07990991986257537,RELA,21,768,12.19,0.043,0.083,0.1758
NFKB1-RELA complex,NFKB1-RELA complex,complex_name,1,4.76,0.05397449478487615,RELA,21,768,18.29,0.045,0.087,0.1758
NR1H4-RELA complex,NR1H4-RELA complex,complex_name,1,4.76,0.05397449478487615,RELA,21,768,18.29,0.045,0.087,0.1758
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1-NFKB2-REL-RELA-RELB complex,complex_name,1,4.76,0.12976348153966527,RELA,21,768,7.31,0.04,0.077,0.19032
REL-MAP3K8-RELA-TNIP2-PAPOLA complex,REL-MAP3K8-RELA-TNIP2-PAPOLA complex,complex_name,1,4.76,0.12976348153966527,RELA,21,768,7.31,0.04,0.077,0.19032
CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,CHUK-IQGAP2-AKAP8L-RELA-TNIP2 complex,complex_name,1,4.76,0.12976348153966527,RELA,21,768,7.31,0.04,0.077,0.19032
NFKB1-POU2F1-POU2F2-RELA-YY1 complex,NFKB1-POU2F1-POU2F2-RELA-YY1 complex,complex_name,1,4.76,0.12976348153966527,RELA,21,768,7.31,0.04,0.077,0.19032
NFKB1-NFKB2-RELA-RELB complex,NFKB1-NFKB2-RELA-RELB complex,complex_name,1,4.76,0.10516729461144586,RELA,21,768,9.14,0.042,0.08,0.19032
"IkappaB kinase complex (IKBKB, CHUK, IKBKAP, NFKBIA, RELA, MAP3K14)","IkappaB kinase complex (IKBKB, CHUK, IKBKAP, NFKBIA, RELA, MAP3K14)",complex_name,1,4.76,0.15371494535050018,RELA,21,768,6.1,0.038,0.074,0.21136
"TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)","TNF-alpha/NF-kappa B signaling complex (CHUK, BTRC, NFKB2, PPP6C, REL, CUL1, IKBKE, SAPS2, SAPS1, ANKRD28, RELA, SKP1)",complex_name,1,4.76,0.2847586404465546,RELA,21,768,3.05,0.031,0.061,0.31323
"TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)","TNF-alpha/NF-kappa B signaling complex (SEC16A, CHUK, IKBKB, NFKB2, REL, IKBKG, MAP3K14, RELA, FBXW7, USP2)",complex_name,1,4.76,0.24338943211328912,RELA,21,768,3.66,0.033,0.065,0.31323
TNFalpha-NFkappa B signaling complex,TNFalpha-NFkappa B signaling complex,complex_name,1,4.76,0.2847586404465546,RELA,21,768,3.05,0.031,0.061,0.31323
NFKB1 signalling complex,NFKB1 signalling complex,complex_name,1,4.76,0.2847586404465546,RELA,21,768,3.05,0.031,0.061,0.31323
TNFalpha-NFkappa B signaling complex,TNFalpha-NFkappa B signaling complex,complex_name,1,4.76,0.3789657646640626,RELA,21,768,2.15,0.027,0.053,0.39701
TNFalpha-NFkappa B signaling complex 5,TNFalpha-NFkappa B signaling complex 5,complex_name,1,4.76,0.5055641441168761,RELA,21,768,1.46,0.022,0.043,0.50556
