Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
CASR-RAMP1 complex,CASR-RAMP1 complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
CASR-RAMP3 complex,CASR-RAMP3 complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
CASR-RNF19A complex,CASR-RNF19A complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
ARRB1-CASR complex,ARRB1-CASR complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
CASR-GRM1 complex,CASR-GRM1 complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
CASR-GRM5 complex,CASR-GRM5 complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
CASR-GABBR1a complex,CASR-GABBR1a complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
CASR-GABBR2 complex,CASR-GABBR2 complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
CASR-FLNA complex,CASR-FLNA complex,complex_name,1,50.0,0.005204938070404171,CASR,2,768,192.0,0.333,0.5,0.0052
