Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
ADRB2-PTGER1 complex,ADRB2-PTGER1 complex,complex_name,1,2.5,0.10151836158192089,PTGER1,40,768,9.6,0.024,0.048,0.13536
PDE7A-PRKCA complex,PDE7A-PRKCA complex,complex_name,1,2.5,0.10151836158192089,PDE7A,40,768,9.6,0.024,0.048,0.13536
PDE7A-THBS3 complex,PDE7A-THBS3 complex,complex_name,1,2.5,0.10151836158192089,PDE7A,40,768,9.6,0.024,0.048,0.13536
PDE7A-TMOD1 complex,PDE7A-TMOD1 complex,complex_name,1,2.5,0.10151836158192089,PDE7A,40,768,9.6,0.024,0.048,0.13536
AGTR1-UTS2R complex,AGTR1-UTS2R complex,complex_name,1,2.5,0.10151836158192089,UTS2R,40,768,9.6,0.024,0.048,0.13536
P2RY1-P2RY11 complex,P2RY1-P2RY11 complex,complex_name,1,2.5,0.10151836158192089,P2RY11,40,768,9.6,0.024,0.048,0.13536
P2RY11-TMED2 complex,P2RY11-TMED2 complex,complex_name,1,2.5,0.10151836158192089,P2RY11,40,768,9.6,0.024,0.048,0.13536
CPE-HTR1E complex,CPE-HTR1E complex,complex_name,1,2.5,0.10151836158192089,HTR1E,40,768,9.6,0.024,0.048,0.13536
ADGRG1-COL3A1 complex,ADGRG1-COL3A1 complex,complex_name,1,2.5,0.10151836158192089,COL3A1,40,768,9.6,0.024,0.048,0.13536
NOS3-CAV1-NOSTRIN complex,NOS3-CAV1-NOSTRIN complex,complex_name,1,2.5,0.1484364628047971,NOSTRIN,40,768,6.4,0.024,0.047,0.16193
CBFA2T3-PDE7A-PRKAR2A complex,CBFA2T3-PDE7A-PRKAR2A complex,complex_name,1,2.5,0.1484364628047971,PDE7A,40,768,6.4,0.024,0.047,0.16193
"Spliceosome, E complex","Spliceosome, E complex",complex_name,1,2.5,0.9994835481798723,SCAF4,40,768,0.15,0.006,0.012,0.99948
