Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
DLG4-DLGAP1-SHANK3 complex,DLG4-DLGAP1-SHANK3 complex,complex_name,1,12.5,0.030965542566916648,DLGAP1,8,768,32.0,0.1,0.182,0.04645
KDR-PTPN6-SRC complex,KDR-PTPN6-SRC complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
KDR-SRC complex,KDR-SRC complex,complex_name,1,12.5,0.020738265971316817,SRC,8,768,48.0,0.111,0.2,0.04645
SMIM30-SRC complex,SMIM30-SRC complex,complex_name,1,12.5,0.020738265971316817,SRC,8,768,48.0,0.111,0.2,0.04645
FOLR1-PGR-SRC complex,FOLR1-PGR-SRC complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
PTK2-PXN-SRC complex,PTK2-PXN-SRC complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
ASAP1-SRC complex,ASAP1-SRC complex,complex_name,1,12.5,0.020738265971316817,SRC,8,768,48.0,0.111,0.2,0.04645
DLGAP1-DLG4-DYNLL2 complex,DLGAP1-DLG4-DYNLL2 complex,complex_name,1,12.5,0.030965542566916648,DLGAP1,8,768,32.0,0.1,0.182,0.04645
DLC1-DLGAP1-MYO5A complex,DLC1-DLGAP1-MYO5A complex,complex_name,1,12.5,0.030965542566916648,DLGAP1,8,768,32.0,0.1,0.182,0.04645
KDR-MMP14-SRC complex,KDR-MMP14-SRC complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
FLT4-ITGB1-SRC complex,FLT4-ITGB1-SRC complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
CNK1-SRC-RAF1 complex,CNK1-SRC-RAF1 complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
CBL-OSTF1-SRC complex,CBL-OSTF1-SRC complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
BCAR1-PTK2-SRC complex,BCAR1-PTK2-SRC complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
SRC-TNFRSF11A-TRAF6 complex,SRC-TNFRSF11A-TRAF6 complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
CDCP1-EGFR-SRC complex,CDCP1-EGFR-SRC complex,complex_name,1,12.5,0.030965542566916648,SRC,8,768,32.0,0.1,0.182,0.04645
ABCB1-ANXA2-RACK1-SRC complex,ABCB1-ANXA2-RACK1-SRC complex,complex_name,1,12.5,0.041099236239419475,SRC,8,768,24.0,0.091,0.167,0.05191
BCAR1-ESR1-PIK3R1-SRC complex,BCAR1-ESR1-PIK3R1-SRC complex,complex_name,1,12.5,0.041099236239419475,SRC,8,768,24.0,0.091,0.167,0.05191
ITGA2b-ITGB3-CD47-SRC complex,ITGA2b-ITGB3-CD47-SRC complex,complex_name,1,12.5,0.041099236239419475,SRC,8,768,24.0,0.091,0.167,0.05191
m(6)A methyltransferase complex,m(6)A methyltransferase complex,complex_name,1,12.5,0.06108880977667354,ZC3H13,8,768,16.0,0.077,0.143,0.07331
CAMK2-delta-MASH1 promoter-coactivator complex,CAMK2-delta-MASH1 promoter-coactivator complex,complex_name,1,12.5,0.08071280849625219,SRC,8,768,12.0,0.067,0.125,0.09224
MASH1 promoter-coactivator complex,MASH1 promoter-coactivator complex,complex_name,1,12.5,0.09038951577523899,SRC,8,768,10.67,0.062,0.118,0.09861
Polycystin-1 multiprotein complex,Polycystin-1 multiprotein complex,complex_name,1,12.5,0.10947590177396901,SRC,8,768,8.73,0.056,0.105,0.11424
CEN complex,CEN complex,complex_name,1,12.5,0.3275771924355195,ZC3H13,8,768,2.59,0.023,0.044,0.32758
