Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
DZIP1-GLI3 complex,DZIP1-GLI3 complex,complex_name,1,1.89,0.13334216101694915,DZIP1,53,768,7.25,0.019,0.036,0.30478
CEP164-DZIP1 complex,CEP164-DZIP1 complex,complex_name,1,1.89,0.13334216101694915,DZIP1,53,768,7.25,0.019,0.036,0.30478
DZIP1-IFT88 complex,DZIP1-IFT88 complex,complex_name,1,1.89,0.13334216101694915,DZIP1,53,768,7.25,0.019,0.036,0.30478
CNR2-SQSTM1 receptor complex,CNR2-SQSTM1 receptor complex,complex_name,1,1.89,0.13334216101694915,CNR2,53,768,7.25,0.019,0.036,0.30478
CNR1-CNR2 complex,CNR1-CNR2 complex,complex_name,1,1.89,0.13334216101694915,CNR2,53,768,7.25,0.019,0.036,0.30478
CNR2-CXCR4 complex,CNR2-CXCR4 complex,complex_name,1,1.89,0.13334216101694915,CNR2,53,768,7.25,0.019,0.036,0.30478
CNR2-LPAR5 complex,CNR2-LPAR5 complex,complex_name,1,1.89,0.13334216101694915,CNR2,53,768,7.25,0.019,0.036,0.30478
ArgRS-GlnRS-AIMP1 complex,ArgRS-GlnRS-AIMP1 complex,complex_name,1,1.89,0.19330673734345266,RARS1,53,768,4.83,0.018,0.036,0.34366
TELO2-TTI1-TTI2 complex,TELO2-TTI1-TTI2 complex,complex_name,1,1.89,0.19330673734345266,TELO2,53,768,4.83,0.018,0.036,0.34366
KICSTOR complex,KICSTOR complex,complex_name,1,1.89,0.24919529018109582,ITFG2,53,768,3.62,0.018,0.035,0.39871
"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)","Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",complex_name,1,1.89,0.3012799101030879,ASB2,53,768,2.9,0.018,0.034,0.43823
Multisynthetase complex,Multisynthetase complex,complex_name,1,1.89,0.5470340424745401,RARS1,53,768,1.32,0.016,0.031,0.67327
CENP-H-I complex,CENP-H-I complex,complex_name,1,1.89,0.5470340424745401,CENPL,53,768,1.32,0.016,0.031,0.67327
CENP-A NAC-CAD complex,CENP-A NAC-CAD complex,complex_name,1,1.89,0.6357781183728375,CENPL,53,768,1.04,0.015,0.03,0.70547
CENP-A nucleosomal complex,CENP-A nucleosomal complex,complex_name,1,1.89,0.6613799217232879,CENPL,53,768,0.97,0.015,0.029,0.70547
CEN complex,CEN complex,complex_name,1,1.89,0.9336121057929134,CENPL,53,768,0.39,0.011,0.022,0.93361
