Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
PPP2CA-PPP2R1A complex,PPP2CA-PPP2R1A complex,complex_name,1,50.0,0.005204938070404171,PPP2CA,2,768,192.0,0.333,0.5,0.01463
PPP2CA-PPP2R1A-PPP2R3A complex,PPP2CA-PPP2R1A-PPP2R3A complex,complex_name,1,50.0,0.0078023142112125165,PPP2CA,2,768,128.0,0.25,0.4,0.01463
protein phosphatase 2A C-subunit-synapsin complex,protein phosphatase 2A C-subunit-synapsin complex,complex_name,1,50.0,0.005204938070404171,PPP2CA,2,768,192.0,0.333,0.5,0.01463
LPP-PPP2CA-PPP2R3A complex,LPP-PPP2CA-PPP2R3A complex,complex_name,1,50.0,0.0078023142112125165,PPP2CA,2,768,128.0,0.25,0.4,0.01463
PP2A A/C-striatin complex,PP2A A/C-striatin complex,complex_name,1,50.0,0.0078023142112125165,PPP2CA,2,768,128.0,0.25,0.4,0.01463
PP2A A/C-SG2NA complex,PP2A A/C-SG2NA complex,complex_name,1,50.0,0.0078023142112125165,PPP2CA,2,768,128.0,0.25,0.4,0.01463
IGBP1-MID1-PPP2CA complex,IGBP1-MID1-PPP2CA complex,complex_name,1,50.0,0.0078023142112125165,PPP2CA,2,768,128.0,0.25,0.4,0.01463
AR-PPP2CA-PPP2R1A complex,AR-PPP2CA-PPP2R1A complex,complex_name,1,50.0,0.0078023142112125165,PPP2CA,2,768,128.0,0.25,0.4,0.01463
GRIN3A-PP2A complex,GRIN3A-PP2A complex,complex_name,1,50.0,0.010396295089091697,PPP2CA,2,768,96.0,0.2,0.333,0.01559
HSF1-IER5-PP2A complex,HSF1-IER5-PP2A complex,complex_name,1,50.0,0.010396295089091697,PPP2CA,2,768,96.0,0.2,0.333,0.01559
EIF4A1-PPME1-PPP2CA-PPP2R1A-PPP2R1B complex,EIF4A1-PPME1-PPP2CA-PPP2R1A-PPP2R1B complex,complex_name,1,50.0,0.012986880704041722,PPP2CA,2,768,76.8,0.167,0.286,0.01771
STRIPAK complex,STRIPAK complex,complex_name,1,50.0,0.028459093872229464,PPP2CA,2,768,34.91,0.083,0.154,0.03557
Integrator complex,Integrator complex,complex_name,1,50.0,0.031025912646675362,INTS5,2,768,32.0,0.077,0.143,0.0358
DSS1 complex,DSS1 complex,complex_name,1,50.0,0.03358933615819209,INTS5,2,768,29.54,0.071,0.133,0.03599
Integrator-RNAPII complex,Integrator-RNAPII complex,complex_name,1,50.0,0.036149364406779655,INTS5,2,768,27.43,0.067,0.125,0.03615
