Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
RB1-TFAP2A complex,RB1-TFAP2A complex,complex_name,1,2.38,0.10645167861799218,TFAP2A,42,768,9.14,0.023,0.045,0.26711
Grancalcin-sorcin complex,Grancalcin-sorcin complex,complex_name,1,2.38,0.10645167861799218,GCA,42,768,9.14,0.023,0.045,0.26711
TFAP2C-Myc-KDM5B complex,TFAP2C-Myc-KDM5B complex,complex_name,1,2.38,0.15544518971204482,MYC,42,768,6.1,0.023,0.044,0.26711
FILIP1-FLNA complex,FILIP1-FLNA complex,complex_name,1,2.38,0.10645167861799218,FILIP1,42,768,9.14,0.023,0.045,0.26711
FILIP1-RHOD complex,FILIP1-RHOD complex,complex_name,1,2.38,0.10645167861799218,FILIP1,42,768,9.14,0.023,0.045,0.26711
"PELI1-IRAK4-IRAK1-TRAF6 complex, IL-1-induced","PELI1-IRAK4-IRAK1-TRAF6 complex, IL-1-induced",complex_name,1,2.38,0.2018129047866777,TRAF6,42,768,4.57,0.022,0.043,0.26711
PRKCZ-SQSTM-TRAF6 complex,PRKCZ-SQSTM-TRAF6 complex,complex_name,1,2.38,0.15544518971204482,TRAF6,42,768,6.1,0.023,0.044,0.26711
MYC-TRRAP-KAT2A complex,MYC-TRRAP-KAT2A complex,complex_name,1,2.38,0.15544518971204482,MYC,42,768,6.1,0.023,0.044,0.26711
YAP-cMYC complex,YAP-cMYC complex,complex_name,1,2.38,0.10645167861799218,MYC,42,768,9.14,0.023,0.045,0.26711
HRAS-IRAK1-IRAK2-TRAF6 complex,HRAS-IRAK1-IRAK2-TRAF6 complex,complex_name,1,2.38,0.2018129047866777,TRAF6,42,768,4.57,0.022,0.043,0.26711
RAB24-RAB27A-RILP complex,RAB24-RAB27A-RILP complex,complex_name,1,2.38,0.15544518971204482,RAB24,42,768,6.1,0.023,0.044,0.26711
TLR3 signaling complex,TLR3 signaling complex,complex_name,1,2.38,0.2018129047866777,TRAF6,42,768,4.57,0.022,0.043,0.26711
IRF7-MYD88-TRAF6 complex,IRF7-MYD88-TRAF6 complex,complex_name,1,2.38,0.15544518971204482,TRAF6,42,768,6.1,0.023,0.044,0.26711
SRI complex,SRI complex,complex_name,1,2.38,0.10645167861799218,C17orf75,42,768,9.14,0.023,0.045,0.26711
TIRAP-TRAF6 complex,TIRAP-TRAF6 complex,complex_name,1,2.38,0.10645167861799218,TRAF6,42,768,9.14,0.023,0.045,0.26711
TBK1-TRAF6 complex,TBK1-TRAF6 complex,complex_name,1,2.38,0.10645167861799218,TRAF6,42,768,9.14,0.023,0.045,0.26711
ECSIT-TAK1-TRAF6 complex,ECSIT-TAK1-TRAF6 complex,complex_name,1,2.38,0.15544518971204482,TRAF6,42,768,6.1,0.023,0.044,0.26711
PIK3CA-TRAF6 complex,PIK3CA-TRAF6 complex,complex_name,1,2.38,0.10645167861799218,TRAF6,42,768,9.14,0.023,0.045,0.26711
PIK3CA-PIK3R1-TRAF6 complex,PIK3CA-PIK3R1-TRAF6 complex,complex_name,1,2.38,0.15544518971204482,TRAF6,42,768,6.1,0.023,0.044,0.26711
MYC-MAX complex,MYC-MAX complex,complex_name,1,2.38,0.10645167861799218,MYC,42,768,9.14,0.023,0.045,0.26711
TNFRSF11A-TRAF6-VAV3 complex,TNFRSF11A-TRAF6-VAV3 complex,complex_name,1,2.38,0.15544518971204482,TRAF6,42,768,6.1,0.023,0.044,0.26711
EXO1-MLH1-PMS2 complex,EXO1-MLH1-PMS2 complex,complex_name,1,2.38,0.15544518971204482,PMS2,42,768,6.1,0.023,0.044,0.26711
