Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
ALYREF-MYCN complex,ALYREF-MYCN complex,complex_name,1,3.7,0.06912076271186442,MYCN,27,768,14.22,0.036,0.069,0.10193
MYCN-SIRT1 complex,MYCN-SIRT1 complex,complex_name,1,3.7,0.06912076271186442,MYCN,27,768,14.22,0.036,0.069,0.10193
HDAC2-MYCN-SP1 complex,HDAC2-MYCN-SP1 complex,complex_name,1,3.7,0.1019324329557021,MYCN,27,768,9.48,0.034,0.067,0.10193
HDAC1-MYCN-SP1 complex,HDAC1-MYCN-SP1 complex,complex_name,1,3.7,0.1019324329557021,MYCN,27,768,9.48,0.034,0.067,0.10193
MYCN-SP1-ZBTB17 complex,MYCN-SP1-ZBTB17 complex,complex_name,1,3.7,0.1019324329557021,MYCN,27,768,9.48,0.034,0.067,0.10193
AURKA-MYCN complex,AURKA-MYCN complex,complex_name,1,3.7,0.06912076271186442,MYCN,27,768,14.22,0.036,0.069,0.10193
KDM1A-MYCN complex,KDM1A-MYCN complex,complex_name,1,3.7,0.06912076271186442,MYCN,27,768,14.22,0.036,0.069,0.10193
