Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
HDAC4-ERK2 complex,HDAC4-ERK2 complex,complex_name,1,20.0,0.012986880704041722,MAPK1,5,768,76.8,0.167,0.286,0.03221
LAMTOR2-LAMTOR3-MAPK1 complex,LAMTOR2-LAMTOR3-MAPK1 complex,complex_name,1,20.0,0.019429525085869124,MAPK1,5,768,51.2,0.143,0.25,0.03221
KDR-MAPK1-MAPK3-PRKCA-S1PR1 complex,KDR-MAPK1-MAPK3-PRKCA-S1PR1 complex,complex_name,1,20.0,0.03221388504009299,MAPK1,5,768,30.72,0.111,0.2,0.03221
KDR-MAPK1-MAPK3-PRKCA-S1PR2 complex,KDR-MAPK1-MAPK3-PRKCA-S1PR2 complex,complex_name,1,20.0,0.03221388504009299,MAPK1,5,768,30.72,0.111,0.2,0.03221
KDR-MAPK1-MAPK3-PRKCA-S1PR3 complex,KDR-MAPK1-MAPK3-PRKCA-S1PR3 complex,complex_name,1,20.0,0.03221388504009299,MAPK1,5,768,30.72,0.111,0.2,0.03221
KDR-MAPK1-MAPK3-PRKCA-S1PR5 complex,KDR-MAPK1-MAPK3-PRKCA-S1PR5 complex,complex_name,1,20.0,0.03221388504009299,MAPK1,5,768,30.72,0.111,0.2,0.03221
MAPK1-PTK2-PXN complex,MAPK1-PTK2-PXN complex,complex_name,1,20.0,0.019429525085869124,MAPK1,5,768,51.2,0.143,0.25,0.03221
ARHGEF2-MAPK1-MAPK3-PXN complex,ARHGEF2-MAPK1-MAPK3-PXN complex,complex_name,1,20.0,0.025838482438249065,MAPK1,5,768,38.4,0.125,0.222,0.03221
BVR-PKCD-ERK2 complex,BVR-PKCD-ERK2 complex,complex_name,1,20.0,0.019429525085869124,MAPK1,5,768,51.2,0.143,0.25,0.03221
CD44-ERK1-ERK2-RHAMM complex,CD44-ERK1-ERK2-RHAMM complex,complex_name,1,20.0,0.025838482438249065,MAPK1,5,768,38.4,0.125,0.222,0.03221
CDC37-HSP90AA1-MAPK1-MAPK3-MAPK11 complex,CDC37-HSP90AA1-MAPK1-MAPK3-MAPK11 complex,complex_name,1,20.0,0.03221388504009299,MAPK1,5,768,30.72,0.111,0.2,0.03221
NR3C1-NR4A3 complex,NR3C1-NR4A3 complex,complex_name,1,20.0,0.012986880704041722,NR4A3,5,768,76.8,0.167,0.286,0.03221
