Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,Jaccard,F-measure,FDR
ABIN2-MAP3K8-NFKB1 complex,ABIN2-MAP3K8-NFKB1 complex,complex_name,1,25.0,0.015563938456772683,NFKB1,4,768,64.0,0.167,0.286,0.02802
NFKB1-RELA-UXT complex,NFKB1-RELA-UXT complex,complex_name,1,25.0,0.015563938456772683,NFKB1,4,768,64.0,0.167,0.286,0.02802
ANKRD1-NFKB1 complex,ANKRD1-NFKB1 complex,complex_name,1,25.0,0.010396295089091697,NFKB1,4,768,96.0,0.2,0.333,0.02802
MCM8-MCM9 complex,MCM8-MCM9 complex,complex_name,1,25.0,0.010396295089091697,MCM8,4,768,96.0,0.2,0.333,0.02802
NFKB1-STAT3 complex,NFKB1-STAT3 complex,complex_name,1,25.0,0.010396295089091697,NFKB1,4,768,96.0,0.2,0.333,0.02802
NFKB1-NFKBIA-RELA complex,NFKB1-NFKBIA-RELA complex,complex_name,1,25.0,0.015563938456772683,NFKB1,4,768,64.0,0.167,0.286,0.02802
NFKB1-RELA complex,NFKB1-RELA complex,complex_name,1,25.0,0.010396295089091697,NFKB1,4,768,96.0,0.2,0.333,0.02802
FEM1A-NFKB1(p105)-PTGER4 complex,FEM1A-NFKB1(p105)-PTGER4 complex,complex_name,1,25.0,0.015563938456772683,NFKB1,4,768,64.0,0.167,0.286,0.02802
FEM1A-NFKB1(p50)-PTGER4 complex,FEM1A-NFKB1(p50)-PTGER4 complex,complex_name,1,25.0,0.015563938456772683,NFKB1,4,768,64.0,0.167,0.286,0.02802
MCM8-ORC2-CDC6 complex,MCM8-ORC2-CDC6 complex,complex_name,1,25.0,0.015563938456772683,MCM8,4,768,64.0,0.167,0.286,0.02802
NFKB1-POU2F1-POU2F2-RELA-YY1 complex,NFKB1-POU2F1-POU2F2-RELA-YY1 complex,complex_name,1,25.0,0.025838482438249065,NFKB1,4,768,38.4,0.125,0.222,0.03322
MCM8-MCM9-MRE11A-NBN-RAD50 complex,MCM8-MCM9-MRE11A-NBN-RAD50 complex,complex_name,1,25.0,0.025838482438249065,MCM8,4,768,38.4,0.125,0.222,0.03322
NFKB1-NFKB2-RELA-RELB complex,NFKB1-NFKB2-RELA-RELB complex,complex_name,1,25.0,0.02071131655634511,NFKB1,4,768,48.0,0.143,0.25,0.03322
NFKB1-NFKB2-REL-RELA-RELB complex,NFKB1-NFKB2-REL-RELA-RELB complex,complex_name,1,25.0,0.025838482438249065,NFKB1,4,768,38.4,0.125,0.222,0.03322
NFKB1 signalling complex,NFKB1 signalling complex,complex_name,1,25.0,0.06116714315278708,NFKB1,4,768,16.0,0.067,0.125,0.06881
TNFalpha-NFkappa B signaling complex,TNFalpha-NFkappa B signaling complex,complex_name,1,25.0,0.06116714315278708,NFKB1,4,768,16.0,0.067,0.125,0.06881
TNFalpha-NFkappa B signaling complex,TNFalpha-NFkappa B signaling complex,complex_name,1,25.0,0.08580713549639181,NFKB1,4,768,11.29,0.05,0.095,0.09085
TNFalpha-NFkappa B signaling complex 5,TNFalpha-NFkappa B signaling complex 5,complex_name,1,25.0,0.12421831636653718,NFKB1,4,768,7.68,0.036,0.069,0.12422
