uid,gene,category
Q86SS6,SYT9,Other_Cellular_Proteins
Q86TB3,ALPK2,Cellular Enzymes
Q86TM6,SYVN1,Other_Cellular_Proteins
Q86TY3,ARMH4,Membrane_Proteins
Q86U38,NOP9,Other_Cellular_Proteins
Q86UN6,AKAP14,Cellular Enzymes
Q86V59,PNMA8A,Other_Cellular_Proteins
Q86VH2,KIF27,Other_Cellular_Proteins
Q86VQ6,TXNRD3,Other_Cellular_Proteins
Q86W34,AMZ2,Other_Cellular_Proteins
Q86WR6,CHCT1,Other_Cellular_Proteins
Q86WT6,TRIM69,Other_Cellular_Proteins
Q86XN8,MEX3D,Other_Cellular_Proteins
Q86YF9,DZIP1,Other_Cellular_Proteins
Q86YG4,NT5DC4,Other_Cellular_Proteins
Q86YJ6,THNSL2,Secreted_Factors
Q86YW0,PLCZ1,Other_Cellular_Proteins
Q8IU57,IFNLR1,Membrane_Proteins
Q8IU60,DCP2,Other_Cellular_Proteins
Q8IUC2,KRTAP8-1,Other_Cellular_Proteins
Q8IUF8,RIOX2,Other_Cellular_Proteins
Q8IV20,LACC1,Other_Cellular_Proteins
Q8IV32,CCDC71,Other_Cellular_Proteins
Q8IVI9,NOSTRIN,Other_Cellular_Proteins
Q8IVP9,ZNF547,Other_Cellular_Proteins
Q8IVV7,GID4,Other_Cellular_Proteins
Q8IWF2,FOXRED2,Other_Cellular_Proteins
Q8IWF9,CCDC83,Other_Cellular_Proteins
Q8IWR1,TRIM59,Other_Cellular_Proteins
Q8IX04,UEVLD,Cellular Enzymes
Q8IXK0,PHC2,Other_Cellular_Proteins
Q8IXT1,DDIAS,Other_Cellular_Proteins
Q8IXW5,RPAP2,Cellular Enzymes
Q8IY51,TIGD4,Other_Cellular_Proteins
Q8IY85,EFCAB13,Other_Cellular_Proteins
Q8IYB9,ZNF595,Other_Cellular_Proteins
Q8IYE1,CCDC13,Other_Cellular_Proteins
Q8IYH5,ZZZ3,Other_Cellular_Proteins
Q8IYJ2,C10orf67,Other_Cellular_Proteins
Q8IYV9,IZUMO1,Other_Cellular_Proteins
Q8IYW5,RNF168,Other_Cellular_Proteins
Q8IYX8,CEP57L1,Other_Cellular_Proteins
Q8IZ40,RCOR2,Other_Cellular_Proteins
Q8IZ41,RASEF,Other_Cellular_Proteins
Q8IZJ4,RGL4,Other_Cellular_Proteins
Q8IZN3,ZDHHC14,Other_Cellular_Proteins
Q8IZP0,ABI1,Other_Cellular_Proteins
Q8IZQ8,MYOCD,Other_Cellular_Proteins
Q8N0S6,CENPL,Other_Cellular_Proteins
Q8N0U2,TMEM61,Membrane_Proteins
Q8N136,DAW1,Other_Cellular_Proteins
Q8N187,CARF,Other_Cellular_Proteins
Q8N1B3,CCNQ,Other_Cellular_Proteins
Q8N1D5,CFAP107,Other_Cellular_Proteins
Q8N1E2,LYG1,Secreted_Factors
Q8N1W2,ZNF710,Other_Cellular_Proteins
Q8N205,SYNE4,Other_Cellular_Proteins
Q8N257,H2BC26,Other_Cellular_Proteins
Q8N2N9,ANKRD36B,Other_Cellular_Proteins
Q8N344,MIER2,Other_Cellular_Proteins
Q8N3R9,PALS1,Other_Cellular_Proteins
Q8N448,LNX2,Other_Cellular_Proteins
Q8N465,D2HGDH,Other_Cellular_Proteins
Q8N468,MFSD4A,Membrane_Proteins
Q8N4E4,PDCL2,Other_Cellular_Proteins
Q8N4P6,LRRC71,Other_Cellular_Proteins
Q8N4U5,TCP11L2,Other_Cellular_Proteins
Q8N6G5,CSGALNACT2,Other_Cellular_Proteins
Q8N6M3,FITM2,Cellular Enzymes
Q8N7P3,CLDN22,Other_Cellular_Proteins
Q8N884,CGAS,Other_Cellular_Proteins
Q8N8B7,TCEANC,Other_Cellular_Proteins
Q8N945,PRELID2,Other_Cellular_Proteins
Q8N9B5,JMY,Other_Cellular_Proteins
Q8N9B8,RASGEF1A,Other_Cellular_Proteins
Q8N9F8,ZNF454,Other_Cellular_Proteins
Q8N9K5,ZNF565,Other_Cellular_Proteins
Q8N9L9,ACOT4,Cellular Enzymes
Q8N9U0,TC2N,Other_Cellular_Proteins
Q8N9W8,GARIN2,Other_Cellular_Proteins
Q8N9Z9,LMNTD1,Other_Cellular_Proteins
Q8NBP5,MFSD9,Membrane_Proteins
Q8NBR6,MINDY2,Other_Cellular_Proteins
Q8NCB2,CAMKV,Cellular Enzymes
Q8NCK3,ZNF485,Other_Cellular_Proteins
Q8NCX0,CCDC150,Other_Cellular_Proteins
Q8NDC0,MAPK1IP1L,Other_Cellular_Proteins
Q8NDH3,NPEPL1,Other_Cellular_Proteins
Q8NDV3,SMC1B,Other_Cellular_Proteins
Q8NEN0,ARMC2,Other_Cellular_Proteins
Q8NEP3,DNAAF1,Other_Cellular_Proteins
Q8NF37,LPCAT1,Other_Cellular_Proteins
Q8NF99,ZNF397,Other_Cellular_Proteins
Q8NFC6,BOD1L1,Other_Cellular_Proteins
Q8NFQ6,BPIFC,Secreted_Factors
Q8NFZ8,CADM4,Membrane_Proteins
Q8NG99,OR7G2,Other_Cellular_Proteins
Q8NGA1,OR1M1,Other_Cellular_Proteins
Q8NGA2,OR7A2P,Other_Cellular_Proteins
Q8NGA5,OR10H4,Other_Cellular_Proteins
Q8NGH8,OR56A4,Other_Cellular_Proteins
Q8NGJ6,OR51A4,Other_Cellular_Proteins
Q8NGJ7,OR51A2,Other_Cellular_Proteins
Q8NGK3,OR52K2,Other_Cellular_Proteins
Q8NGS7,OR13C8,Other_Cellular_Proteins
Q8NGU1,OR9A1P,Other_Cellular_Proteins
Q8NGX3,OR10T2,Other_Cellular_Proteins
Q8NH41,OR4K15,Other_Cellular_Proteins
Q8NH49,OR4X1,Other_Cellular_Proteins
Q8NH80,OR10D3,Other_Cellular_Proteins
Q8NH81,OR10G6,Other_Cellular_Proteins
Q8NHC7,OR14C36,Other_Cellular_Proteins
Q8NHS2,GOT1L1,Other_Cellular_Proteins
Q8NHV4,NEDD1,Other_Cellular_Proteins
Q8NHY0,B4GALNT2,Other_Cellular_Proteins
Q8NI08,NCOA7,Other_Cellular_Proteins
Q8TAC1,RFESD,Other_Cellular_Proteins
Q8TAT5,NEIL3,Other_Cellular_Proteins
Q8TB24,RIN3,Other_Cellular_Proteins
Q8TBE0,BAHD1,Other_Cellular_Proteins
Q8TC44,POC1B,Other_Cellular_Proteins
Q8TC71,SPATA18,Other_Cellular_Proteins
Q8TDD2,SP7,Other_Cellular_Proteins
Q8TDN6,BRIX1,Other_Cellular_Proteins
Q8TDR0,TRAF3IP1,Other_Cellular_Proteins
Q8TED0,UTP15,Other_Cellular_Proteins
Q8TEJ3,SH3RF3,Other_Cellular_Proteins
Q8TEL6,TRPC4AP,Other_Cellular_Proteins
Q8TES7,FBF1,Other_Cellular_Proteins
Q8TEY5,CREB3L4,Other_Cellular_Proteins
Q8TF09,DYNLRB2,Other_Cellular_Proteins
Q8TF50,ZNF526,Other_Cellular_Proteins
Q8WU79,SMAP2,Other_Cellular_Proteins
Q8WUB8,PHF10,Other_Cellular_Proteins
Q8WV41,SNX33,Membrane_Proteins
Q8WV92,MITD1,Membrane_Proteins
Q8WVN8,UBE2Q2,Cellular Enzymes
Q8WVR3,TRAPPC14,Other_Cellular_Proteins
Q8WVV4,POF1B,Other_Cellular_Proteins
Q8WWZ8,OIT3,Other_Cellular_Proteins
Q8WXA3,RUFY2,Other_Cellular_Proteins
Q8WXA9,SREK1,Other_Cellular_Proteins
Q8WXE0,CASKIN2,Other_Cellular_Proteins
Q8WZ69,C11orf40,Other_Cellular_Proteins
Q8WZA2,RAPGEF4,Membrane_Proteins
Q92187,ST8SIA4,Secreted_Factors
Q92530,PSMF1,Other_Cellular_Proteins
Q92541,RTF1,Other_Cellular_Proteins
Q92570,NR4A3,Other_Cellular_Proteins
Q92622,RUBCN,Other_Cellular_Proteins
Q92750,TAF4B,Other_Cellular_Proteins
Q92765,FRZB,Secreted_Factors
Q92802,N4BP2L2,Other_Cellular_Proteins
Q92889,ERCC4,Other_Cellular_Proteins
Q92913,FGF13,Other_Cellular_Proteins
Q92966,SNAPC3,Other_Cellular_Proteins
Q92993,KAT5,Other_Cellular_Proteins
Q93097,WNT2B,Secreted_Factors
Q969I3,GLYATL1,Other_Cellular_Proteins
Q969J2,ZKSCAN4,Other_Cellular_Proteins
Q969Q5,RAB24,Membrane_Proteins
Q969Q6,PPP2R3C,Cellular Enzymes
Q969R8,ITFG2,Other_Cellular_Proteins
Q969S0,SLC35B4,Other_Cellular_Proteins
Q969V6,MRTFA,Other_Cellular_Proteins
Q969X1,TMBIM1,Membrane_Proteins
Q969X2,ST6GALNAC6,Other_Cellular_Proteins
Q96A11,GAL3ST3,Other_Cellular_Proteins
Q96AE4,FUBP1,Other_Cellular_Proteins
Q96AN5,TMEM143,Membrane_Proteins
Q96AY3,FKBP10,Other_Cellular_Proteins
Q96B02,UBE2W,Cellular Enzymes
Q96BF3,TMIGD2,Immunoglobulins
Q96BP3,PPWD1,Other_Cellular_Proteins
Q96BR5,COA7,Other_Cellular_Proteins
Q96BR6,ZNF669,Other_Cellular_Proteins
Q96CH1,GPR146,Other_Cellular_Proteins
Q96DC7,TMCO6,Membrane_Proteins
Q96DH6,MSI2,Other_Cellular_Proteins
Q96DZ1,ERLEC1,Other_Cellular_Proteins
Q96EL2,MRPS24,Other_Cellular_Proteins
Q96G74,OTUD5,Other_Cellular_Proteins
Q96G91,P2RY11,Other_Cellular_Proteins
Q96HF1,SFRP2,Secreted_Factors
Q96HH9,GRAMD2B,Other_Cellular_Proteins
Q96HV5,TMEM41A,Membrane_Proteins
Q96J66,ABCC11,Other_Cellular_Proteins
Q96JA4,MS4A14,Membrane_Proteins
Q96K58,ZNF668,Other_Cellular_Proteins
Q96KQ4,PPP1R13B,Other_Cellular_Proteins
Q96KT6,LINC00208,Other_Cellular_Proteins
Q96L92,SNX27,Other_Cellular_Proteins
Q96M43,NBPF4,Other_Cellular_Proteins
Q96M63,ODAD1,Other_Cellular_Proteins
Q96M83,CCDC7,Other_Cellular_Proteins
Q96MC9,IKBKE-AS1,Other_Cellular_Proteins
Q96ME1,FBXL18,Other_Cellular_Proteins
Q96MK3,FAM20A,Secreted_Factors
Q96MX3,ZNF48,Other_Cellular_Proteins
Q96MY7,FAM161B,Other_Cellular_Proteins
Q96NG8,ZNF582,Other_Cellular_Proteins
Q96NI8,ZNF570,Other_Cellular_Proteins
Q96NL0,RUNDC3B,Other_Cellular_Proteins
Q96NL8,CFAP418,Other_Cellular_Proteins
Q96NU1,SAMD11,Other_Cellular_Proteins
Q96NX5,CAMK1G,Cellular Enzymes
Q96PG2,MS4A10,Membrane_Proteins
Q96PU9,ODF3,Other_Cellular_Proteins
Q96PX1,RNF157,Other_Cellular_Proteins
Q96Q11,TRNT1,Other_Cellular_Proteins
Q96Q27,ASB2,Other_Cellular_Proteins
Q96R45,OR2A7,Other_Cellular_Proteins
Q96R48,OR2A5,Other_Cellular_Proteins
Q96RA2,OR7D2,Other_Cellular_Proteins
Q96RD1,OR6C1,Other_Cellular_Proteins
Q96RN5,MED15,Other_Cellular_Proteins
Q96RP8,KCNA7,Membrane_Proteins
Q96RU8,TRIB1,Other_Cellular_Proteins
Q96S38,RPS6KC1,Membrane_Proteins
Q96SC8,DMRTA2,Other_Cellular_Proteins
Q96SN8,CDK5RAP2,Other_Cellular_Proteins
Q96SR6,ZNF382,Other_Cellular_Proteins
Q96T51,RUFY1,Other_Cellular_Proteins
Q96TA2,YME1L1,Other_Cellular_Proteins
Q99457,NAP1L3,Other_Cellular_Proteins
Q99496,RNF2,Other_Cellular_Proteins
Q99592,ZBTB18,Other_Cellular_Proteins
Q99705,MCHR1,Other_Cellular_Proteins
Q99719,SEPTIN5,Other_Cellular_Proteins
Q99727,TIMP4,Secreted_Factors
Q99742,NPAS1,Other_Cellular_Proteins
Q99788,CMKLR1,Other_Cellular_Proteins
Q99952,PTPN18,Cellular Enzymes
Q9BPX3,NCAPG,Other_Cellular_Proteins
Q9BQ52,ELAC2,Other_Cellular_Proteins
Q9BQA1,WDR77,Other_Cellular_Proteins
Q9BQB4,SOST,BDP
Q9BQI7,PSD2,Other_Cellular_Proteins
Q9BQN1,FAM83C,Other_Cellular_Proteins
Q9BQQ7,RTP3,Membrane_Proteins
Q9BQS8,FYCO1,Other_Cellular_Proteins
Q9BR76,CORO1B,Other_Cellular_Proteins
Q9BRV3,SLC50A1,Other_Cellular_Proteins
Q9BRX8,PRXL2A,Secreted_Factors
Q9BS86,ZPBP,Secreted_Factors
Q9BSU3,NAA11,Other_Cellular_Proteins
Q9BSW7,SYT17,Membrane_Proteins
Q9BT43,POLR3GL,Other_Cellular_Proteins
Q9BTL3,RAMAC,Other_Cellular_Proteins
Q9BTN0,LRFN3,Other_Cellular_Proteins
Q9BWL3,C1orf43,Membrane_Proteins
Q9BX73,TM2D2,Membrane_Proteins
Q9BXA6,TSSK6,Cellular Enzymes
Q9BXG8,SPZ1,Other_Cellular_Proteins
Q9BXL6,CARD14,Other_Cellular_Proteins
Q9BXW7,HDHD5,Other_Cellular_Proteins
Q9BY31,ZNF717,Other_Cellular_Proteins
Q9BYQ4,KRTAP9-2,Other_Cellular_Proteins
Q9BYV6,TRIM55,Other_Cellular_Proteins
Q9BYW1,SLC2A11,Other_Cellular_Proteins
Q9BZG8,DPH1,Other_Cellular_Proteins
Q9BZI1,IRX2,Other_Cellular_Proteins
Q9BZM3,GSX2,Other_Cellular_Proteins
Q9BZQ8,NIBAN1,Membrane_Proteins
Q9C0B9,ZCCHC2,Other_Cellular_Proteins
Q9C0I3,CCSER1,Other_Cellular_Proteins
Q9GZK6,OR2J1,Other_Cellular_Proteins
Q9GZP0,PDGFD,Secreted_Factors
Q9GZU8,PSME3IP1,Other_Cellular_Proteins
Q9GZX5,ZNF350,Other_Cellular_Proteins
Q9GZX7,AICDA,Other_Cellular_Proteins
Q9H093,NUAK2,Cellular Enzymes
Q9H0C1,ZMYND12,Other_Cellular_Proteins
Q9H0J4,QRICH2,Other_Cellular_Proteins
Q9H0X4,FAM234A,Membrane_Proteins
Q9H161,ALX4,Other_Cellular_Proteins
Q9H1K6,TLNRD1,Other_Cellular_Proteins
Q9H1R3,MYLK2,Cellular Enzymes
Q9H1Z4,WDR13,Other_Cellular_Proteins
Q9H208,OR10A2,Other_Cellular_Proteins
Q9H2G4,TSPYL2,Other_Cellular_Proteins
Q9H2K8,TAOK3,Cellular Enzymes
Q9H2S6,TNMD,Membrane_Proteins
Q9H2X3,CLEC4M,Secreted_Factors
Q9H313,TTYH1,Other_Cellular_Proteins
Q9H334,FOXP1,Other_Cellular_Proteins
Q9H341,OR51M1,Other_Cellular_Proteins
Q9H344,OR51I2,Other_Cellular_Proteins
Q9H346,OR52D1,Other_Cellular_Proteins
Q9H3D4,TP63,Other_Cellular_Proteins
Q9H3H1,TRIT1,Other_Cellular_Proteins
Q9H3U1,UNC45A,Other_Cellular_Proteins
Q9H4A9,DPEP2,Membrane_Proteins
Q9H6H4,REEP4,Other_Cellular_Proteins
Q9H6L2,TMEM231,Other_Cellular_Proteins
Q9H6N6,MYH16,Other_Cellular_Proteins
Q9H6T0,ESRP2,Other_Cellular_Proteins
Q9H6T3,RPAP3,Other_Cellular_Proteins
Q9H6Z4,RANBP3,Other_Cellular_Proteins
Q9H714,RUBCNL,Other_Cellular_Proteins
Q9H8M5,CNNM2,Other_Cellular_Proteins
Q9H8X9,ZDHHC11,Other_Cellular_Proteins
Q9H992,MARCHF7,Other_Cellular_Proteins
Q9HA72,CALHM2,Other_Cellular_Proteins
Q9HA82,CERS4,Other_Cellular_Proteins
Q9HAS0,C17orf75,Other_Cellular_Proteins
Q9HB14,KCNK13,Other_Cellular_Proteins
Q9HB89,NMUR1,Other_Cellular_Proteins
Q9HBJ7,USP29,Other_Cellular_Proteins
Q9HBV1,POPDC3,Membrane_Proteins
Q9HBW0,LPAR2,Other_Cellular_Proteins
Q9HCM4,EPB41L5,Other_Cellular_Proteins
Q9NP50,SINHCAF,Other_Cellular_Proteins
Q9NP60,IL1RAPL2,Membrane_Proteins
Q9NP78,ABCB9,Other_Cellular_Proteins
Q9NPH0,ACP6,Cellular Enzymes
Q9NQ03,SCRT2,Other_Cellular_Proteins
Q9NQ79,CRTAC1,Matricellular
Q9NQ86,TRIM36,Other_Cellular_Proteins
Q9NQ87,HEYL,Other_Cellular_Proteins
Q9NQI0,DDX4,Other_Cellular_Proteins
Q9NQV8,PRDM8,Other_Cellular_Proteins
Q9NR63,CYP26B1,Other_Cellular_Proteins
Q9NR83,SLC2A4RG,Other_Cellular_Proteins
Q9NRM2,ZNF277,Other_Cellular_Proteins
Q9NRV9,HEBP1,Other_Cellular_Proteins
Q9NRW3,APOBEC3C,Cellular Enzymes
Q9NRZ9,HELLS,Other_Cellular_Proteins
Q9NSD4,ZNF275,Other_Cellular_Proteins
Q9NSY1,BMP2K,Cellular Enzymes
Q9NTN9,SEMA4G,Other_Cellular_Proteins
Q9NU63,ZFP57,Other_Cellular_Proteins
Q9NVI1,FANCI,Other_Cellular_Proteins
Q9NVV5,AIG1,Other_Cellular_Proteins
Q9NW07,ZNF358,Other_Cellular_Proteins
Q9NW75,GPATCH2,Other_Cellular_Proteins
Q9NXG0,CNTLN,Other_Cellular_Proteins
Q9NY27,PPP4R2,Cellular Enzymes
Q9NY72,SCN3B,Other_Cellular_Proteins
Q9NYA3,GOLGA6A,Other_Cellular_Proteins
Q9NZP2,OR6C2,Other_Cellular_Proteins
Q9NZW4,DSPP,Other_Cellular_Proteins
Q9P0L2,MARK1,Cellular Enzymes
Q9P0W0,IFNK,Secreted_Factors
Q9P0Z9,PIPOX,Other_Cellular_Proteins
Q9P104,DOK5,Other_Cellular_Proteins
Q9P1V8,SAMD15,Other_Cellular_Proteins
Q9P2E5,CHPF2,Other_Cellular_Proteins
Q9P2E9,RRBP1,Other_Cellular_Proteins
Q9P2F5,STOX2,Other_Cellular_Proteins
Q9P2F9,ZNF319,Other_Cellular_Proteins
Q9P2H0,CEP126,Other_Cellular_Proteins
Q9P2H5,USP35,Other_Cellular_Proteins
Q9P2K3,RCOR3,Other_Cellular_Proteins
Q9P2M1,LRP2BP,Other_Cellular_Proteins
Q9P2M7,CGN,Other_Cellular_Proteins
Q9P2N2,ARHGAP28,Other_Cellular_Proteins
Q9P2N7,KLHL13,Other_Cellular_Proteins
Q9P2W7,B3GAT1,Secreted_Factors
Q9P2Y4,ZNF219,Other_Cellular_Proteins
Q9UBB4,ATXN10,Other_Cellular_Proteins
Q9UBT2,UBA2,Cellular Enzymes
Q9UEG4,ZNF629,Other_Cellular_Proteins
Q9UEW8,STK39,Cellular Enzymes
Q9UHF0,TAC3,Secreted_Factors
Q9UHQ9,CYB5R1,Membrane_Proteins
Q9UHV5,RAPGEFL1,Other_Cellular_Proteins
Q9UI42,CPA4,Secreted_Factors
Q9UI47,CTNNA3,Other_Cellular_Proteins
Q9UJ78,ZMYM5,Other_Cellular_Proteins
Q9UJA3,MCM8,Other_Cellular_Proteins
Q9UJJ7,RPUSD1,Other_Cellular_Proteins
Q9UJK0,TSR3,Other_Cellular_Proteins
Q9UJS0,SLC25A13,Other_Cellular_Proteins
Q9UK13,ZNF221,Other_Cellular_Proteins
Q9UK39,NOCT,Other_Cellular_Proteins
Q9UK59,DBR1,Cellular Enzymes
Q9UKF6,CPSF3,Other_Cellular_Proteins
Q9UKP6,UTS2R,Other_Cellular_Proteins
Q9UKQ9,KLK9,Secreted_Factors
Q9UL49,TCFL5,Other_Cellular_Proteins
Q9ULE3,DENND2A,Other_Cellular_Proteins
Q9ULE4,FAM184B,Other_Cellular_Proteins
Q9ULH7,MRTFB,Other_Cellular_Proteins
Q9ULK2,ATXN7L1,Other_Cellular_Proteins
Q9ULT0,TTC7A,Other_Cellular_Proteins
Q9ULV4,CORO1C,Other_Cellular_Proteins
Q9ULW0,TPX2,Other_Cellular_Proteins
Q9ULX5,RNF112,Membrane_Proteins
Q9ULZ2,STAP1,Other_Cellular_Proteins
Q9UM82,SPATA2,Other_Cellular_Proteins
Q9UMR7,CLEC4A,Other_Cellular_Proteins
Q9UMS4,PRPF19,Other_Cellular_Proteins
Q9UN19,DAPP1,Membrane_Proteins
Q9UN30,SCML1,Other_Cellular_Proteins
Q9UN79,SOX13,Other_Cellular_Proteins
Q9UNA4,POLI,Other_Cellular_Proteins
Q9UNK4,PLA2G2D,Secreted_Factors
Q9UNM6,PSMD13,Other_Cellular_Proteins
Q9UNN4,GTF2A1L,Other_Cellular_Proteins
Q9UNN8,PROCR,BDP
Q9UPM9,B9D1,Other_Cellular_Proteins
Q9UPR6,ZFR2,Other_Cellular_Proteins
Q9UQ35,SRRM2,Other_Cellular_Proteins
Q9UQC9,CLCA2,Secreted_Factors
Q9Y236,OSGIN2,Other_Cellular_Proteins
Q9Y2A9,B3GNT3,Other_Cellular_Proteins
Q9Y2E8,SLC9A8,Other_Cellular_Proteins
Q9Y2G2,CARD8,Other_Cellular_Proteins
Q9Y2J2,EPB41L3,Other_Cellular_Proteins
Q9Y2Q1,ZNF257,Other_Cellular_Proteins
Q9Y2R4,DDX52,Other_Cellular_Proteins
Q9Y2Z4,YARS2,Other_Cellular_Proteins
Q9Y303,AMDHD2,Other_Cellular_Proteins
Q9Y371,SH3GLB1,Other_Cellular_Proteins
Q9Y388,RBMX2,Other_Cellular_Proteins
Q9Y3I0,RTCB,Other_Cellular_Proteins
Q9Y467,SALL2,Other_Cellular_Proteins
Q9Y473,ZNF175,Other_Cellular_Proteins
Q9Y4K3,TRAF6,BDP
Q9Y4K4,MAP4K5,Cellular Enzymes
Q9Y4R8,TELO2,Membrane_Proteins
Q9Y577,TRIM17,Other_Cellular_Proteins
Q9Y5E5,PCDHB4,Other_Cellular_Proteins
Q9Y5H2,PCDHGA11,Other_Cellular_Proteins
Q9Y606,PUS1,Other_Cellular_Proteins
Q9Y618,NCOR2,Other_Cellular_Proteins
Q9Y620,RAD54B,Other_Cellular_Proteins
Q9Y6F1,PARP3,Other_Cellular_Proteins
Q9Y6F7,CDY2B,Other_Cellular_Proteins
Q9Y6F8,CDY1B,Other_Cellular_Proteins
Q9Y6N1,COX11,Other_Cellular_Proteins
Q9Y6P5,SESN1,Other_Cellular_Proteins
Q9Y6Q2,STON1,Membrane_Proteins
Q9Y6Q5,AP1M2,Other_Cellular_Proteins
