Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:6479~Cubilin-intrinsic factor-cobalamin complex,Cubilin-intrinsic factor-cobalamin complex,Cubilin-intrinsic factor-cobalamin complex,CORUM_COMPLEX,1,50.0,0.005181347150259086,CBLIF,2,1,1,386.0,0.005181347150259086
KEGG:04977~Vitamin digestion and absorption,Vitamin digestion and absorption,Vitamin digestion and absorption,KEGG_PATHWAY,1,50.0,0.005181347150259086,CBLIF,2,1,1,386.0,0.005181347150259086
WP:WP5488~Pathways into methionine and folate cycles,Pathways into methionine and folate cycles,Pathways into methionine and folate cycles,WIKIPATHWAYS,1,50.0,0.0090673575129534,CBLIF,2,1,1,386.0,0.0090673575129534
WP:WP4271~Vitamin B12 disorders,Vitamin B12 disorders,Vitamin B12 disorders,WIKIPATHWAYS,1,50.0,0.0090673575129534,CBLIF,2,1,1,386.0,0.0090673575129534
REAC:R-HSA-3296469~Defects in cobalamin (B12) metabolism,Defects in cobalamin (B12) metabolism,Defects in cobalamin (B12) metabolism,REACTOME_PATHWAY,1,50.0,0.009715025906735786,CBLIF,2,1,1,386.0,0.009715025906735786
REAC:R-HSA-3359462~Defective AMN causes MGA1,Defective AMN causes MGA1,Defective AMN causes MGA1,REACTOME_PATHWAY,1,50.0,0.009715025906735786,CBLIF,2,1,1,386.0,0.009715025906735786
REAC:R-HSA-3359457~Defective CBLIF causes IFD,Defective CBLIF causes IFD,Defective CBLIF causes IFD,REACTOME_PATHWAY,1,50.0,0.009715025906735786,CBLIF,2,1,1,386.0,0.009715025906735786
REAC:R-HSA-3359463~Defective CUBN causes MGA1,Defective CUBN causes MGA1,Defective CUBN causes MGA1,REACTOME_PATHWAY,1,50.0,0.009715025906735786,CBLIF,2,1,1,386.0,0.009715025906735786
REAC:R-HSA-9758881~Uptake of dietary cobalamins into enterocytes,Uptake of dietary cobalamins into enterocytes,Uptake of dietary cobalamins into enterocytes,REACTOME_PATHWAY,1,50.0,0.011095686434893384,CBLIF,2,1,2,193.0,0.011095686434893384
REAC:R-HSA-3296482~Defects in vitamin and cofactor metabolism,Defects in vitamin and cofactor metabolism,Defects in vitamin and cofactor metabolism,REACTOME_PATHWAY,1,50.0,0.011095686434893384,CBLIF,2,1,2,193.0,0.011095686434893384
"REAC:R-HSA-196741~Cobalamin (Cbl, vitamin B12) transport and metabolism","Cobalamin (Cbl, vitamin B12) transport and metabolism","Cobalamin (Cbl, vitamin B12) transport and metabolism",REACTOME_PATHWAY,1,50.0,0.011095686434893384,CBLIF,2,1,2,193.0,0.011095686434893384
