Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:1232~REST-CoREST-mSIN3A complex,REST-CoREST-mSIN3A complex,REST-CoREST-mSIN3A complex,CORUM_COMPLEX,1,50.0,0.005181347150259086,REST,2,1,1,386.0,0.005181347150259086
REAC:R-HSA-9633012~Response of EIF2AK4 (GCN2) to amino acid deficiency,Response of EIF2AK4 (GCN2) to amino acid deficiency,Response of EIF2AK4 (GCN2) to amino acid deficiency,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-156902~Peptide chain elongation,Peptide chain elongation,Peptide chain elongation,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-72702~Ribosomal scanning and start codon recognition,Ribosomal scanning and start codon recognition,Ribosomal scanning and start codon recognition,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-9679506~SARS-CoV Infections,SARS-CoV Infections,SARS-CoV Infections,REACTOME_PATHWAY,2,100.0,0.007150259067357539,"RPS27L,REST",2,2,18,42.88888888888889,0.007150259067357539
"REAC:R-HSA-72662~Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-9735869~SARS-CoV-1 modulates host translation machinery,SARS-CoV-1 modulates host translation machinery,SARS-CoV-1 modulates host translation machinery,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-72737~Cap-dependent Translation Initiation,Cap-dependent Translation Initiation,Cap-dependent Translation Initiation,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-9754678~SARS-CoV-2 modulates host translation machinery,SARS-CoV-2 modulates host translation machinery,SARS-CoV-2 modulates host translation machinery,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-1799339~SRP-dependent cotranslational protein targeting to membrane,SRP-dependent cotranslational protein targeting to membrane,SRP-dependent cotranslational protein targeting to membrane,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-975956~Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-2408557~Selenocysteine synthesis,Selenocysteine synthesis,Selenocysteine synthesis,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-156827~L13a-mediated translational silencing of Ceruloplasmin expression,L13a-mediated translational silencing of Ceruloplasmin expression,L13a-mediated translational silencing of Ceruloplasmin expression,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-9768759~Regulation of NPAS4 gene expression,Regulation of NPAS4 gene expression,Regulation of NPAS4 gene expression,REACTOME_PATHWAY,1,50.0,0.007150259067357539,REST,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-9768777~Regulation of NPAS4 gene transcription,Regulation of NPAS4 gene transcription,Regulation of NPAS4 gene transcription,REACTOME_PATHWAY,1,50.0,0.007150259067357539,REST,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-9824446~Viral Infection Pathways,Viral Infection Pathways,Viral Infection Pathways,REACTOME_PATHWAY,2,100.0,0.007150259067357539,"RPS27L,REST",2,2,27,28.59259259259259,0.007150259067357539
REAC:R-HSA-192823~Viral mRNA Translation,Viral mRNA Translation,Viral mRNA Translation,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-5663205~Infectious disease,Infectious disease,Infectious disease,REACTOME_PATHWAY,2,100.0,0.007150259067357539,"RPS27L,REST",2,2,34,22.705882352941178,0.007150259067357539
REAC:R-HSA-3214815~HDACs deacetylate histones,HDACs deacetylate histones,HDACs deacetylate histones,REACTOME_PATHWAY,1,50.0,0.007150259067357539,REST,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-72706~GTP hydrolysis and joining of the 60S ribosomal subunit,GTP hydrolysis and joining of the 60S ribosomal subunit,GTP hydrolysis and joining of the 60S ribosomal subunit,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
"REAC:R-HSA-72695~Formation of the ternary complex, and subsequently, the 43S complex","Formation of the ternary complex, and subsequently, the 43S complex","Formation of the ternary complex, and subsequently, the 43S complex",REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
REAC:R-HSA-72689~Formation of a pool of free 40S subunits,Formation of a pool of free 40S subunits,Formation of a pool of free 40S subunits,REACTOME_PATHWAY,1,50.0,0.007150259067357539,RPS27L,2,1,1,386.0,0.007150259067357539
