Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:157~Condensin I complex,Condensin I complex,Condensin I complex,CORUM_COMPLEX,1,50.0,0.0029145077720207357,NCAPG,2,1,1,386.0,0.0029145077720207357
CORUM:10~Condensin I complex,Condensin I complex,Condensin I complex,CORUM_COMPLEX,1,50.0,0.0029145077720207357,NCAPG,2,1,1,386.0,0.0029145077720207357
CORUM:159~Condensin I-PARP-1-XRCC1 complex,Condensin I-PARP-1-XRCC1 complex,Condensin I-PARP-1-XRCC1 complex,CORUM_COMPLEX,1,50.0,0.0029145077720207357,NCAPG,2,1,1,386.0,0.0029145077720207357
CORUM:167~Condensin I complex,Condensin I complex,Condensin I complex,CORUM_COMPLEX,1,50.0,0.0029145077720207357,NCAPG,2,1,1,386.0,0.0029145077720207357
CORUM:1085~DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1,CORUM_COMPLEX,1,50.0,0.0029145077720207357,POLB,2,1,1,386.0,0.0029145077720207357
CORUM:362~DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex,DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex,DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex,CORUM_COMPLEX,1,50.0,0.0029145077720207357,POLB,2,1,1,386.0,0.0029145077720207357
CORUM:2198~9-1-1-POLB complex,9-1-1-POLB complex,9-1-1-POLB complex,CORUM_COMPLEX,1,50.0,0.0029145077720207357,POLB,2,1,1,386.0,0.0029145077720207357
CORUM:1086~DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,DNA repair complex NEIL1-PNK-Pol(beta)-LigIII(alpha)-XRCC1,CORUM_COMPLEX,1,50.0,0.0029145077720207357,POLB,2,1,1,386.0,0.0029145077720207357
REAC:R-HSA-73884~Base Excision Repair,Base Excision Repair,Base Excision Repair,REACTOME_PATHWAY,1,50.0,0.010931305895117188,POLB,2,1,2,193.0,0.010931305895117188
REAC:R-HSA-5651801~PCNA-Dependent Long Patch Base Excision Repair,PCNA-Dependent Long Patch Base Excision Repair,PCNA-Dependent Long Patch Base Excision Repair,REACTOME_PATHWAY,1,50.0,0.010931305895117188,POLB,2,1,2,193.0,0.010931305895117188
REAC:R-HSA-73930~Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,REACTOME_PATHWAY,1,50.0,0.010931305895117188,POLB,2,1,1,386.0,0.010931305895117188
REAC:R-HSA-5649702~APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,REACTOME_PATHWAY,1,50.0,0.010931305895117188,POLB,2,1,1,386.0,0.010931305895117188
REAC:R-HSA-73933~Resolution of Abasic Sites (AP sites),Resolution of Abasic Sites (AP sites),Resolution of Abasic Sites (AP sites),REACTOME_PATHWAY,1,50.0,0.010931305895117188,POLB,2,1,2,193.0,0.010931305895117188
REAC:R-HSA-110381~Resolution of AP sites via the single-nucleotide replacement pathway,Resolution of AP sites via the single-nucleotide replacement pathway,Resolution of AP sites via the single-nucleotide replacement pathway,REACTOME_PATHWAY,1,50.0,0.010931305895117188,POLB,2,1,1,386.0,0.010931305895117188
REAC:R-HSA-110373~Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,REACTOME_PATHWAY,1,50.0,0.010931305895117188,POLB,2,1,2,193.0,0.010931305895117188
REAC:R-HSA-110362~POLB-Dependent Long Patch Base Excision Repair,POLB-Dependent Long Patch Base Excision Repair,POLB-Dependent Long Patch Base Excision Repair,REACTOME_PATHWAY,1,50.0,0.010931305895117188,POLB,2,1,2,193.0,0.010931305895117188
REAC:R-HSA-2514853~Condensation of Prometaphase Chromosomes,Condensation of Prometaphase Chromosomes,Condensation of Prometaphase Chromosomes,REACTOME_PATHWAY,1,50.0,0.010931305895117188,NCAPG,2,1,1,386.0,0.010931305895117188
CORUM:0000000~CORUM root,CORUM root,CORUM root,CORUM_COMPLEX,2,100.0,0.012862643898308488,"POLB,NCAPG",2,2,88,8.772727272727273,0.012862643898308488
GO:0034061~DNA polymerase activity,DNA polymerase activity,"""Catalysis of the reaction: a 2'-deoxyribonucleoside 5'-triphosphate + DNA(n) = diphosphate + DNA(n+1)."" [RHEA:22508]",GOTERM_MF_DIRECT,1,50.0,0.017487046632124414,POLB,2,1,1,386.0,0.017487046632124414
GO:0140078~class I DNA-(apurinic or apyrimidinic site) endonuclease activity,class I DNA-(apurinic or apyrimidinic site) endonuclease activity,"""Catalysis of the cleavage of an AP site 3' of the baseless site by a beta-lyase mechanism, leaving an unsaturated aldehyde, termed a 3'-(4-hydroxy-5-phospho-2-pentenal) residue, and a 5'-phosphate."" [PMID:1698278, RHEA:66592]",GOTERM_MF_DIRECT,1,50.0,0.017487046632124414,POLB,2,1,1,386.0,0.017487046632124414
GO:0003906~DNA-(apurinic or apyrimidinic site) endonuclease activity,DNA-(apurinic or apyrimidinic site) endonuclease activity,"""Catalysis of the cleavage of the C-O-P bond in the AP site created when DNA glycosylase removes a damaged base, involved in the DNA base excision repair pathway (BER)."" [Wikipedia:AP_endonuclease]",GOTERM_MF_DIRECT,1,50.0,0.017487046632124414,POLB,2,1,1,386.0,0.017487046632124414
GO:0003887~DNA-directed DNA polymerase activity,DNA-directed DNA polymerase activity,"""Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1); DNA-template-directed extension of the 3'-end of a DNA strand by one nucleotide at a time."" [EC:2.7.7.7, GOC:vw]",GOTERM_MF_DIRECT,1,50.0,0.017487046632124414,POLB,2,1,1,386.0,0.017487046632124414
GO:0003684~damaged DNA binding,damaged DNA binding,"""Binding to damaged DNA."" [GOC:jl]",GOTERM_MF_DIRECT,1,50.0,0.023300941513276108,POLB,2,1,2,193.0,0.023300941513276108
GO:0051575~5'-deoxyribose-5-phosphate lyase activity,5'-deoxyribose-5-phosphate lyase activity,"""Catalysis of the reaction: a 5'-end 2'-deoxyribose-2'-deoxyribonucleotide-DNA = (2E,4S)-4-hydroxypenten-2-al-5-phosphate + a 5'-end 5'-phospho-2'-deoxyribonucleoside-DNA + H+."" [PMID:11251121, PMID:16120966, PMID:9614142, RHEA:76255]",GOTERM_MF_DIRECT,1,50.0,0.023300941513276108,POLB,2,1,2,193.0,0.023300941513276108
REAC:R-HSA-68877~Mitotic Prometaphase,Mitotic Prometaphase,Mitotic Prometaphase,REACTOME_PATHWAY,1,50.0,0.024547556164862285,NCAPG,2,1,5,77.2,0.024547556164862285
WP:WP4016~DNA IR damage and cellular response via ATR,DNA IR damage and cellular response via ATR,DNA IR damage and cellular response via ATR,WIKIPATHWAYS,1,50.0,0.02582273206857407,POLB,2,1,4,96.5,0.02582273206857407
WP:WP4752~Base excision repair,Base excision repair,Base excision repair,WIKIPATHWAYS,1,50.0,0.02582273206857407,POLB,2,1,2,193.0,0.02582273206857407
WP:WP4946~DNA repair pathways full network,DNA repair pathways full network,DNA repair pathways full network,WIKIPATHWAYS,1,50.0,0.02582273206857407,POLB,2,1,6,64.33333333333333,0.02582273206857407
GO:0016835~carbon-oxygen lyase activity,carbon-oxygen lyase activity,"""Catalysis of the breakage of a carbon-oxygen bond."" [EC:4.2.-.-]",GOTERM_MF_DIRECT,1,50.0,0.029938912521925282,POLB,2,1,3,128.66666666666666,0.029938912521925282
