Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0036094~small molecule binding,small molecule binding,"""Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:pm]",GOTERM_MF_DIRECT,10,90.9090909090909,0.008826991845745199,"PGR,ZNF582,RASGEF1B,CPSF3,PROS1,PPP2R3C,DBR1,SESN1,KIF27,NT5DC4",11,10,264,2.6584022038567494,0.008826991845745199
GO:0043167~ion binding,ion binding,"""Binding to an ion, a charged atoms or groups of atoms."" [GOC:jl]",GOTERM_MF_DIRECT,10,90.9090909090909,0.008826991845745199,"PGR,ZNF582,RASGEF1B,CPSF3,PROS1,PPP2R3C,DBR1,SESN1,KIF27,NT5DC4",11,10,256,2.7414772727272725,0.008826991845745199
CORUM:1141~CF IIAm complex (Cleavage factor IIAm complex),CF IIAm complex (Cleavage factor IIAm complex),CF IIAm complex (Cleavage factor IIAm complex),CORUM_COMPLEX,1,9.090909090909092,0.017810880829015052,CPSF3,11,1,1,70.18181818181819,0.017810880829015052
CORUM:1144~Cleavage and polyadenylation factor (CPSF),Cleavage and polyadenylation factor (CPSF),Cleavage and polyadenylation factor (CPSF),CORUM_COMPLEX,1,9.090909090909092,0.017810880829015052,CPSF3,11,1,1,70.18181818181819,0.017810880829015052
"CORUM:1147~Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)","Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)","Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)",CORUM_COMPLEX,1,9.090909090909092,0.017810880829015052,CPSF3,11,1,1,70.18181818181819,0.017810880829015052
CORUM:7256~ABCB1-PPP2R3C-TFPI2 complex,ABCB1-PPP2R3C-TFPI2 complex,ABCB1-PPP2R3C-TFPI2 complex,CORUM_COMPLEX,1,9.090909090909092,0.017810880829015052,PPP2R3C,11,1,1,70.18181818181819,0.017810880829015052
GO:0004521~RNA endonuclease activity,RNA endonuclease activity,"""Catalysis of the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks."" [GOC:mah, ISBN:0198547684]",GOTERM_MF_DIRECT,2,18.181818181818183,0.02163742858486917,"CPSF3,DBR1",11,2,3,46.78787878787879,0.02163742858486917
GO:0043169~cation binding,cation binding,"""Binding to a cation, a charged atom or group of atoms with a net positive charge."" [GOC:jl]",GOTERM_MF_DIRECT,8,72.72727272727273,0.022693374304855927,"PGR,ZNF582,CPSF3,PROS1,PPP2R3C,DBR1,SESN1,NT5DC4",11,8,184,3.0513833992094863,0.022693374304855927
GO:0004519~endonuclease activity,endonuclease activity,"""Catalysis of the hydrolysis of ester linkages within nucleic acids by creating internal breaks."" [GOC:mah, ISBN:0198547684]",GOTERM_MF_DIRECT,2,18.181818181818183,0.022805455653612097,"CPSF3,DBR1",11,2,4,35.09090909090909,0.022805455653612097
GO:0016787~hydrolase activity,hydrolase activity,"""Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."" [ISBN:0198506732]",GOTERM_MF_DIRECT,6,54.54545454545454,0.022805455653612097,"RASGEF1B,CPSF3,PROS1,DBR1,KIF27,NT5DC4",11,6,101,4.169216921692169,0.022805455653612097
GO:0004540~RNA nuclease activity,RNA nuclease activity,"""Catalysis of the hydrolysis of phosphodiester bonds in chains of RNA."" [GOC:mah, ISBN:0198547684]",GOTERM_MF_DIRECT,2,18.181818181818183,0.030430773590965958,"CPSF3,DBR1",11,2,5,28.072727272727274,0.030430773590965958
GO:0004518~nuclease activity,nuclease activity,"""Catalysis of the hydrolysis of ester linkages within nucleic acids."" [ISBN:0198547684]",GOTERM_MF_DIRECT,2,18.181818181818183,0.039629179912643156,"CPSF3,DBR1",11,2,6,23.393939393939394,0.039629179912643156
GO:0003824~catalytic activity,catalytic activity,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",GOTERM_MF_DIRECT,8,72.72727272727273,0.048888331286392146,"RASGEF1B,CPSF3,PROS1,DBR1,SESN1,KIF27,NT5DC4,HMGCS2",11,8,229,2.4517665740373165,0.048888331286392146
