Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
"CORUM:5596~LINC complex, quiescent cells","LINC complex, quiescent cells","LINC complex, quiescent cells",CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
CORUM:5614~Emerin complex 32,Emerin complex 32,Emerin complex 32,CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
CORUM:5615~Emerin complex 52,Emerin complex 52,Emerin complex 52,CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
CORUM:6444~SMAR1-HDAC1-SIN3A-SIN3B-p107-p130 repressor complex,SMAR1-HDAC1-SIN3A-SIN3B-p107-p130 repressor complex,SMAR1-HDAC1-SIN3A-SIN3B-p107-p130 repressor complex,CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
"CORUM:5118~RBL2 complex (E2F4, E2F5, HDAC1, SUV39H1, P300, RBL2)","RBL2 complex (E2F4, E2F5, HDAC1, SUV39H1, P300, RBL2)","RBL2 complex (E2F4, E2F5, HDAC1, SUV39H1, P300, RBL2)",CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
"CORUM:5117~RBL2 complex (DNMT1, E2F4, E2F5, HDAC1, SUV39H1, RBL2)","RBL2 complex (DNMT1, E2F4, E2F5, HDAC1, SUV39H1, RBL2)","RBL2 complex (DNMT1, E2F4, E2F5, HDAC1, SUV39H1, RBL2)",CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
CORUM:1473~E2F5-RB2-DP1 complex,E2F5-RB2-DP1 complex,E2F5-RB2-DP1 complex,CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
CORUM:5611~Emerin complex 24,Emerin complex 24,Emerin complex 24,CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
"CORUM:1471~pRb2/p130-multimolecular complex (RB2, E2F5, HDAC1, SUV39H1, P300)","pRb2/p130-multimolecular complex (RB2, E2F5, HDAC1, SUV39H1, P300)","pRb2/p130-multimolecular complex (RB2, E2F5, HDAC1, SUV39H1, P300)",CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
CORUM:5160~E2F4-p130 complex,E2F4-p130 complex,E2F4-p130 complex,CORUM_COMPLEX,1,50.0,0.0028497409326424974,RBL2,2,1,1,386.0,0.0028497409326424974
REAC:R-HSA-5625886~Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,REACTOME_PATHWAY,1,50.0,0.02328582085038633,AR,2,1,1,386.0,0.02328582085038633
REAC:R-HSA-69231~Cyclin D associated events in G1,Cyclin D associated events in G1,Cyclin D associated events in G1,REACTOME_PATHWAY,1,50.0,0.02328582085038633,RBL2,2,1,3,128.66666666666666,0.02328582085038633
REAC:R-HSA-1362300~Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1,REACTOME_PATHWAY,1,50.0,0.02328582085038633,RBL2,2,1,1,386.0,0.02328582085038633
REAC:R-HSA-9614085~FOXO-mediated transcription,FOXO-mediated transcription,FOXO-mediated transcription,REACTOME_PATHWAY,1,50.0,0.02328582085038633,RBL2,2,1,3,128.66666666666666,0.02328582085038633
REAC:R-HSA-9617828~FOXO-mediated transcription of cell cycle genes,FOXO-mediated transcription of cell cycle genes,FOXO-mediated transcription of cell cycle genes,REACTOME_PATHWAY,1,50.0,0.02328582085038633,RBL2,2,1,2,193.0,0.02328582085038633
REAC:R-HSA-1538133~G0 and Early G1,G0 and Early G1,G0 and Early G1,REACTOME_PATHWAY,1,50.0,0.02328582085038633,RBL2,2,1,3,128.66666666666666,0.02328582085038633
REAC:R-HSA-6791312~TP53 Regulates Transcription of Cell Cycle Genes,TP53 Regulates Transcription of Cell Cycle Genes,TP53 Regulates Transcription of Cell Cycle Genes,REACTOME_PATHWAY,1,50.0,0.02328582085038633,RBL2,2,1,3,128.66666666666666,0.02328582085038633
REAC:R-HSA-1362277~Transcription of E2F targets under negative control by DREAM complex,Transcription of E2F targets under negative control by DREAM complex,Transcription of E2F targets under negative control by DREAM complex,REACTOME_PATHWAY,1,50.0,0.02328582085038633,RBL2,2,1,2,193.0,0.02328582085038633
REAC:R-HSA-69205~G1/S-Specific Transcription,G1/S-Specific Transcription,G1/S-Specific Transcription,REACTOME_PATHWAY,1,50.0,0.02328582085038633,RBL2,2,1,1,386.0,0.02328582085038633
