Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:6039~Dynein-dynactin complex,Dynein-dynactin complex,Dynein-dynactin complex,CORUM_COMPLEX,1,6.666666666666667,0.02914507772020669,DCTN1,15,1,1,51.46666666666666,0.02914507772020669
CORUM:6960~BICD2-dynein-dynactin complex,BICD2-dynein-dynactin complex,BICD2-dynein-dynactin complex,CORUM_COMPLEX,1,6.666666666666667,0.02914507772020669,DCTN1,15,1,1,51.46666666666666,0.02914507772020669
HP:0001308~Tongue fasciculations,Tongue fasciculations,Fasciculations or fibrillation affecting the tongue muscle.,HUMAN_PHENOTYPE_ONTOLOGY,2,13.333333333333334,0.03704562408015966,"VWA1,DCTN1",15,2,2,51.46666666666666,0.03704562408015966
HP:0002460~Distal muscle weakness,Distal muscle weakness,Reduced strength of the musculature of the distal extremities.,HUMAN_PHENOTYPE_ONTOLOGY,2,13.333333333333334,0.03704562408015966,"VWA1,DCTN1",15,2,2,51.46666666666666,0.03704562408015966
HP:0009027~Foot dorsiflexor weakness,Foot dorsiflexor weakness,"Weakness of the muscles responsible for dorsiflexion of the foot, that is, of the movement of the toes towards the shin. The foot dorsiflexors include the tibialis anterior, the extensor hallucis longus, the extensor digitorum longus, and the peroneus tertius muscles.",HUMAN_PHENOTYPE_ONTOLOGY,2,13.333333333333334,0.03704562408015966,"VWA1,DCTN1",15,2,2,51.46666666666666,0.03704562408015966
HP:0003484~Upper limb muscle weakness,Upper limb muscle weakness,Weakness of the muscles of the arms.,HUMAN_PHENOTYPE_ONTOLOGY,2,13.333333333333334,0.04709399187333103,"VWA1,DCTN1",15,2,3,34.31111111111111,0.04709399187333103
HP:0007340~Lower limb muscle weakness,Lower limb muscle weakness,Weakness of the muscles of the legs.,HUMAN_PHENOTYPE_ONTOLOGY,2,13.333333333333334,0.04709399187333103,"VWA1,DCTN1",15,2,3,34.31111111111111,0.04709399187333103
HP:0010546~Muscle fibrillation,Muscle fibrillation,"Fine, rapid twitching of individual muscle fibers with little or no movement of the muscle as a whole as ascertained by electromyography (EMG). If a motor neuron or its axon is destroyed, the muscle fibers it innervates undergo denervation atrophy. This leads to hypersensitivity of individual muscle fibers to acetyl choline so that they may contract spontaneously. Isolated activity of individual muscle fibers is generally so fine it cannot be seen through the intact skin, although it can be recorded as a short-duration spike in the EMG.",HUMAN_PHENOTYPE_ONTOLOGY,2,13.333333333333334,0.04709399187333103,"VWA1,DCTN1",15,2,3,34.31111111111111,0.04709399187333103
HP:0030810~Abnormal tongue physiology,Abnormal tongue physiology,Any functional anomaly of the tongue.,HUMAN_PHENOTYPE_ONTOLOGY,2,13.333333333333334,0.04709399187333103,"VWA1,DCTN1",15,2,3,34.31111111111111,0.04709399187333103
GO:0004402~histone acetyltransferase activity,histone acetyltransferase activity,"""Catalysis of the reaction: acetyl-CoA + histone = CoA + acetyl-histone."" [EC:2.3.1.48, PMID:19056256]",GOTERM_MF_DIRECT,2,13.333333333333334,0.049746980907642985,"CDY2B,CDY1B",15,2,2,51.46666666666666,0.049746980907642985
