Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0007176~regulation of epidermal growth factor-activated receptor activity,regulation of epidermal growth factor-activated receptor activity,"""Any process that modulates the frequency, rate or extent of EGF-activated receptor activity."" [GOC:dph, GOC:go_curators]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0071638~negative regulation of monocyte chemotactic protein-1 production,negative regulation of monocyte chemotactic protein-1 production,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of production of monocyte chemotactic protein-1."" [GOC:mah]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0010469~regulation of signaling receptor activity,regulation of signaling receptor activity,"""Any process that modulates the frequency, rate or extent of a signaling receptor activity. Receptor activity is when a molecule combines with an extracellular or intracellular messenger to initiate a change in cell activity."" [GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0071637~regulation of monocyte chemotactic protein-1 production,regulation of monocyte chemotactic protein-1 production,"""Any process that modulates the frequency, rate, or extent of production of monocyte chemotactic protein-1."" [GOC:mah]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0071605~monocyte chemotactic protein-1 production,monocyte chemotactic protein-1 production,"""The appearance of monocyte chemotactic protein-1 due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, GOC:rv]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0061099~negative regulation of protein tyrosine kinase activity,negative regulation of protein tyrosine kinase activity,"""Any process that decreases the rate, frequency, or extent of protein tyrosine kinase activity."" [GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0060312~regulation of blood vessel remodeling,regulation of blood vessel remodeling,"""Any process that modulates the rate, frequency or extent of blood vessel remodeling, the reorganization or renovation of existing blood vessels."" [GOC:BHF, GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,TMBIM1,2,1,1,386.0,0.01951640759930922
GO:0050790~regulation of catalytic activity,regulation of catalytic activity,"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]",GOTERM_BP_DIRECT,2,100.0,0.01951640759930922,"TMBIM1,SOCS5",2,2,39,19.794871794871796,0.01951640759930922
GO:0045629~negative regulation of T-helper 2 cell differentiation,negative regulation of T-helper 2 cell differentiation,"""Any process that stops, prevents, or reduces the frequency, rate or extent of T-helper 2 cell differentiation."" [GOC:go_curators]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0045628~regulation of T-helper 2 cell differentiation,regulation of T-helper 2 cell differentiation,"""Any process that modulates the frequency, rate or extent of T-helper 2 cell differentiation."" [GOC:go_curators]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0045627~positive regulation of T-helper 1 cell differentiation,positive regulation of T-helper 1 cell differentiation,"""Any process that activates or increases the frequency, rate or extent of T-helper 1 cell differentiation."" [GOC:go_curators]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0032682~negative regulation of chemokine production,negative regulation of chemokine production,"""Any process that stops, prevents, or reduces the frequency, rate, or extent of chemokine production."" [GOC:mah]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0097699~vascular endothelial cell response to fluid shear stress,vascular endothelial cell response to fluid shear stress,"""Any response to fluid shear stress in a vascular endothelial cell."" [GOC:bc, GOC:BHF, GOC:BHF_miRNA, PMID:21768538]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0045625~regulation of T-helper 1 cell differentiation,regulation of T-helper 1 cell differentiation,"""Any process that modulates the frequency, rate or extent of T-helper 1 cell differentiation."" [GOC:go_curators]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,SOCS5,2,1,1,386.0,0.01951640759930922
GO:0034105~positive regulation of tissue remodeling,positive regulation of tissue remodeling,"""Any process that activates or increases the frequency, rate, or extent of tissue remodeling."" [GOC:add]",GOTERM_BP_DIRECT,1,50.0,0.01951640759930922,TMBIM1,2,1,1,386.0,0.01951640759930922
