Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
MIRNA:hsa-let-7c~hsa-let-7c,hsa-let-7c,hsa-let-7c,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,42,18.38095238095238,0.04202208624826107
MIRNA:hsa-let-7i~hsa-let-7i,hsa-let-7i,hsa-let-7i,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,42,18.38095238095238,0.04202208624826107
MIRNA:hsa-mir-3121-5p~hsa-mir-3121-5p,hsa-mir-3121-5p,hsa-mir-3121-5p,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,26,29.69230769230769,0.04202208624826107
MIRNA:hsa-mir-1245b-5p~hsa-mir-1245b-5p,hsa-mir-1245b-5p,hsa-mir-1245b-5p,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,24,32.166666666666664,0.04202208624826107
MIRNA:hsa-mir-3682-5p~hsa-mir-3682-5p,hsa-mir-3682-5p,hsa-mir-3682-5p,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,32,24.125,0.04202208624826107
MIRNA:hsa-mir-769-3p~hsa-mir-769-3p,hsa-mir-769-3p,hsa-mir-769-3p,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,28,27.571428571428573,0.04202208624826107
MIRNA:hsa-mir-4703-5p~hsa-mir-4703-5p,hsa-mir-4703-5p,hsa-mir-4703-5p,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,31,24.903225806451616,0.04202208624826107
MIRNA:hsa-mir-450b-3p~hsa-mir-450b-3p,hsa-mir-450b-3p,hsa-mir-450b-3p,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,26,29.69230769230769,0.04202208624826107
MIRNA:hsa-let-7e~hsa-let-7e,hsa-let-7e,hsa-let-7e,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,42,18.38095238095238,0.04202208624826107
MIRNA:hsa-mir-3142~hsa-mir-3142,hsa-mir-3142,hsa-mir-3142,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,24,32.166666666666664,0.04202208624826107
MIRNA:hsa-mir-320e~hsa-mir-320e,hsa-mir-320e,hsa-mir-320e,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,39,19.794871794871796,0.04202208624826107
MIRNA:hsa-mir-31~hsa-mir-31,hsa-mir-31,hsa-mir-31,MIRNA_TARGETS,2,100.0,0.04202208624826107,"ZNF275,BAHD1",2,2,38,20.31578947368421,0.04202208624826107
MIRNA:hsa-mir-320c~hsa-mir-320c,hsa-mir-320c,hsa-mir-320c,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,56,13.785714285714286,0.044901648488270045
MIRNA:hsa-mir-1224-3p~hsa-mir-1224-3p,hsa-mir-1224-3p,hsa-mir-1224-3p,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,49,15.755102040816325,0.044901648488270045
MIRNA:hsa-mir-4635~hsa-mir-4635,hsa-mir-4635,hsa-mir-4635,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,48,16.083333333333332,0.044901648488270045
MIRNA:hsa-mir-122-3p~hsa-mir-122-3p,hsa-mir-122-3p,hsa-mir-122-3p,MIRNA_TARGETS,1,50.0,0.044901648488270045,ZNF275,2,1,2,193.0,0.044901648488270045
MIRNA:hsa-mir-4773~hsa-mir-4773,hsa-mir-4773,hsa-mir-4773,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,55,14.036363636363635,0.044901648488270045
MIRNA:hsa-mir-3173-3p~hsa-mir-3173-3p,hsa-mir-3173-3p,hsa-mir-3173-3p,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,54,14.296296296296296,0.044901648488270045
MIRNA:hsa-mir-4685-5p~hsa-mir-4685-5p,hsa-mir-4685-5p,hsa-mir-4685-5p,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,55,14.036363636363635,0.044901648488270045
MIRNA:hsa-mir-4716-5p~hsa-mir-4716-5p,hsa-mir-4716-5p,hsa-mir-4716-5p,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,45,17.155555555555555,0.044901648488270045
MIRNA:hsa-mir-3065-5p~hsa-mir-3065-5p,hsa-mir-3065-5p,hsa-mir-3065-5p,MIRNA_TARGETS,2,100.0,0.044901648488270045,"ZNF275,BAHD1",2,2,53,14.566037735849058,0.044901648488270045
