Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
KEGG:04141~Protein processing in endoplasmic reticulum,Protein processing in endoplasmic reticulum,Protein processing in endoplasmic reticulum,KEGG_PATHWAY,2,100.0,0.0001260055240821759,"UBE2G1,SYVN1",2,2,6,128.66666666666666,0.0001260055240821759
KEGG:04120~Ubiquitin mediated proteolysis,Ubiquitin mediated proteolysis,Ubiquitin mediated proteolysis,KEGG_PATHWAY,2,100.0,0.0001260055240821759,"UBE2G1,SYVN1",2,2,6,128.66666666666666,0.0001260055240821759
GO:0070936~protein K48-linked ubiquitination,protein K48-linked ubiquitination,"""A protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is added to a protein. K48-linked ubiquitination targets the substrate protein for degradation."" [GOC:cvs, PMID:15556404]",GOTERM_BP_DIRECT,2,100.0,0.0038305679320981383,"UBE2G1,SYVN1",2,2,5,154.4,0.0038305679320981383
CORUM:4999~VCP-VIMP-DERL1-DERL2-HRD1-SEL1L complex,VCP-VIMP-DERL1-DERL2-HRD1-SEL1L complex,VCP-VIMP-DERL1-DERL2-HRD1-SEL1L complex,CORUM_COMPLEX,1,50.0,0.005181347150259086,SYVN1,2,1,1,386.0,0.005181347150259086
CORUM:156~Retrotranslocation complex,Retrotranslocation complex,Retrotranslocation complex,CORUM_COMPLEX,1,50.0,0.005181347150259086,SYVN1,2,1,1,386.0,0.005181347150259086
CORUM:6859~HRD1 complex,HRD1 complex,HRD1 complex,CORUM_COMPLEX,1,50.0,0.006903982670600328,SYVN1,2,1,2,193.0,0.006903982670600328
GO:0004842~ubiquitin-protein transferase activity,ubiquitin-protein transferase activity,"""Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y = Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages."" [GOC:BioGRID, GOC:jh2, PMID:9635407]",GOTERM_MF_DIRECT,2,100.0,0.008937991841562342,"UBE2G1,SYVN1",2,2,20,38.6,0.008937991841562342
GO:0016755~aminoacyltransferase activity,aminoacyltransferase activity,"""Catalysis of the transfer of an amino-acyl group from one compound (donor) to another (acceptor)."" [GOC:jl]",GOTERM_MF_DIRECT,2,100.0,0.008937991841562342,"UBE2G1,SYVN1",2,2,21,36.76190476190476,0.008937991841562342
GO:0019787~ubiquitin-like protein transferase activity,ubiquitin-like protein transferase activity,"""Catalysis of the transfer of a ubiquitin-like from one protein to another via the reaction X-ULP + Y = Y-ULP + X, where both X-ULP and Y-ULP are covalent linkages. ULP represents a ubiquitin-like protein."" [GOC:mah, GOC:rn, PMID:10806345, PMID:10884686]",GOTERM_MF_DIRECT,2,100.0,0.008937991841562342,"UBE2G1,SYVN1",2,2,21,36.76190476190476,0.008937991841562342
GO:0000209~protein polyubiquitination,protein polyubiquitination,"""Addition of multiple ubiquitin groups to a protein, forming a ubiquitin chain."" [PMID:26906419]",GOTERM_BP_DIRECT,2,100.0,0.01053406181326989,"UBE2G1,SYVN1",2,2,11,70.18181818181819,0.01053406181326989
GO:0019941~modification-dependent protein catabolic process,modification-dependent protein catabolic process,"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein."" [GOC:go_curators]",GOTERM_BP_DIRECT,2,100.0,0.013844766954583287,"UBE2G1,SYVN1",2,2,23,33.56521739130435,0.013844766954583287
