Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:5876~PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex,PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex,PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,PPP2CA,2,1,1,386.0,0.0030617051342440053
CORUM:1153~Integrator complex,Integrator complex,Integrator complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,INTS5,2,1,1,386.0,0.0030617051342440053
CORUM:1154~DSS1 complex,DSS1 complex,DSS1 complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,INTS5,2,1,1,386.0,0.0030617051342440053
CORUM:1155~Integrator-RNAPII complex,Integrator-RNAPII complex,Integrator-RNAPII complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,INTS5,2,1,1,386.0,0.0030617051342440053
CORUM:7251~IGBP1-MID1-PPP2CA complex,IGBP1-MID1-PPP2CA complex,IGBP1-MID1-PPP2CA complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,PPP2CA,2,1,1,386.0,0.0030617051342440053
CORUM:7005~PP2A-NR3A complex,PP2A-NR3A complex,PP2A-NR3A complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,PPP2CA,2,1,1,386.0,0.0030617051342440053
CORUM:1544~PPP2CA-PPP2R1A-PPP2R3A complex,PPP2CA-PPP2R1A-PPP2R3A complex,PPP2CA-PPP2R1A-PPP2R3A complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,PPP2CA,2,1,1,386.0,0.0030617051342440053
CORUM:1543~PPP2CA-PPP2R1A complex,PPP2CA-PPP2R1A complex,PPP2CA-PPP2R1A complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,PPP2CA,2,1,1,386.0,0.0030617051342440053
CORUM:6159~LPP-PPP2CA-PPP2R3A complex,LPP-PPP2CA-PPP2R3A complex,LPP-PPP2CA-PPP2R3A complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,PPP2CA,2,1,1,386.0,0.0030617051342440053
CORUM:6182~PP2A A/C-striatin complex,PP2A A/C-striatin complex,PP2A A/C-striatin complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,PPP2CA,2,1,1,386.0,0.0030617051342440053
CORUM:6183~PP2A A/C-SG2NA complex,PP2A A/C-SG2NA complex,PP2A A/C-SG2NA complex,CORUM_COMPLEX,1,50.0,0.0030617051342440053,PPP2CA,2,1,1,386.0,0.0030617051342440053
CORUM:6111~protein phosphatase 2A C-subunit-synapsin complex,protein phosphatase 2A C-subunit-synapsin complex,protein phosphatase 2A C-subunit-synapsin complex,CORUM_COMPLEX,1,50.0,0.005609485919862767,PPP2CA,2,1,2,193.0,0.005609485919862767
CORUM:0000000~CORUM root,CORUM root,CORUM root,CORUM_COMPLEX,2,100.0,0.012862643898308488,"INTS5,PPP2CA",2,2,88,8.772727272727273,0.012862643898308488
REAC:R-HSA-4791275~Signaling by WNT in cancer,Signaling by WNT in cancer,Signaling by WNT in cancer,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,2,193.0,0.01708735710973581
REAC:R-HSA-5358747~CTNNB1 S33 mutants aren't phosphorylated,CTNNB1 S33 mutants aren't phosphorylated,CTNNB1 S33 mutants aren't phosphorylated,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,2,193.0,0.01708735710973581
REAC:R-HSA-5358749~CTNNB1 S37 mutants aren't phosphorylated,CTNNB1 S37 mutants aren't phosphorylated,CTNNB1 S37 mutants aren't phosphorylated,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,2,193.0,0.01708735710973581
REAC:R-HSA-5358751~CTNNB1 S45 mutants aren't phosphorylated,CTNNB1 S45 mutants aren't phosphorylated,CTNNB1 S45 mutants aren't phosphorylated,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,2,193.0,0.01708735710973581
REAC:R-HSA-389513~Co-inhibition by CTLA4,Co-inhibition by CTLA4,Co-inhibition by CTLA4,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,2,193.0,0.01708735710973581
REAC:R-HSA-196299~Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade,Beta-catenin phosphorylation cascade,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,2,193.0,0.01708735710973581
REAC:R-HSA-69273~Cyclin A/B1/B2 associated events during G2/M transition,Cyclin A/B1/B2 associated events during G2/M transition,Cyclin A/B1/B2 associated events during G2/M transition,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,1,386.0,0.01708735710973581
REAC:R-HSA-69618~Mitotic Spindle Checkpoint,Mitotic Spindle Checkpoint,Mitotic Spindle Checkpoint,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,2,193.0,0.01708735710973581
REAC:R-HSA-180024~DARPP-32 events,DARPP-32 events,DARPP-32 events,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,2,193.0,0.01708735710973581
REAC:R-HSA-2465910~MASTL Facilitates Mitotic Progression,MASTL Facilitates Mitotic Progression,MASTL Facilitates Mitotic Progression,REACTOME_PATHWAY,1,50.0,0.01708735710973581,PPP2CA,2,1,1,386.0,0.01708735710973581
