Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0036503~ERAD pathway,ERAD pathway,"""The protein catabolic pathway which targets endoplasmic reticulum (ER)-resident proteins for degradation by the cytoplasmic proteasome. It begins with recognition of the ER-resident protein, includes retrotranslocation (dislocation) of the protein from the ER to the cytosol, protein modifications necessary for correct substrate transfer (e.g. ubiquitination), transport of the protein to the proteasome, and ends with degradation of the protein by the cytoplasmic proteasome."" [GOC:bf, GOC:PARL, PMID:20940304, PMID:21969857]",GOTERM_BP_DIRECT,2,100.0,0.001370940102014072,"ERLEC1,FOXRED2",2,2,4,193.0,0.001370940102014072
GO:0034976~response to endoplasmic reticulum stress,response to endoplasmic reticulum stress,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen."" [GOC:cjm, GOC:mah]",GOTERM_BP_DIRECT,2,100.0,0.007540170561077398,"ERLEC1,FOXRED2",2,2,12,64.33333333333333,0.007540170561077398
CORUM:6859~HRD1 complex,HRD1 complex,HRD1 complex,CORUM_COMPLEX,1,50.0,0.010355974005900492,ERLEC1,2,1,2,193.0,0.010355974005900492
GO:0005788~endoplasmic reticulum lumen,endoplasmic reticulum lumen,"""The volume enclosed by the membranes of the endoplasmic reticulum."" [ISBN:0198547684]",GOTERM_CC_DIRECT,2,100.0,0.012751759037116185,"ERLEC1,FOXRED2",2,2,23,33.56521739130435,0.012751759037116185
GO:0034620~cellular response to unfolded protein,cellular response to unfolded protein,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an unfolded protein stimulus."" [GOC:mah]",GOTERM_BP_DIRECT,1,50.0,0.013709401020140725,ERLEC1,2,1,1,386.0,0.013709401020140725
GO:0051603~proteolysis involved in protein catabolic process,proteolysis involved in protein catabolic process,"""The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."" [GOC:ai, GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,2,100.0,0.013709401020140725,"ERLEC1,FOXRED2",2,2,33,23.393939393939394,0.013709401020140725
GO:0070861~regulation of protein exit from endoplasmic reticulum,regulation of protein exit from endoplasmic reticulum,"""Any process that modulates the frequency, rate or extent of the directed movement of proteins from the endoplasmic reticulum."" [GOC:mah]",GOTERM_BP_DIRECT,1,50.0,0.013709401020140725,ERLEC1,2,1,1,386.0,0.013709401020140725
GO:0070862~negative regulation of protein exit from endoplasmic reticulum,negative regulation of protein exit from endoplasmic reticulum,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of proteins from the endoplasmic reticulum."" [GOC:mah]",GOTERM_BP_DIRECT,1,50.0,0.013709401020140725,ERLEC1,2,1,1,386.0,0.013709401020140725
GO:0090317~negative regulation of intracellular protein transport,negative regulation of intracellular protein transport,"""Any process that decreases the frequency, rate or extent of the directed movement of proteins within cells."" [GOC:tb]",GOTERM_BP_DIRECT,1,50.0,0.013709401020140725,ERLEC1,2,1,1,386.0,0.013709401020140725
GO:0030163~protein catabolic process,protein catabolic process,"""The chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds."" [GOC:mah]",GOTERM_BP_DIRECT,2,100.0,0.013709401020140725,"ERLEC1,FOXRED2",2,2,40,19.3,0.013709401020140725
GO:0010498~proteasomal protein catabolic process,proteasomal protein catabolic process,"""The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome."" [GOC:tb]",GOTERM_BP_DIRECT,2,100.0,0.013709401020140725,"ERLEC1,FOXRED2",2,2,23,33.56521739130435,0.013709401020140725
"GO:1904152~regulation of retrograde protein transport, ER to cytosol","regulation of retrograde protein transport, ER to cytosol","""Any process that modulates the frequency, rate or extent of retrograde protein transport, ER to cytosol."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:18555783]",GOTERM_BP_DIRECT,1,50.0,0.013709401020140725,ERLEC1,2,1,1,386.0,0.013709401020140725
"GO:1904153~negative regulation of retrograde protein transport, ER to cytosol","negative regulation of retrograde protein transport, ER to cytosol","""Any process that stops, prevents or reduces the frequency, rate or extent of retrograde protein transport, ER to cytosol."" [GO_REF:0000058, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:18555783]",GOTERM_BP_DIRECT,1,50.0,0.013709401020140725,ERLEC1,2,1,1,386.0,0.013709401020140725
GO:0030968~endoplasmic reticulum unfolded protein response,endoplasmic reticulum unfolded protein response,"""The series of molecular signals generated as a consequence of the presence of unfolded proteins in the endoplasmic reticulum (ER) or other ER-related stress; results in changes in the regulation of transcription and translation."" [GOC:mah, PMID:12042763]",GOTERM_BP_DIRECT,1,50.0,0.013709401020140725,ERLEC1,2,1,1,386.0,0.013709401020140725
GO:0035967~cellular response to topologically incorrect protein,cellular response to topologically incorrect protein,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a protein that is not folded in its correct three-dimensional structure."" [GOC:bf]",GOTERM_BP_DIRECT,1,50.0,0.013709401020140725,ERLEC1,2,1,1,386.0,0.013709401020140725
GO:1901698~response to nitrogen compound,response to nitrogen compound,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a nitrogen compound stimulus."" [GOC:pr, GOC:TermGenie]",GOTERM_BP_DIRECT,2,100.0,0.016766815057172226,"ERLEC1,FOXRED2",2,2,49,15.755102040816325,0.016766815057172226
