Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
WP:WP4726~Sphingolipid metabolism integrated pathway,Sphingolipid metabolism integrated pathway,Sphingolipid metabolism integrated pathway,WIKIPATHWAYS,2,22.22222222222222,0.0011491703796294437,"DEGS2,CERS4",9,2,2,85.77777777777777,0.0011491703796294437
WP:WP4725~Sphingolipid metabolism overview,Sphingolipid metabolism overview,Sphingolipid metabolism overview,WIKIPATHWAYS,2,22.22222222222222,0.0011491703796294437,"DEGS2,CERS4",9,2,2,85.77777777777777,0.0011491703796294437
KEGG:00600~Sphingolipid metabolism,Sphingolipid metabolism,Sphingolipid metabolism,KEGG_PATHWAY,2,22.22222222222222,0.0025402713654966652,"DEGS2,CERS4",9,2,2,85.77777777777777,0.0025402713654966652
REAC:R-HSA-1660661~Sphingolipid de novo biosynthesis,Sphingolipid de novo biosynthesis,Sphingolipid de novo biosynthesis,REACTOME_PATHWAY,2,22.22222222222222,0.007257918187133329,"DEGS2,CERS4",9,2,2,85.77777777777777,0.007257918187133329
GO:0099054~presynapse assembly,presynapse assembly,"""The aggregation, arrangement and bonding together of a set of components to form a presynapse."" [GOC:bf, GOC:dos, GOC:PARL, PMID:24449494]",GOTERM_BP_DIRECT,2,22.22222222222222,0.009624680127877658,"SLITRK3,IL1RAPL2",9,2,2,85.77777777777777,0.009624680127877658
GO:0099172~presynapse organization,presynapse organization,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a presynapse."" [GOC:dos]",GOTERM_BP_DIRECT,2,22.22222222222222,0.009624680127877658,"SLITRK3,IL1RAPL2",9,2,2,85.77777777777777,0.009624680127877658
GO:0099174~regulation of presynapse organization,regulation of presynapse organization,"""Any process that modulates the physical form of a presynapse."" [GOC:ai, GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,2,22.22222222222222,0.009624680127877658,"SLITRK3,IL1RAPL2",9,2,2,85.77777777777777,0.009624680127877658
GO:1905606~regulation of presynapse assembly,regulation of presynapse assembly,"""Any process that modulates the frequency, rate or extent of presynapse assembly."" [GO_REF:0000058, GOC:bc, GOC:PARL, GOC:TermGenie, PMID:25533483]",GOTERM_BP_DIRECT,2,22.22222222222222,0.009624680127877658,"SLITRK3,IL1RAPL2",9,2,2,85.77777777777777,0.009624680127877658
GO:0007416~synapse assembly,synapse assembly,"""The aggregation, arrangement and bonding together of a set of components to form a synapse. This process ends when the synapse is mature (functional)."" [GOC:mah]",GOTERM_BP_DIRECT,3,33.33333333333333,0.009624680127877658,"SLITRK3,IL1RAPL2,GABRB2",9,3,10,25.733333333333334,0.009624680127877658
REAC:R-HSA-112316~Neuronal System,Neuronal System,Neuronal System,REACTOME_PATHWAY,3,33.33333333333333,0.010755301236959974,"SLITRK3,IL1RAPL2,GABRB2",9,3,17,15.137254901960784,0.010755301236959974
REAC:R-HSA-388844~Receptor-type tyrosine-protein phosphatases,Receptor-type tyrosine-protein phosphatases,Receptor-type tyrosine-protein phosphatases,REACTOME_PATHWAY,2,22.22222222222222,0.010755301236959974,"SLITRK3,IL1RAPL2",9,2,3,57.18518518518518,0.010755301236959974
REAC:R-HSA-428157~Sphingolipid metabolism,Sphingolipid metabolism,Sphingolipid metabolism,REACTOME_PATHWAY,2,22.22222222222222,0.010755301236959974,"DEGS2,CERS4",9,2,4,42.888888888888886,0.010755301236959974
REAC:R-HSA-6794362~Protein-protein interactions at synapses,Protein-protein interactions at synapses,Protein-protein interactions at synapses,REACTOME_PATHWAY,2,22.22222222222222,0.014253453815734965,"SLITRK3,IL1RAPL2",9,2,5,34.31111111111111,0.014253453815734965
"CORUM:7462~GABA-A receptor (GABRA1, GABRB2, GABRD)","GABA-A receptor (GABRA1, GABRB2, GABRD)","GABA-A receptor (GABRA1, GABRB2, GABRD)",CORUM_COMPLEX,1,11.11111111111111,0.015544041450777257,GABRB2,9,1,1,85.77777777777777,0.015544041450777257
"CORUM:5809~GABA-A receptor (GABRA1, GABRB2, GABRG2)","GABA-A receptor (GABRA1, GABRB2, GABRG2)","GABA-A receptor (GABRA1, GABRB2, GABRG2)",CORUM_COMPLEX,1,11.11111111111111,0.015544041450777257,GABRB2,9,1,1,85.77777777777777,0.015544041450777257
"CORUM:7461~GABA-A receptor (GABRA1, GABRB2, GABRG2)","GABA-A receptor (GABRA1, GABRB2, GABRG2)","GABA-A receptor (GABRA1, GABRB2, GABRG2)",CORUM_COMPLEX,1,11.11111111111111,0.015544041450777257,GABRB2,9,1,1,85.77777777777777,0.015544041450777257
"GO:0051932~synaptic transmission, GABAergic","synaptic transmission, GABAergic","""The vesicular release of gamma-aminobutyric acid (GABA). from a presynapse, across a chemical synapse, the subsequent activation of GABA receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:dos, ISBN:0126603030]",GOTERM_BP_DIRECT,2,22.22222222222222,0.022844114213239845,"SLITRK3,GABRB2",9,2,3,57.18518518518518,0.022844114213239845
GO:0034329~cell junction assembly,cell junction assembly,"""A cellular process that results in the aggregation, arrangement and bonding together of a set of components to form a cell junction."" [GOC:mah]",GOTERM_BP_DIRECT,3,33.33333333333333,0.030965482812879756,"SLITRK3,IL1RAPL2,GABRB2",9,3,16,16.083333333333332,0.030965482812879756
GO:0099634~postsynaptic specialization membrane,postsynaptic specialization membrane,"""The membrane component of the postsynaptic specialization. This is the region of the postsynaptic membrane in which the population of neurotransmitter receptors involved in synaptic transmission are concentrated."" [GOC:dos]",GOTERM_CC_DIRECT,2,22.22222222222222,0.0376435543293599,"SLITRK3,GABRB2",9,2,4,42.888888888888886,0.0376435543293599
GO:0098982~GABA-ergic synapse,GABA-ergic synapse,"""A synapse that uses GABA as a neurotransmitter. These synapses are typically inhibitory."" [GOC:dos]",GOTERM_CC_DIRECT,2,22.22222222222222,0.0376435543293599,"SLITRK3,GABRB2",9,2,4,42.888888888888886,0.0376435543293599
