Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0009593~detection of chemical stimulus,detection of chemical stimulus,"""The series of events in which a chemical stimulus is received by a cell and converted into a molecular signal."" [GOC:jl]",GOTERM_BP_DIRECT,14,35.8974358974359,1.3936314420349202e-09,"OR51M1,OR13C8,OR12D2,GNAT2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,14,29,9.556145004420866,1.3936314420349202e-09
GO:0050907~detection of chemical stimulus involved in sensory perception,detection of chemical stimulus involved in sensory perception,"""The series of events in which a chemical stimulus is received and converted into a molecular signal as part of sensory perception."" [GOC:ai, GOC:dos]",GOTERM_BP_DIRECT,14,35.8974358974359,1.3936314420349202e-09,"OR51M1,OR13C8,OR12D2,GNAT2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,14,28,9.897435897435898,1.3936314420349202e-09
KEGG:04740~Olfactory transduction,Olfactory transduction,Olfactory transduction,KEGG_PATHWAY,13,33.33333333333333,1.5022774358772616e-09,"OR51M1,OR13C8,OR12D2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,13,27,9.530864197530864,1.5022774358772616e-09
REAC:R-HSA-9752946~Expression and translocation of olfactory receptors,Expression and translocation of olfactory receptors,Expression and translocation of olfactory receptors,REACTOME_PATHWAY,13,33.33333333333333,1.5602161026541354e-09,"OR51M1,OR13C8,OR12D2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,13,26,9.897435897435896,1.5602161026541354e-09
REAC:R-HSA-381753~Olfactory Signaling Pathway,Olfactory Signaling Pathway,Olfactory Signaling Pathway,REACTOME_PATHWAY,13,33.33333333333333,1.5602161026541354e-09,"OR51M1,OR13C8,OR12D2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,13,26,9.897435897435896,1.5602161026541354e-09
GO:0007606~sensory perception of chemical stimulus,sensory perception of chemical stimulus,"""The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."" [GOC:ai]",GOTERM_BP_DIRECT,14,35.8974358974359,1.6875260061001216e-09,"OR51M1,OR13C8,OR12D2,GNAT2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,14,30,9.237606837606839,1.6875260061001216e-09
GO:0004984~olfactory receptor activity,olfactory receptor activity,"""Combining with an odorant and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity in response to detection of smell."" [GOC:bf, GOC:dph, GOC:sart, PMID:19135896, PMID:21041441]",GOTERM_MF_DIRECT,13,33.33333333333333,1.7311231669024681e-09,"OR51M1,OR13C8,OR12D2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,13,26,9.897435897435896,1.7311231669024681e-09
GO:0050906~detection of stimulus involved in sensory perception,detection of stimulus involved in sensory perception,"""The series of events involved in sensory perception in which a sensory stimulus is received and converted into a molecular signal."" [GOC:ai, GOC:dos, GOC:dph]",GOTERM_BP_DIRECT,14,35.8974358974359,2.2356387280034018e-09,"OR51M1,OR13C8,OR12D2,GNAT2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,14,31,8.939619520264682,2.2356387280034018e-09
GO:0050911~detection of chemical stimulus involved in sensory perception of smell,detection of chemical stimulus involved in sensory perception of smell,"""The series of events involved in the perception of smell in which an olfactory chemical stimulus is received and converted into a molecular signal."" [GOC:ai]",GOTERM_BP_DIRECT,13,33.33333333333333,2.293462539590531e-09,"OR51M1,OR13C8,OR12D2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,13,26,9.897435897435896,2.293462539590531e-09
GO:0051606~detection of stimulus,detection of stimulus,"""The series of events in which a stimulus is received by a cell or organism and converted into a molecular signal."" [GOC:add, GOC:ai, GOC:dph, GOC:mah]",GOTERM_BP_DIRECT,14,35.8974358974359,3.2383020256319078e-09,"OR51M1,OR13C8,OR12D2,GNAT2,OR4K15,OR4X1,OR52D1,OR51A2,OR2A7,OR10H4,OR6C2,OR10A2,OR7D2,OR52K2",39,14,33,8.397824397824397,3.2383020256319078e-09
