Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0009925~basal plasma membrane,basal plasma membrane,"""The region of the plasma membrane located at the basal end of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis."" [GOC:go_curators]",GOTERM_CC_DIRECT,2,100.0,0.0008781184967148957,"CASR,ALPK2",2,2,8,96.5,0.0008781184967148957
GO:0016323~basolateral plasma membrane,basolateral plasma membrane,"""The region of the plasma membrane that includes the basal end and sides of the cell. Often used in reference to animal polarized epithelial membranes, where the basal membrane is the part attached to the extracellular matrix, or in plant cells, where the basal membrane is defined with respect to the zygotic axis."" [GOC:go_curators]",GOTERM_CC_DIRECT,2,100.0,0.0008781184967148957,"CASR,ALPK2",2,2,7,110.28571428571429,0.0008781184967148957
GO:0045178~basal part of cell,basal part of cell,"""The region of a cell situated near the base. For example, in a polarized epithelial cell, the basal surface rests on the basal lamina that separates the epithelium from other tissue."" [GOC:mah, ISBN:0815316194]",GOTERM_CC_DIRECT,2,100.0,0.0008781184967148957,"CASR,ALPK2",2,2,8,96.5,0.0008781184967148957
WP:WP501~GPCRs class C metabotropic glutamate pheromone,GPCRs class C metabotropic glutamate pheromone,GPCRs class C metabotropic glutamate pheromone,WIKIPATHWAYS,1,50.0,0.005181347150259086,CASR,2,1,1,386.0,0.005181347150259086
GO:0098590~plasma membrane region,plasma membrane region,"""A membrane that is a (regional) part of the plasma membrane."" [GOC:dos]",GOTERM_CC_DIRECT,2,100.0,0.01319529848188543,"CASR,ALPK2",2,2,34,22.705882352941178,0.01319529848188543
REAC:R-HSA-420499~Class C/3 (Metabotropic glutamate/pheromone receptors),Class C/3 (Metabotropic glutamate/pheromone receptors),Class C/3 (Metabotropic glutamate/pheromone receptors),REACTOME_PATHWAY,1,50.0,0.020725388601036343,CASR,2,1,1,386.0,0.020725388601036343
GO:0044306~neuron projection terminus,neuron projection terminus,"""The specialized, terminal region of a neuron projection such as an axon or a dendrite."" [GOC:jl]",GOTERM_CC_DIRECT,1,50.0,0.03104776113384844,CASR,2,1,3,128.66666666666666,0.03104776113384844
GO:0043679~axon terminus,axon terminus,"""Terminal inflated portion of the axon, containing the specialized apparatus necessary to release neurotransmitters. The axon terminus is considered to be the whole region of thickening and the terminal button is a specialized region of it."" [GOC:dph, GOC:jl]",GOTERM_CC_DIRECT,1,50.0,0.03104776113384844,CASR,2,1,3,128.66666666666666,0.03104776113384844
GO:0042734~presynaptic membrane,presynaptic membrane,"""A specialized area of membrane of the axon terminal that faces the plasma membrane of the neuron or muscle fiber with which the axon terminal establishes a synaptic junction; many synaptic junctions exhibit structural presynaptic characteristics, such as conical, electron-dense internal protrusions, that distinguish it from the remainder of the axon plasma membrane."" [GOC:jl, ISBN:0815316194]",GOTERM_CC_DIRECT,1,50.0,0.03104776113384844,CASR,2,1,3,128.66666666666666,0.03104776113384844
GO:0150034~distal axon,distal axon,"""That part of an axon close to and including the growth cone or the axon terminus."" [GOC:aruk, GOC:bc, PMID:17202468]",GOTERM_CC_DIRECT,1,50.0,0.036198866958328746,CASR,2,1,4,96.5,0.036198866958328746
HP:0100027~Recurrent pancreatitis,Recurrent pancreatitis,A recurrent form of pancreatitis.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,2,193.0,0.04458986971350574
HP:0003761~Calcinosis,Calcinosis,Formation of calcium deposits in any soft tissue.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,2,193.0,0.04458986971350574
HP:0004373~Focal dystonia,Focal dystonia,A type of dystonia that is localized to a specific part of the body.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,3,128.66666666666666,0.04458986971350574
HP:0004921~Abnormal magnesium concentration,Abnormal magnesium concentration,An abnormality of magnesium ion homeostasis.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,3,128.66666666666666,0.04458986971350574
HP:0005213~Pancreatic calcification,Pancreatic calcification,The presence of abnormal calcium deposition lesions in the pancreas.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,1,386.0,0.04458986971350574
HP:0008200~Primary hyperparathyroidism,Primary hyperparathyroidism,"A type of hyperparathyroidism caused by a primary abnormality of the parathyroid glands (e.g., adenoma, carcinoma, hyperplasia). Primary hyperparathyroidism is associated with hyercalcemia.",HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,1,386.0,0.04458986971350574
HP:0011227~Elevated circulating C-reactive protein concentration,Elevated circulating C-reactive protein concentration,An abnormal elevation of the C-reactive protein level in the blood circulation.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,2,193.0,0.04458986971350574
HP:0011766~Abnormal parathyroid morphology,Abnormal parathyroid morphology,A structural abnormality of the parathyroid gland.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,1,386.0,0.04458986971350574
HP:0011767~Abnormality of the parathyroid physiology,Abnormality of the parathyroid physiology,A functional abnormality of the parathyroid gland.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,3,128.66666666666666,0.04458986971350574
HP:0012212~Abnormal glomerular filtration rate,Abnormal glomerular filtration rate,An abnormally increased or reduced amount of fluid filtered out of plasma through glomerular capillary walls into Bowman's capsules per unit of time.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,1,386.0,0.04458986971350574
HP:0012213~Decreased glomerular filtration rate,Decreased glomerular filtration rate,An abnormal reduction in the volume of fluid filtered out of plasma through glomerular capillary walls into Bowman's capsules per unit of time.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,1,386.0,0.04458986971350574
HP:0012535~Abnormal synaptic transmission,Abnormal synaptic transmission,"An anomaly in the communication from a neuron to a target across a synapse. This is a four step process, comprising (i) synthesis and storage of neurotransmitters; (ii) neurotransmitter release; (iii) activation of postsynaptic receptors by the neurotransmitter; and (iv) inactivation of the neurotransmitter. Thus, this term is defined as an anomaly of neurotransmitter metabolic process.",HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,3,128.66666666666666,0.04458986971350574
HP:0012599~Abnormal urine phosphate concentration,Abnormal urine phosphate concentration,An abnormal phosphate concentration in the urine.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,3,128.66666666666666,0.04458986971350574
HP:0003473~Fatigable weakness,Fatigable weakness,"A type of weakness that occurs after a muscle group is used and lessens if the muscle group has some rest. That is, there is diminution of strength with repetitive muscle actions.",HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,3,128.66666666666666,0.04458986971350574
HP:0025424~Abnormal larynx physiology,Abnormal larynx physiology,Any anomaly of the function of the larynx.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,2,193.0,0.04458986971350574
HP:0025425~Laryngospasm,Laryngospasm,A spasm (involuntary contraction) of the vocal cords that can make it difficult to speak or breathe.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,2,193.0,0.04458986971350574
HP:0030082~Abnormal drinking behavior,Abnormal drinking behavior,Abnormal consumption of fluids with excessive or insufficient consumption of fluid or any other abnormal pattern of fluid consumption.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,3,128.66666666666666,0.04458986971350574
HP:0030191~Abnormal peripheral nervous system synaptic transmission,Abnormal peripheral nervous system synaptic transmission,An anomaly in the communication from a neuron to a target across a synapse in the peripheral nervous system.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,3,128.66666666666666,0.04458986971350574
HP:0030247~Splanchnic vein thrombosis,Splanchnic vein thrombosis,"The term splanchnic vein thrombosis encompasses Budd-Chiari syndrome (hepatic vein thrombosis), extrahepatic portal vein obstruction (EHPVO), and mesenteric vein thrombosis; the word splanchnic is used to refer to the visceral organs (of the abdominal cavity).",HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,2,193.0,0.04458986971350574
HP:0031817~Decreased circulating parathyroid hormone level,Decreased circulating parathyroid hormone level,An abnormally decreased concentration of parathyroid hormone.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,1,386.0,0.04458986971350574
HP:0032436~Abnormal circulating C-reactive protein concentration,Abnormal circulating C-reactive protein concentration,Any deviation from the normal concentration of C-reactive protein in the blood circulation.,HUMAN_PHENOTYPE_ONTOLOGY,1,50.0,0.04458986971350574,CASR,2,1,2,193.0,0.04458986971350574
