Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
WP:WP15~Selenium micronutrient network,Selenium micronutrient network,Selenium micronutrient network,WIKIPATHWAYS,2,100.0,0.0011995725892623129,"GSR,KYNU",2,2,7,110.28571428571429,0.0011995725892623129
WP:WP100~Glutathione metabolism,Glutathione metabolism,Glutathione metabolism,WIKIPATHWAYS,1,50.0,0.006291635825314604,GSR,2,1,1,386.0,0.006291635825314604
WP:WP4210~Tryptophan catabolism leading to NAD production,Tryptophan catabolism leading to NAD production,Tryptophan catabolism leading to NAD production,WIKIPATHWAYS,1,50.0,0.006291635825314604,KYNU,2,1,1,386.0,0.006291635825314604
WP:WP5414~IDO metabolic pathway,IDO metabolic pathway,IDO metabolic pathway,WIKIPATHWAYS,1,50.0,0.006291635825314604,KYNU,2,1,1,386.0,0.006291635825314604
WP:WP2485~NAD biosynthesis II from tryptophan,NAD biosynthesis II from tryptophan,NAD biosynthesis II from tryptophan,WIKIPATHWAYS,1,50.0,0.006291635825314604,KYNU,2,1,1,386.0,0.006291635825314604
WP:WP2525~Trans sulfuration one carbon metabolism and related pathways,Trans sulfuration one carbon metabolism and related pathways,Trans sulfuration one carbon metabolism and related pathways,WIKIPATHWAYS,1,50.0,0.006291635825314604,GSR,2,1,1,386.0,0.006291635825314604
WP:WP465~Tryptophan metabolism,Tryptophan metabolism,Tryptophan metabolism,WIKIPATHWAYS,1,50.0,0.006291635825314604,KYNU,2,1,1,386.0,0.006291635825314604
WP:WP2884~NRF2 pathway,NRF2 pathway,NRF2 pathway,WIKIPATHWAYS,1,50.0,0.008802577905015417,GSR,2,1,2,193.0,0.008802577905015417
WP:WP5044~Kynurenine pathway and links to cell senescence,Kynurenine pathway and links to cell senescence,Kynurenine pathway and links to cell senescence,WIKIPATHWAYS,1,50.0,0.008802577905015417,KYNU,2,1,2,193.0,0.008802577905015417
WP:WP4698~Vitamin D sensitive calcium signaling in depression,Vitamin D sensitive calcium signaling in depression,Vitamin D sensitive calcium signaling in depression,WIKIPATHWAYS,1,50.0,0.008802577905015417,GSR,2,1,2,193.0,0.008802577905015417
REAC:R-HSA-71240~Tryptophan catabolism,Tryptophan catabolism,Tryptophan catabolism,REACTOME_PATHWAY,1,50.0,0.010362694300518172,KYNU,2,1,1,386.0,0.010362694300518172
KEGG:00380~Tryptophan metabolism,Tryptophan metabolism,Tryptophan metabolism,KEGG_PATHWAY,1,50.0,0.010866716396846953,KYNU,2,1,2,193.0,0.010866716396846953
KEGG:00480~Glutathione metabolism,Glutathione metabolism,Glutathione metabolism,KEGG_PATHWAY,1,50.0,0.010866716396846953,GSR,2,1,1,386.0,0.010866716396846953
KEGG:01100~Metabolic pathways,Metabolic pathways,Metabolic pathways,KEGG_PATHWAY,2,100.0,0.010866716396846953,"GSR,KYNU",2,2,49,15.755102040816325,0.010866716396846953
