Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
CORUM:7284~GSK3B-HSP90AA1-PKM2 complex,GSK3B-HSP90AA1-PKM2 complex,GSK3B-HSP90AA1-PKM2 complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
CORUM:757~Prune-GSK3beta complex,Prune-GSK3beta complex,Prune-GSK3beta complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
CORUM:2998~Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex,Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex,Axin-PP2A A-PP2A C-GSK3-beta-beta-catenin complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
CORUM:3166~AXIN1-APC-CTNNB1-GSK3B complex,AXIN1-APC-CTNNB1-GSK3B complex,AXIN1-APC-CTNNB1-GSK3B complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
CORUM:6248~FBXW7-CSF3R-GSK3B complex,FBXW7-CSF3R-GSK3B complex,FBXW7-CSF3R-GSK3B complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
CORUM:6352~FoxM1-Axin-GSK3beta complex,FoxM1-Axin-GSK3beta complex,FoxM1-Axin-GSK3beta complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
"CORUM:4151~TSC (TSC1, TSC2, AXIN, GSK3) complex","TSC (TSC1, TSC2, AXIN, GSK3) complex","TSC (TSC1, TSC2, AXIN, GSK3) complex",CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
CORUM:6906~FBXW7-CDX2-GSK3B complex,FBXW7-CDX2-GSK3B complex,FBXW7-CDX2-GSK3B complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
CORUM:6963~AXIN1-GID8-GSK3B complex,AXIN1-GID8-GSK3B complex,AXIN1-GID8-GSK3B complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
CORUM:7127~GSKIP-GSK3B-PRKAR2A complex,GSKIP-GSK3B-PRKAR2A complex,GSKIP-GSK3B-PRKAR2A complex,CORUM_COMPLEX,1,16.666666666666664,0.008327165062916388,GSK3B,6,1,1,128.66666666666666,0.008327165062916388
