Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
REAC:R-HSA-1428517~Aerobic respiration and respiratory electron transport,Aerobic respiration and respiratory electron transport,Aerobic respiration and respiratory electron transport,REACTOME_PATHWAY,2,100.0,0.0006552287252273147,"PDK1,NDUFAF5",2,2,6,128.66666666666666,0.0006552287252273147
REAC:R-HSA-70268~Pyruvate metabolism,Pyruvate metabolism,Pyruvate metabolism,REACTOME_PATHWAY,1,50.0,0.008419689119171014,PDK1,2,1,1,386.0,0.008419689119171014
REAC:R-HSA-9861718~Regulation of pyruvate metabolism,Regulation of pyruvate metabolism,Regulation of pyruvate metabolism,REACTOME_PATHWAY,1,50.0,0.008419689119171014,PDK1,2,1,1,386.0,0.008419689119171014
REAC:R-HSA-204174~Regulation of pyruvate dehydrogenase (PDH) complex,Regulation of pyruvate dehydrogenase (PDH) complex,Regulation of pyruvate dehydrogenase (PDH) complex,REACTOME_PATHWAY,1,50.0,0.008419689119171014,PDK1,2,1,1,386.0,0.008419689119171014
REAC:R-HSA-9837999~Mitochondrial protein degradation,Mitochondrial protein degradation,Mitochondrial protein degradation,REACTOME_PATHWAY,1,50.0,0.012613152960625929,PDK1,2,1,3,128.66666666666666,0.012613152960625929
REAC:R-HSA-6799198~Complex I biogenesis,Complex I biogenesis,Complex I biogenesis,REACTOME_PATHWAY,1,50.0,0.012613152960625929,NDUFAF5,2,1,2,193.0,0.012613152960625929
REAC:R-HSA-1430728~Metabolism,Metabolism,Metabolism,REACTOME_PATHWAY,2,100.0,0.012613152960625929,"PDK1,NDUFAF5",2,2,67,11.522388059701493,0.012613152960625929
REAC:R-HSA-611105~Respiratory electron transport,Respiratory electron transport,Respiratory electron transport,REACTOME_PATHWAY,1,50.0,0.012613152960625929,NDUFAF5,2,1,3,128.66666666666666,0.012613152960625929
REAC:R-HSA-5362517~Signaling by Retinoic Acid,Signaling by Retinoic Acid,Signaling by Retinoic Acid,REACTOME_PATHWAY,1,50.0,0.014939214935183293,PDK1,2,1,4,96.5,0.014939214935183293
GO:0098576~lumenal side of membrane,lumenal side of membrane,"""Any side (leaflet) of a membrane that faces the lumen of an organelle."" [GOC:dos]",GOTERM_CC_DIRECT,1,50.0,0.0181347150259068,NDUFAF5,2,1,1,386.0,0.0181347150259068
GO:0045254~pyruvate dehydrogenase complex,pyruvate dehydrogenase complex,"""A multi-enzyme complex that catalyzes the oxidative decarboxylation of pyruvate to form acetyl-CoA. The complex comprises multiple copies of three enzymes referred to as E1, E2 and E3: pyruvate dehydrogenase (E1, which may be a homodimer or a heterotetramer of two alpha and two beta subunits, depending on species), dihydrolipoamide S-acetyltransferase (E2), and dihydrolipoamide dehydrogenase (E3). Additional proteins may also be present."" [PMID:36863425]",GOTERM_CC_DIRECT,1,50.0,0.0181347150259068,PDK1,2,1,1,386.0,0.0181347150259068
GO:0045240~alpha-ketoacid dehydrogenase complex,alpha-ketoacid dehydrogenase complex,"""A multi-enzyme complex that catalyzes the oxidative decarboxylation of an alpha-ketoacid - pyruvate, a branched-chain alpha-ketoacid or alpha-ketoglutarate (also known as 2-oxoglutarate). The complex comprises multiple copies of three enzymes referred to as E1, E2 and E3: a dihydrolipoyl transacylase (E2) forms the core of the complex, with an alpha-ketoacid dehydrogenase (E1) and a dihydrolipoamide dehydrogenase (E3) attached through non-covalent bonds. The E1 and E2 components are specific to different alpha-ketoacid dehydrogenase complexes, whereas the E3 component is the same. Additional proteins may also be present."" [GOC:mah, PMID:10745006]",GOTERM_CC_DIRECT,1,50.0,0.0181347150259068,PDK1,2,1,1,386.0,0.0181347150259068
GO:0099617~matrix side of mitochondrial inner membrane,matrix side of mitochondrial inner membrane,"""The side (leaflet) of the mitochondrial inner membrane that faces the matrix."" [GOC:dos]",GOTERM_CC_DIRECT,1,50.0,0.0181347150259068,NDUFAF5,2,1,1,386.0,0.0181347150259068
WP:WP4871~Kisspeptin kisspeptin receptor system in the ovary,Kisspeptin kisspeptin receptor system in the ovary,Kisspeptin kisspeptin receptor system in the ovary,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,4,96.5,0.01844480862041005
WP:WP3844~PI3K AKT mTOR signaling and therapeutic opportunities in prostate cancer,PI3K AKT mTOR signaling and therapeutic opportunities in prostate cancer,PI3K AKT mTOR signaling and therapeutic opportunities in prostate cancer,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,4,96.5,0.01844480862041005
WP:WP5191~Resolvin E1 and resolvin D1 signaling decrease inflammation,Resolvin E1 and resolvin D1 signaling decrease inflammation,Resolvin E1 and resolvin D1 signaling decrease inflammation,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,2,193.0,0.01844480862041005
WP:WP5094~Orexin receptor pathway,Orexin receptor pathway,Orexin receptor pathway,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,6,64.33333333333333,0.01844480862041005
WP:WP5050~TCA cycle in senescence,TCA cycle in senescence,TCA cycle in senescence,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,2,193.0,0.01844480862041005
WP:WP4760~PKC gamma calcium signaling in ataxia,PKC gamma calcium signaling in ataxia,PKC gamma calcium signaling in ataxia,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,1,386.0,0.01844480862041005
WP:WP2583~T cell receptor and co stimulatory signaling,T cell receptor and co stimulatory signaling,T cell receptor and co stimulatory signaling,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,4,96.5,0.01844480862041005
WP:WP5211~Glucose metabolism in triple negative breast cancer cells,Glucose metabolism in triple negative breast cancer cells,Glucose metabolism in triple negative breast cancer cells,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,1,386.0,0.01844480862041005
WP:WP4707~Aspirin and miRNAs,Aspirin and miRNAs,Aspirin and miRNAs,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,6,64.33333333333333,0.01844480862041005
WP:WP5433~PGK1 PKM2 KHKC KHKA acting as protein kinases,PGK1 PKM2 KHKC KHKA acting as protein kinases,PGK1 PKM2 KHKC KHKA acting as protein kinases,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,1,386.0,0.01844480862041005
WP:WP5437~GNAQ pathways in port wine stain,GNAQ pathways in port wine stain,GNAQ pathways in port wine stain,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,4,96.5,0.01844480862041005
WP:WP4566~Translation inhibitors in chronically activated PDGFRA cells,Translation inhibitors in chronically activated PDGFRA cells,Translation inhibitors in chronically activated PDGFRA cells,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,5,77.2,0.01844480862041005
WP:WP5474~Catabolism of skeletal muscle in cachexia,Catabolism of skeletal muscle in cachexia,Catabolism of skeletal muscle in cachexia,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,6,64.33333333333333,0.01844480862041005
WP:WP4255~Non small cell lung cancer,Non small cell lung cancer,Non small cell lung cancer,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,5,77.2,0.01844480862041005
WP:WP5494~Tyrosine kinase inhibitors in glioblastoma,Tyrosine kinase inhibitors in glioblastoma,Tyrosine kinase inhibitors in glioblastoma,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,2,193.0,0.01844480862041005
WP:WP4206~Hereditary leiomyomatosis and renal cell carcinoma pathway,Hereditary leiomyomatosis and renal cell carcinoma pathway,Hereditary leiomyomatosis and renal cell carcinoma pathway,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,2,193.0,0.01844480862041005
WP:WP3863~T cell antigen receptor TCR pathway during Staphylococcus aureus infection,T cell antigen receptor TCR pathway during Staphylococcus aureus infection,T cell antigen receptor TCR pathway during Staphylococcus aureus infection,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,6,64.33333333333333,0.01844480862041005
WP:WP5531~AKT signaling and ARTD family members,AKT signaling and ARTD family members,AKT signaling and ARTD family members,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,4,96.5,0.01844480862041005
WP:WP3850~Factors and pathways affecting insulin like growth factor IGF1 Akt signaling,Factors and pathways affecting insulin like growth factor IGF1 Akt signaling,Factors and pathways affecting insulin like growth factor IGF1 Akt signaling,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,5,77.2,0.01844480862041005
WP:WP5215~Targeted agents in triple negative breast cancer,Targeted agents in triple negative breast cancer,Targeted agents in triple negative breast cancer,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,5,77.2,0.01844480862041005
WP:WP581~EPO receptor signaling,EPO receptor signaling,EPO receptor signaling,WIKIPATHWAYS,1,50.0,0.01844480862041005,PDK1,2,1,4,96.5,0.01844480862041005
