Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0050779~RNA destabilization,RNA destabilization,"""Any process that decreases the stability of an RNA molecule, making it more vulnerable to degradative processes."" [GOC:ai]",GOTERM_BP_DIRECT,2,100.0,0.0002116892804580553,"DCP2,MEX3D",2,2,3,257.3333333333333,0.0002116892804580553
GO:0061014~positive regulation of mRNA catabolic process,positive regulation of mRNA catabolic process,"""Any process that increases the rate, frequency, or extent of a mRNA catabolic process, the chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [GOC:ascb_2009, GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,2,100.0,0.0002116892804580553,"DCP2,MEX3D",2,2,3,257.3333333333333,0.0002116892804580553
GO:0061157~mRNA destabilization,mRNA destabilization,"""Any process that decreases the stability of an mRNA molecule, making it more vulnerable to degradative processes. Messenger RNA is the intermediate molecule between DNA and protein. It includes UTR and coding sequences. It does not contain introns."" [GOC:dph, GOC:jh]",GOTERM_BP_DIRECT,2,100.0,0.0002116892804580553,"DCP2,MEX3D",2,2,3,257.3333333333333,0.0002116892804580553
GO:0006403~RNA localization,RNA localization,"""A process in which RNA is transported to, or maintained in, a specific location."" [GOC:ai]",GOTERM_BP_DIRECT,2,100.0,0.0002116892804580553,"DCP2,MEX3D",2,2,3,257.3333333333333,0.0002116892804580553
GO:1903313~positive regulation of mRNA metabolic process,positive regulation of mRNA metabolic process,"""Any process that activates or increases the frequency, rate or extent of mRNA metabolic process."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]",GOTERM_BP_DIRECT,2,100.0,0.0002116892804580553,"DCP2,MEX3D",2,2,3,257.3333333333333,0.0002116892804580553
GO:0043487~regulation of RNA stability,regulation of RNA stability,"""Any process that modulates the propensity of RNA molecules to degradation. Includes processes that both stabilize and destabilize RNAs."" [GOC:jl]",GOTERM_BP_DIRECT,2,100.0,0.0006615290014314234,"DCP2,MEX3D",2,2,6,128.66666666666666,0.0006615290014314234
GO:0043488~regulation of mRNA stability,regulation of mRNA stability,"""Any process that modulates the propensity of mRNA molecules to degradation. Includes processes that both stabilize and destabilize mRNAs."" [GOC:jl]",GOTERM_BP_DIRECT,2,100.0,0.0006615290014314234,"DCP2,MEX3D",2,2,6,128.66666666666666,0.0006615290014314234
GO:0061013~regulation of mRNA catabolic process,regulation of mRNA catabolic process,"""Any process that modulates the rate, frequency, or extent of a mRNA catabolic process, the chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [GOC:ascb_2009, GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,2,100.0,0.0006615290014314234,"DCP2,MEX3D",2,2,6,128.66666666666666,0.0006615290014314234
GO:0006402~mRNA catabolic process,mRNA catabolic process,"""The chemical reactions and pathways resulting in the breakdown of mRNA, messenger RNA, which is responsible for carrying the coded genetic 'message', transcribed from DNA, to sites of protein assembly at the ribosomes."" [ISBN:0198506732]",GOTERM_BP_DIRECT,2,100.0,0.0008232360906702147,"DCP2,MEX3D",2,2,7,110.28571428571429,0.0008232360906702147
GO:1903311~regulation of mRNA metabolic process,regulation of mRNA metabolic process,"""Any process that modulates the frequency, rate or extent of mRNA metabolic process."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]",GOTERM_BP_DIRECT,2,100.0,0.0009878833088042577,"DCP2,MEX3D",2,2,8,96.5,0.0009878833088042577
