Term,description,description,Category,Count,%,PValue,Genes,List Total,Count,Pop Total,Fold Enrichment,FDR
GO:0030901~midbrain development,midbrain development,"""The process whose specific outcome is the progression of the midbrain over time, from its formation to the mature structure. The midbrain is the middle division of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes a ventral part containing the cerebral peduncles and a dorsal tectum containing the corpora quadrigemina and that surrounds the aqueduct of Sylvius connecting the third and fourth ventricles)."" [PMID:4975589, PMID:4992177]",GOTERM_BP_DIRECT,2,100.0,0.0004838612124755548,"WNT1,SFRP2",2,2,2,386.0,0.0004838612124755548
GO:1904948~midbrain dopaminergic neuron differentiation,midbrain dopaminergic neuron differentiation,"""The process in which a relatively unspecialized cell acquires the specialized features of a midbrain dopaminergic neuron."" [GO_REF:0000086, GOC:bf, GOC:PARL, GOC:TermGenie, PMID:17331494, PMID:19122665]",GOTERM_BP_DIRECT,2,100.0,0.0004838612124755548,"WNT1,SFRP2",2,2,2,386.0,0.0004838612124755548
GO:0061054~dermatome development,dermatome development,"""The progression of the dermatome over time, from its initial formation to the mature structure. The dermatome is the portion of a somite that will form skin."" [GOC:dph]",GOTERM_BP_DIRECT,2,100.0,0.0004838612124755548,"WNT1,SFRP2",2,2,2,386.0,0.0004838612124755548
GO:0061183~regulation of dermatome development,regulation of dermatome development,"""Any process that modulates the rate, frequency, or extent of the progression of the dermatome over time, from its initial formation to the mature structure. The dermatome is the portion of a somite that will form skin."" [GOC:BHF, GOC:dph]",GOTERM_BP_DIRECT,2,100.0,0.0004838612124755548,"WNT1,SFRP2",2,2,2,386.0,0.0004838612124755548
WP:WP4258~lncRNA in canonical Wnt signaling and colorectal cancer,lncRNA in canonical Wnt signaling and colorectal cancer,lncRNA in canonical Wnt signaling and colorectal cancer,WIKIPATHWAYS,2,100.0,0.0009408412464802453,"WNT1,SFRP2",2,2,8,96.5,0.0009408412464802453
WP:WP428~Wnt signaling,Wnt signaling,Wnt signaling,WIKIPATHWAYS,2,100.0,0.0009408412464802453,"WNT1,SFRP2",2,2,7,110.28571428571429,0.0009408412464802453
WP:WP4336~ncRNAs in Wnt signaling in hepatocellular carcinoma,ncRNAs in Wnt signaling in hepatocellular carcinoma,ncRNAs in Wnt signaling in hepatocellular carcinoma,WIKIPATHWAYS,2,100.0,0.0009408412464802453,"WNT1,SFRP2",2,2,7,110.28571428571429,0.0009408412464802453
GO:0030510~regulation of BMP signaling pathway,regulation of BMP signaling pathway,"""Any process that modulates the frequency, rate or extent of the activity of any BMP receptor signaling pathway."" [GOC:mah]",GOTERM_BP_DIRECT,2,100.0,0.0011612669099413315,"WNT1,SFRP2",2,2,4,193.0,0.0011612669099413315
GO:0045995~regulation of embryonic development,regulation of embryonic development,"""Any process that modulates the frequency, rate or extent of embryonic development."" [GOC:go_curators]",GOTERM_BP_DIRECT,2,100.0,0.0011612669099413315,"WNT1,SFRP2",2,2,4,193.0,0.0011612669099413315
GO:0071425~hematopoietic stem cell proliferation,hematopoietic stem cell proliferation,"""The expansion of a hematopoietic stem cell population by cell division. A hematopoietic stem cell is a stem cell from which all cells of the lymphoid and myeloid lineages develop."" [CL:0000037, GOC:add, GOC:BHF, GOC:mah, GOC:rl]",GOTERM_BP_DIRECT,2,100.0,0.0011612669099413315,"WNT1,SFRP2",2,2,4,193.0,0.0011612669099413315
GO:0071542~dopaminergic neuron differentiation,dopaminergic neuron differentiation,"""The process in which a neuroblast acquires the specialized structural and functional features of a dopaminergic neuron, a neuron that secretes dopamine."" [GOC:rph]",GOTERM_BP_DIRECT,2,100.0,0.0011612669099413315,"WNT1,SFRP2",2,2,4,193.0,0.0011612669099413315
GO:0030514~negative regulation of BMP signaling pathway,negative regulation of BMP signaling pathway,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the BMP signaling pathway."" [GOC:go_curators]",GOTERM_BP_DIRECT,2,100.0,0.0011612669099413315,"WNT1,SFRP2",2,2,3,257.3333333333333,0.0011612669099413315
GO:0090288~negative regulation of cellular response to growth factor stimulus,negative regulation of cellular response to growth factor stimulus,"""Any process that decreases the rate, frequency, or extent of a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:BHF]",GOTERM_BP_DIRECT,2,100.0,0.0011612669099413315,"WNT1,SFRP2",2,2,4,193.0,0.0011612669099413315
GO:0061053~somite development,somite development,"""The progression of a somite from its initial formation to the mature structure. Somites are mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo."" [GOC:dph]",GOTERM_BP_DIRECT,2,100.0,0.0017594953180929244,"WNT1,SFRP2",2,2,5,154.4,0.0017594953180929244
GO:0090101~negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,"""Any process that decreases the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand."" [GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,2,100.0,0.0020736909106095235,"WNT1,SFRP2",2,2,6,128.66666666666666,0.0020736909106095235
GO:0072089~stem cell proliferation,stem cell proliferation,"""The multiplication or reproduction of stem cells, resulting in the expansion of a stem cell population. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [GOC:mtg_kidney_jan10]",GOTERM_BP_DIRECT,2,100.0,0.0020736909106095235,"WNT1,SFRP2",2,2,6,128.66666666666666,0.0020736909106095235
GO:0030509~BMP signaling pathway,BMP signaling pathway,"""The series of molecular signals initiated by the binding of a member of the BMP (bone morphogenetic protein) family to a receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling, ISBN:0878932437, PMID:17428827]",GOTERM_BP_DIRECT,2,100.0,0.0020736909106095235,"WNT1,SFRP2",2,2,6,128.66666666666666,0.0020736909106095235
GO:0071773~cellular response to BMP stimulus,cellular response to BMP stimulus,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus."" [GOC:mah, GOC:yaf]",GOTERM_BP_DIRECT,2,100.0,0.002390843638114506,"WNT1,SFRP2",2,2,7,110.28571428571429,0.002390843638114506
GO:0071772~response to BMP,response to BMP,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a bone morphogenetic protein (BMP) stimulus."" [GOC:mah, GOC:yaf]",GOTERM_BP_DIRECT,2,100.0,0.002390843638114506,"WNT1,SFRP2",2,2,7,110.28571428571429,0.002390843638114506
GO:0021953~central nervous system neuron differentiation,central nervous system neuron differentiation,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron whose cell body resides in the central nervous system."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",GOTERM_BP_DIRECT,2,100.0,0.002390843638114506,"WNT1,SFRP2",2,2,7,110.28571428571429,0.002390843638114506
REAC:R-HSA-201681~TCF dependent signaling in response to WNT,TCF dependent signaling in response to WNT,TCF dependent signaling in response to WNT,REACTOME_PATHWAY,2,100.0,0.0026461160057256886,"WNT1,SFRP2",2,2,13,59.38461538461538,0.0026461160057256886
REAC:R-HSA-195721~Signaling by WNT,Signaling by WNT,Signaling by WNT,REACTOME_PATHWAY,2,100.0,0.0026461160057256886,"WNT1,SFRP2",2,2,15,51.46666666666667,0.0026461160057256886
KEGG:04310~Wnt signaling pathway,Wnt signaling pathway,Wnt signaling pathway,KEGG_PATHWAY,2,100.0,0.003770085280538699,"WNT1,SFRP2",2,2,12,64.33333333333333,0.003770085280538699
GO:0009952~anterior/posterior pattern specification,anterior/posterior pattern specification,"""The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism."" [GOC:dph, GOC:go_curators, GOC:isa_complete, GOC:tb]",GOTERM_BP_DIRECT,2,100.0,0.004354750912279992,"WNT1,SFRP2",2,2,10,77.2,0.004354750912279992
GO:0021915~neural tube development,neural tube development,"""The process whose specific outcome is the progression of the neural tube over time, from its formation to the mature structure. The mature structure of the neural tube exists when the tube has been segmented into the forebrain, midbrain, hindbrain and spinal cord regions. In addition neural crest has budded away from the epithelium."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid]",GOTERM_BP_DIRECT,2,100.0,0.004354750912279992,"WNT1,SFRP2",2,2,10,77.2,0.004354750912279992
GO:2001243~negative regulation of intrinsic apoptotic signaling pathway,negative regulation of intrinsic apoptotic signaling pathway,"""Any process that stops, prevents or reduces the frequency, rate or extent of intrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]",GOTERM_BP_DIRECT,2,100.0,0.004354750912279992,"WNT1,SFRP2",2,2,10,77.2,0.004354750912279992
GO:0090092~regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,"""Any process that modulates the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand."" [GOC:dph, GOC:tb]",GOTERM_BP_DIRECT,2,100.0,0.005069022225934382,"WNT1,SFRP2",2,2,11,70.18181818181819,0.005069022225934382
GO:2001242~regulation of intrinsic apoptotic signaling pathway,regulation of intrinsic apoptotic signaling pathway,"""Any process that modulates the frequency, rate or extent of intrinsic apoptotic signaling pathway."" [GOC:mtg_apoptosis]",GOTERM_BP_DIRECT,2,100.0,0.005806334549706659,"WNT1,SFRP2",2,2,12,64.33333333333333,0.005806334549706659
