uidA,uidB
O95267,P43235
P28482,Q92734
P04004,Q495C1
P07355,P31749
I1YAP6,P10275
P01111,P02461
P00387,P04629
P49841,Q9UGL9
P02751,P30711
P04004,Q9UBU8
P01258,P31997
P10451,Q6W349
P04637,Q8N6C8
P10451,Q8N5I3
Q16539,Q9NP87
P24310,P42574
P17612,Q7Z7L9
P42574,Q12950
P10415,Q9H0R8
O00161,Q04206
P06401,Q6IPT4
P07333,Q8NGC5
P02751,Q9Y5E9
P05997,Q8WWZ3
P17612,P57773
Q9UMW8,Q9Y4K3
P02751,P57727
P41180,Q96JD6
P25940,Q9H583
P02461,Q86XR8
P12643,Q9NPC4
P07333,Q70CQ4
Q9H2F5,Q9UNN8
P49662,Q9Y4K3
Q5T1V6,Q9Y4K3
P04629,Q7Z7L1
A6NLC8,P49841
P10451,Q8N594
P08123,P08758
P04198,Q8NDX1
P31749,Q96IP4
P12524,Q13625
P02818,Q9XRX5
P19838,Q6ZWC4
A0A0B4J2F0,Q9BQB4
E7ERA6,O14788
P12643,Q4ZG55
Q96GW9,Q9Y4K3
P02461,Q6JEL2
O14788,Q8TAD8
P43235,Q9BUQ8
P04629,Q8NGX5
Q9HAZ2,Q9UNN8
A0A1B0GVG6,P29474
Q7Z5A9,Q9Y4K3
P04004,P54849
P12643,Q9UHY7
P10415,Q76NI1
P01106,Q8WUM9
P43235,Q9BZW2
P07900,P31749
A0A075B6N1,P04629
P19838,Q9H9A6
O43172,P20908
O95168,P31749
P06401,Q7Z591
P10451,Q8NCN4
Q9BQB4,Q9BSJ1
P06401,Q9NS91
P10415,P22352
P02751,Q9HCC8
O14967,P06401
P02751,P30041
P05997,Q8NH05
P04637,Q86XL3
O75460,P41180
P41180,Q8IYH5
P04198,Q96NA8
P12643,Q3BBV0
A6NMB1,P01106
O14788,Q9UBD0
P06401,P09661
P05981,P29474
P01258,Q9NR46
P04637,Q92766
P49841,Q9BTK6
P06401,P61020
P25940,Q9UKJ1
P05412,P35659
P01817,P12931
Q96M29,Q9Y4K3
P04004,Q4L235
Q9Y4K3,Q9Y5H2
O95522,P35354
Q16539,Q86SG3
P02452,Q96QR8
P07333,Q14940
P04637,Q12980
P12643,Q96JN8
P02461,Q02952
P10451,Q86W50
P18075,Q8NBN3
P28482,Q86XT4
P35354,Q9NVF7
P28482,Q96NY7
O14788,O60602
P43235,Q86V15
P12524,Q9NRF8
Q96E14,Q9Y4K3
A6NJZ3,Q16539
A6NKL6,P34972
P01258,Q9H1P3
P04629,Q7Z3D4
P08123,P08571
P02452,Q15119
P07333,P30048
P18075,Q96A22
P31749,P34903
P04637,P0DKB6
O00219,P02452
O75953,P49841
P01814,Q16539
P04629,Q9Y345
O43291,P10275
O15063,P29474
P12643,Q9UIV8
P18075,Q96CD0
P01258,Q99946
P05412,P17813
P35354,Q9NPB6
P34972,Q9BW71
A1L020,P19838
P06401,Q9BRT8
P02461,Q99470
P02452,P17661
P04629,P26358
P04004,Q9Y4R8
P04629,Q30KQ4
P05997,P61421
P14927,P43235
P10275,Q8NEL0
A4D1S0,P25940
P0DMW5,P34972
P08123,Q9P2K6
Q16539,Q9NRY5
O95081,P02818
P05412,Q8TDY4
P02452,Q5SQS8
O95264,P23219
P42574,Q6P2H8
P19838,Q8TF30
Q16539,Q8IXI1
P10451,Q9NS73
O77932,P10275
P01106,Q2TAA8
Q9H2X6,Q9Y4K3
P08123,P20336
P07333,Q16828
P19838,Q96GE6
P05412,Q96RG2
P02818,Q9H606
P01258,P61579
P03372,P38117
P04637,Q9BWS9
P18075,Q96DZ9
A0A286YF01,P04004
P02461,Q13155
P02461,Q9NZU5
P29474,Q9Y6A5
P06401,Q5T7P6
O60303,P35354
P04004,Q9H2M3
O43251,P03372
O15479,P06401
P08047,P34972
P10451,Q9BYQ8
P23219,Q8N6K0
P12643,Q9NNX9
P02818,Q9Y2M2
P02452,Q9P2J8
Q6NVU6,Q9BQB4
P28482,Q8N567
P35354,Q8NH95
O75147,P31749
P06401,Q13561
O75293,P04004
P41180,Q04671
P02452,Q9NPH5
P02818,Q01432
P04198,Q9BZA0
O75312,P04004
P01258,Q9BYR5
P02751,Q8IZF3
P01258,Q13873
P20908,Q8N5J4
P05412,P0DN82
O95626,P49841
P01258,P51878
P41180,Q9UKV8
P01258,P14324
P01258,P78345
P23219,Q9UGV2
P10275,Q8N8Q9
P04004,P55000
P05412,Q9ULE6
P29474,Q96LL9
P15391,P34972
P04198,Q7Z7K0
P12524,Q99624
P05412,Q96R47
P34972,Q66K80
P04629,Q3MIN7
