uidA,uidB
O14788,P29466
P10415,Q6ZS11
P08240,P19838
P10275,Q15052
P08123,Q8TEB1
Q96JG9,Q9BQB4
P05060,Q9UNN8
P01106,Q6K0P9
O14788,Q8IYB0
O75223,P29474
P28482,Q96L15
P23219,Q9BWF2
O14788,P49006
P10243,P31749
P10275,Q13227
P10451,Q8TE96
Q16539,Q9UQM7
P06401,Q8N0Y7
P18075,Q969N4
P25940,Q8NEK8
P02818,P11509
O14672,O14788
O95528,P02461
P41180,Q86UL3
P41180,P78414
P02461,Q6ZMY6
P06401,P57086
P03372,P20073
A0A1B0GUV7,Q9Y4K3
P01258,Q02790
P51531,Q9BQB4
Q8TAC9,Q9UNN8
P02818,Q9NSD4
P12931,Q8WWX9
P06401,Q6ZRV3
P04004,Q8N9V7
P10415,P13985
P57735,Q04206
P02751,Q96P64
P08123,Q4KMG9
P0DP24,P25940
P04629,Q9BQR3
P06401,Q9BWD3
Q9NWS0,Q9Y4K3
Q04206,Q96M89
P10415,Q9Y693
P28482,Q6GYQ0
P12524,P29083
P34972,Q8TF01
Q8TAI1,Q9Y4K3
O43521,P34972
P41180,Q9BYW1
P29474,Q96HD9
P17612,Q16720
P41180,Q9H2R5
P39023,Q04206
P02818,Q9UBC2
P07333,Q9NSY2
P04004,Q86VK4
P10415,Q9BYN8
P10415,Q96KC8
P07333,P54868
P31749,Q6NXP6
P10451,Q6VY07
P04629,Q8WYK0
P08123,Q9H116
P28482,P54855
P05412,Q96T55
P04004,Q8NFR7
P01106,P41219
P43235,Q9BSF4
P07333,Q8N4W6
Q8IYE1,Q9BQB4
P23219,Q9UPW5
P10275,Q9Y3A3
P04406,Q9Y4K3
P04198,P13473
P05412,P28223
P10275,Q5SQI0
P02751,Q68D91
P20908,Q9Y2B0
O14788,Q96QR8
P06401,Q9UBU2
P25940,Q12872
P12524,Q7Z5A9
P12643,P54219
P41180,Q9UD57
A6PVY3,Q9Y4K3
O60812,Q9Y4K3
P08123,Q9BXJ4
Q6ZMT9,Q9BQB4
P02818,Q14257
O14788,Q86UF4
Q8WTP9,Q9BQB4
P10275,Q14532
Q96R08,Q9BQB4
O76074,P31749
O14498,P10415
O43524,Q9UNN8
P02818,Q8WWL7
P19838,Q9UKJ1
P35354,Q9C0K7
P03372,Q96HF1
P43235,P55085
P04004,P10720
Q8N9H8,Q9UNN8
P02461,Q9BUB7
P03372,Q5TBK1
Q32MQ0,Q9BQB4
P42574,Q12923
P02452,Q86UU0
P17612,Q13753
A0A2R8Y4Y8,P08123
P08246,Q9UNN8
Q9H322,Q9UNN8
P04004,Q9UBS0
P34972,Q9NPJ3
A0A3B3IRV3,P04637
P04198,Q15573
P41180,Q6N069
O60397,P49841
P34972,Q13907
O14788,P17661
P23219,Q9Y442
P02818,P12314
P04198,Q8NGC8
A8MQ11,Q9Y4K3
Q7Z5J1,Q9BQB4
P31749,Q30KP8
P10415,P11511
O43251,P49841
P04198,P0C7Q6
P10275,P31321
P19838,Q9H0M5
P08910,P41180
P12931,Q9BY44
P41220,P42574
P04004,Q9H0R3
P08123,Q9UK17
P04629,Q9Y4E1
P68036,Q9BQB4
B7U540,P02452
Q9P0T7,Q9UNN8
P20908,Q8N2W9
O95206,P04004
P04004,Q9BX63
P02751,Q9UGM6
P05997,Q9UJU3
P23219,Q9UI36
O95807,P31749
P04004,P0DP25
A0A1B0GTJ6,P04629
P35354,Q658L1
P12931,P82251
P12931,Q8NC24
P34972,P36896
P04629,Q6IPX3
P04004,Q16352
P06401,P18054
P43235,Q9UKL2
P11171,P18075
P25940,Q9BXL6
P29474,Q9NPI8
P04198,Q15853
P04004,P52566
O14788,Q9NPH5
P43235,Q8TBB1
P04629,Q8NFW8
P04198,Q99576
P02452,Q0JRZ9
P12931,Q9BXU0
P04629,P19801
P10415,Q00444
P01258,Q9BYR9
P42574,Q00341
P12643,Q8WWM9
P0DN25,Q9Y4K3
O94868,P07333
P34972,Q96DU9
P01106,Q13572
P04629,P54578
A6NJG2,Q16539
P06401,Q9BRJ2
Q9H0N5,Q9Y4K3
P04198,Q00526
P12643,Q9NPQ8
P35354,Q6ZSR9
P25940,Q5T9Z0
P04198,Q8N2R0
P12643,Q9P2H5
P04629,Q96IL0
P28482,Q6UXP3
P29474,Q5TEZ4
B6A8C7,P29474
P02452,Q7Z442
P43235,Q5HYC2
P02461,Q9H0F5
P46092,Q9UNN8
P23219,Q9Y3P8
P30307,P49841
C9JCN9,P20908
P02452,Q5VV63
P04234,Q9UNN8
P10745,P18075
P08123,Q8NBT0
P20908,Q6BCY4
A8MVA2,P28482
P12643,Q8N3T6
P42574,Q9Y5W9
O14788,O95936
P20908,Q96JH7
P12931,Q8IW36
P07333,Q8N196
P04629,Q9BYG0
P20908,Q8TAU0
A6NNN8,P23219
O43739,P06401
P05412,Q6SZW1
P28482,Q9BXS4
Q9GZR7,Q9UNN8
P02818,Q9P2R7
P10415,Q6NXG1
P19838,P51508
P04637,P18510
P12524,Q9HBF4
A2PYH4,O14788
P41180,Q9UHH9
P10415,Q9H201
P07333,Q96NS8
P23219,Q9H920
P06401,P0C0L5
P36955,Q04206
P23219,Q9H819
P34972,Q16772
O96019,P01258
P31749,Q7L523
Q04206,Q8WWR9
P05997,P0CG33
P02818,Q96G25
Q8IW36,Q9Y4K3
P29474,Q3MIS6
P19838,P20815
P08123,Q03701
P04004,Q9UBY8
P08708,Q04206
P04637,Q5MIZ7
P19838,Q13610
P29474,Q8NGX2
P02818,P23258
P49841,Q5TGI4
P12236,P17612
O14788,Q6ZR62
D6RIA3,P35354
P01258,Q6P474
P04629,P15692
Q7Z494,Q9Y4K3
P35354,Q8TBC5
P25940,Q8NCX0
P10275,P36952
P12524,Q5JXX7
Q9BQB4,Q9HCK0
P02751,Q96MI6
P19838,Q6WBX8
O43516,P02452
P12931,Q9H2S6
P25940,Q8N4B4
P02452,Q12778
P12931,P78312
P42574,Q9Y2B5
P05412,Q9NRR5
P02818,Q9NWS6
P05997,Q9H7C9
O14788,Q96CN4
P04629,P40337
P09681,Q9Y4K3
A8MUP6,P23219
O75808,P04004
O14921,P04637
Q8IXB1,Q9BQB4
P01258,Q6ZSS7
P18075,Q9UL03
P41180,P42224
P41180,Q9HC57
Q04206,Q9P289
P06401,Q9NRW3
P50452,Q9UNN8
P05997,P16422
P12643,Q8ND71
P05412,Q5VVS0
P0DJD8,P17612
P43235,Q8NGA2
P01106,Q9BY43
P04637,Q9BQY9
P42574,Q6PJQ5
P10275,Q9UBY0
O14788,Q8WVB3
A0A3B3IRV3,P29474
P12524,Q96PM9
P31749,P35249
O75054,P04004
Q9UNN8,Q9Y6A9
P49841,Q5JS54
P19838,Q9P2K1
P10275,Q96LY2
P35354,Q8TF47
Q04206,Q99856
P02818,P0DPH7
P05997,Q8NHV5
P20908,Q92834
P04637,Q9BY27
P49841,Q2M3T9
P43235,Q6NT55
P19838,Q99603
O95864,P29474
A6NJY1,P31749
Q8IZS5,Q9Y4K3
P02452,P54829
P04629,Q9NUR3
P28482,P53611
P12643,Q8TBE0
P10275,Q08945
P05412,Q96EP5
A0A1B0GTL2,P04629
P06401,Q96IZ2
Q04206,Q15544
P10415,Q8WXX7
P14921,P49841
P02751,P0DOX6
P23219,Q9H3Y6
P02452,Q8WWR8
Q16539,Q2TBF2
P25940,Q9BXL5
P08185,P20908
A6NCL1,O14788
P05997,P28907
O15067,P34972
P34972,Q86T13
P25940,P40222
E7ETH6,P04629
P02818,P63135
P10275,Q8NDV2
O75351,Q9UNN8
O75173,P08123
Q96I15,Q9BQB4
P02461,Q9NZI2
P29474,Q68DE3
Q9BQB4,Q9Y6X2
O95167,P12524
P08123,Q92974
O14788,Q5F1R6
O14788,Q9Y6K1
P41180,Q9H069
P49841,Q14624
P19838,P62979
P04198,Q9H7C4
P04004,Q5VV41
A8MXV4,P12643
P25940,P32242
P01106,Q9UDR5
P25940,P68543
P17948,P25940
P25940,Q6P589
P49841,Q14012
P05412,Q5VZR4
P28482,P52895
P01106,Q9Y4D8
P04637,Q6UWF9
Q16539,Q9Y4L1
P20908,Q86UE8
P10275,Q69YN4
P0CL84,P12931
P07333,Q96J77
O60783,P42574
P18075,P57055
P35354,Q6PFW1
P10275,Q96L96
P25940,Q99581
P02751,Q9Y468
P03372,Q8NGI8
P35354,Q9UJY1
P02452,Q8NHA4
P43235,Q14916
P31749,Q8N328
P04629,Q6ZPA2
P12643,Q86UY5
P20908,Q6J4K2
P10415,P46379
O15239,P29474
P02751,Q4VC39
P10415,Q53EL9
P20908,Q5VSG8
P05412,Q8N782
O95279,P43235
P43235,Q0VAF6
Q66GS9,Q9UNN8
P18075,Q8IXL7
P43630,Q9UNN8
P31749,Q9Y592
P10451,Q5VV43
P02452,Q6P587
P25940,Q9BYR8
P31749,Q9NS61
P10451,Q15768
P02818,Q15528
P10275,P18089
P17612,P19961
O14788,O43439
P02452,Q92681
Q96DU9,Q9UNN8
A8MW99,P23219
P19838,Q96PV7
O76042,Q16539
P07333,Q5GH77
P29474,Q68BL7
P10451,Q13061
P12931,Q9Y6K8
P04198,Q17RR3
P20908,P30837
P02461,P22607
P02751,Q71SY5
P20908,Q7Z2X7
P42574,Q8WU66
P23219,Q9P013
P05997,P63120
P10275,Q8IXB1
P19838,P62191
P12643,Q8NBN3
O14810,P04198
P20908,P81172
P04198,Q8N4B5
O60909,P19838
A6NC51,P12524
P10415,Q9BT22
O43361,P41180
P12524,Q9Y605
O14788,Q5TFE4
P17029,P34972
A0A0C5B5G6,P04637
O00178,P28482
Q16539,Q8N743
P12524,Q7Z7M9
P19838,Q86TA4
A0A1B0GTK4,P04198
P10451,P78371
P04629,Q86YF9
P20908,Q9Y575
O14788,Q8NGC4
P10415,Q9P2X8
P42574,Q8TEB1
P29474,Q9H841
P02452,P30040
O43837,P05997
Q9NXZ1,Q9Y4K3
P01106,Q9UIC8
P03372,Q9Y6J8
P18075,Q8N5Z5
P0C7P3,P41180
P23219,Q99797
O75626,P43235
Q92537,Q9UNN8
P25940,Q7RTS5
P10415,Q8TDP1
O14802,P18075
P12931,Q902F8
P12524,Q96H40
P31749,Q8NCT3
Q9BQB4,Q9C086
O95433,P10275
P12643,Q5T5F5
P31749,Q8NHP1
A6NDG6,P35354
P20908,Q8TDC3
P01106,Q9BRK5
P08123,Q9UMW8
P43235,Q9NYV4
P04629,P43320
O00217,P01106
O00461,P42574
P10415,P59910
P19838,Q96B77
P29474,Q8IVV7
E5RHQ5,P02818
P07333,Q9NYZ2
P01106,P0DTE4
P02461,Q6ZMB0
P04004,Q5VY09
Q96FM1,Q9BQB4
P17612,Q4AC94
P10451,Q13393
P29474,Q8N335
P02751,Q6PK18
P02452,Q04695
P05997,Q8TDC0
P17612,Q92558
A3QJZ6,P28482
O60331,Q16539
P02818,Q9P2E8
P07333,P50391
P10147,P35354
P43235,P80748
P01106,Q96LW7
P28482,Q9BQQ3
P04198,Q9UI32
P04629,P08861
P02452,Q9H0E2
P21359,P28482
O75908,P41180
P10415,P25940
P01344,P02452
P10415,Q16563
P41180,Q9NYF0
P05412,Q7RTS1
P49366,P49841
P10451,Q8N0Z3
O14788,P01699
P01258,Q8TE54
P31749,Q6UXH8
Q9UNN8,Q9Y617
P02461,P16284
P26885,P35354
O60507,P20908
P51815,Q9UNN8
P13945,P43235
P05997,Q12769
P23219,Q7KZI7
O14788,P21854
P17301,P29474
P01106,P17655
P31749,Q8TAA1
P02452,Q6P5S2
A0A1B0GTR4,P08123
P25940,Q96E17
Q2M385,Q9BQB4
P17509,P25940
P18075,Q96BR6
P02452,Q7Z6W1
P49841,Q13617
P41180,Q8TE68
P31749,Q3KNS6
O15084,P17612
P10415,Q9NTU4
O00622,P19838
Q16539,Q9H0S4
Q8IZF5,Q9Y4K3
O76087,P02751
P12931,Q8NHL6
P05412,Q9BVS4
P10451,Q8NGY2
P19838,P61081
P05412,Q9BWF3
A6NGH7,Q9BQB4
P41180,Q9BQS6
P04198,Q9NVH2
P34972,Q16773
P12931,Q5BKY6
Q04206,Q9BYC2
P01358,Q9Y4K3
Q13557,Q9BQB4
P05997,Q9BPZ7
P0DPI3,P34972
P01106,Q13042
P10415,X6R8R1
P43235,Q2M3M2
O95407,P05412
P02461,Q9BYE9
P04629,P07108
Q04206,Q96N03
A6NM66,P07333
O75956,Q9Y4K3
P03372,Q13103
P02751,Q9HAC7
O15229,Q9UNN8
P01258,Q9NRG4
P07333,Q2M3X9
O00622,Q9BQB4
P42574,Q9H8L6
P49841,Q14050
P08123,Q7RTV2
P28482,Q4VCS5
P01106,Q13642
P29474,Q6ZRM9
B7Z368,P20908
P08123,P0C629
P42574,Q9UK17
A0A0B4J2F2,P43235
P06401,Q9NUG6
O75521,P07333
P03372,Q99767
P25940,Q16816
P42574,Q96RD6
P20908,Q16625
P05997,P78367
P10451,Q8IVW8
P05412,Q15834
O14788,Q5KSL6
P06401,Q14142
P05412,P48230
P04637,Q16539
P17612,Q9BZK8
P10415,Q53GA4
P12524,Q9NYV8
A4UGR9,Q04206
P19838,Q8N4K4
P10451,Q8N6L0
P42574,Q9NY56
P02818,Q9H211
P04637,Q58DX5
P42574,Q9ULH0
P12931,Q9NTZ6
Q9BQB4,Q9C037
P49841,P50990
P12524,Q70HW3
O75382,Q04206
P07333,P09564
O00194,P12643
P28482,Q9C0J8
P28908,Q9UNN8
P03372,Q6ZMT1
P35354,Q6PIV2
P04637,Q06643
O43837,P10451
P02452,Q6UX68
P42574,Q16533
P01009,P43235
Q9BQB4,Q9Y5Y3
P02452,Q6ZU65
P20908,Q9H0N0
P12524,Q9BQI5
P10451,Q9H410
Q8TCJ2,Q9UNN8
P12931,Q9UKU6
P31749,P53634
P19838,P20645
P04004,Q5BKU9
P18075,Q9UFH2
P05412,P0C7X1
P29474,Q96EY1
O94830,P42574
P04198,Q96KQ4
P06401,P0DOX2
P05997,Q15417
P41180,Q9UDY8
P12931,P35030
P08670,P28482
P05412,P58181
P05997,Q8N2S1
P43235,Q9UBB5
P06401,P21675
P20908,Q96EK7
P08123,Q14592
O94776,P49841
P19838,Q9UJA2
P43235,Q96SN8
P42574,Q8IV33
P02452,P84157
P12931,Q13332
P01258,P55786
O75818,P02818
P01258,P58012
P31749,Q8WUW1
P07333,P62857
P05997,P62633
P07333,Q53GQ0
A0A0J9YXY3,P02818
P04004,Q9NRI6
P06401,Q9UKN7
P19838,Q8TBK2
P07333,Q9Y6G5
P02751,Q8NE28
P31749,Q8NEJ9
P18075,Q86VS8
P02461,Q8IWF6
P05997,Q8NG08
O75022,P05412
P04201,P49841
P02461,Q8TAB5
P05997,Q8TAQ2
P43235,Q9HA47
P43235,Q9UI95
P49841,Q6P1L6
P03372,Q99459
P05412,Q04864
P20908,Q9NVV9
P34972,Q9BY78
P01106,Q02156
P17612,Q8N7B1
O14917,P18075
P02461,Q96KC9
P19838,Q8N1V8
P12643,Q8WW59
P0CW24,Q9UNN8
P04637,P17658
P10415,Q13043
P04637,Q5T5Y3
P0C7M8,P41180
P43235,P57737
P04629,P52740
P12643,Q96MB7
P19838,Q9NV88
P04004,Q99619
P42574,Q8N1S5
P08123,Q6ZN08
P05997,P19971
P07306,Q9Y4K3
O60462,P42574
P23219,Q16842
O14788,Q9BUL8
P31749,Q9Y5Y0
O95983,Q9UNN8
P04198,Q9UBN7
P06401,Q6ZMP0
O15127,P49841
P28288,P49841
P35354,P40238
Q04206,Q9BZQ4
P10415,Q92466
P28482,Q86UX6
P04198,Q9NZF1
P29474,Q8TDX6
P10275,P43121
P01857,P35354
P04629,P20290
P04198,Q0VDG4
P17612,Q8WVE6
O15516,P02452
P43235,Q5SZL2
P17612,Q13686
P18075,P51801
P08123,Q99426
P49841,Q8WYR1
P19838,Q9P127
P02818,Q9UNY4
P16519,P43235
P05412,Q8N5C8
P04637,Q96DB9
P34972,Q14353
P23219,Q9NPA3
P20908,Q9UKI9
P02751,P21399
Q30KQ6,Q9BQB4
P34972,Q15517
P02461,Q969J5
P02771,P04629
P01106,Q9Y2V0
P08571,P29474
P12931,Q9ULJ8
P01106,P13804
P04004,Q92736
P07195,P49841
O14788,Q6P1S2
P04004,Q8TD90
P10451,Q8WZ79
P04004,Q9H1B4
P20908,Q9NRM2
P04629,Q8IUA7
P10415,Q9BVC6
P29474,P31268
O14788,Q9BWW9
P05386,P17612
P17612,Q9Y297
P04198,P14550
P04198,Q16181
Q96CG3,Q9Y4K3
Q8N7M2,Q9UNN8
P10451,Q08708
P41180,Q9BZE9
P10275,Q7Z4W1
P31749,Q9H8J5
P34972,Q9H190
O14604,P41180
P12074,P20908
P06730,P41180
O75064,P35354
P02751,P07738
P02452,Q7Z2K6
P11172,P34972
P28482,Q9BW66
P35354,Q96P66
P17612,Q2KHN1
P12643,Q9UBX0
P02818,P55072
P19838,Q6ZMV7
P02818,Q53EU6
P27987,P28482
P02452,Q75QN2
P02461,P15151
P12643,Q8N122
P12524,P32455
P07333,Q3SY17
P35354,Q9UH90
P06401,Q96NJ6
P10451,Q9BQK8
P29474,P56555
P05412,Q8NGC1
P05106,P10415
P10451,Q96A56
Q969W1,Q9Y4K3
P25800,Q9BQB4
P25940,Q5C9Z4
P17612,Q8IXQ4
P01106,Q6MZZ7
P06401,P20800
O43704,P02452
P19838,Q8IUW3
P05111,P41180
P02818,Q3LI67
P34972,Q96L96
P20908,Q9Y4P9
Q16539,Q8IWE2
O00445,P04198
P20908,Q96E66
O95263,P02751
P08123,P33240
P12931,Q4ZIN3
P35354,Q9BXL7
P01106,Q9H6B4
P04004,Q6UXP7
P17612,Q6P9G9
A6NGJ6,Q9UNN8
P20908,Q8NBX0
O14788,Q86SS6
P04629,P59923
P04637,Q8WXG9
P10451,Q8N0V3
P12524,Q8N4X5
A0A075B6L2,Q9UNN8
P02751,Q969K7
P20908,P50995
A8MTB9,Q04206
P05412,Q86Y25
P28482,Q8NH42
P05412,Q9P0K8
P04198,P50416
P01258,Q4LEZ3
P18075,Q8TD86
P17612,Q8N7R0
P20908,Q96E35
Q04206,Q9C0I3
P31749,Q99758
P10451,Q14162
P34972,Q8IXB1
P18075,Q96R84
P15515,Q9Y4K3
O75882,P03372
P43235,Q9ULR3
P10415,Q9H341
P29474,Q76L83
P02452,Q8N8L2
A6NED2,P42574
P09210,P23219
P35354,Q5SQN1
P10451,Q9HAW9
O94985,P08123
P07333,Q86UD4
Q04206,Q8WXF8
P01106,Q75NE6
O43493,P07333
O94916,P29474
O60284,P06401
P02818,Q96A47
O60524,P04637
P02452,Q5VSY0
O60635,P05997
P04629,P24386
Q16539,Q96BF3
A4D256,P49841
O00409,P02751
P04637,Q8IZU0
P17612,Q7Z4Q2
A0AUZ9,P08123
P08123,Q5XUX1
P02751,P59535
P07333,Q96PB1
P02452,Q12768
P18075,Q6ZVU0
P02751,P84103
P34972,Q9H8M7
P04004,Q8IXX5
P19838,Q9HAH7
P28482,Q14186
A0A1B0GTL2,Q9Y4K3
P02751,Q8N755
P10415,Q9NW15
P12931,P35542
O14610,P10275
P12643,Q9UJC5
P20908,Q6SA08
P28482,Q8N8J0
P01624,P34972
P41180,Q9NZ56
P08123,Q96SZ4
P35354,Q92871
Q8IY57,Q9BQB4
O14732,P19838
P17612,Q969X5
P07333,P60328
P18859,Q9BQB4
P28482,Q9UFW8
A6NHR8,P04637
P05015,P35354
P04004,Q6UXK2
P02751,Q99983
O75444,P01258
P04637,Q96IC2
P11926,P42574
P41180,P56377
Q16539,Q9Y2Q0
P17612,P49765
P29474,Q9UKI8
O43246,P49841
P20851,P43235
P31749,P98164
P02461,Q8NEY8
Q9NX78,Q9UNN8
P02818,Q9GZT6
Q9BQB4,Q9H4Q4
P19838,Q9UK11
O95707,P20908
P20908,Q6P1N9
P04004,Q5VUG0
P19838,Q9Y6U7
A6NNN8,P25940
P17612,Q9NRS4
P10415,P33897
P08123,Q96FL9
P35354,Q9C0D5
P02751,Q96NH3
P08123,Q5T6R2
P05997,Q9NXS3
P02818,Q9BSY9
P02461,P59510
P04629,Q9H5X1
Q96BW1,Q9UNN8
P25940,Q13162
O14788,Q14847
P12643,Q6NUN0
P04637,Q9Y267
P02452,Q8TAM2
P10275,Q9NRD1
O43761,P01106
P29474,Q7RTS6
P12524,Q9UBF6
P02461,P84085
P05113,P20908
P29474,Q92535
P10451,Q8IYB3
P10275,P17028
P12643,P19397
O95980,P03372
P18075,Q12815
P07333,Q8NH94
P18075,Q99750
P28482,Q86XS8
P08123,Q9Y5H3
P06401,Q9Y3C8
P41180,Q15612
P04004,Q9BR77
O60422,P20908
P12931,Q6UXB4
O95140,P01106
P04198,Q96AE4
P41180,P61366
P01106,P26951
A0A0U1RRI6,P07333
P10451,Q9NTW7
P30793,Q16539
P18075,Q04771
P43235,Q92882
P07333,Q9GZY4
P12524,Q92888
P35354,Q96SN7
P04198,Q86VB7
O43303,P02461
C9JLR9,P04637
P17612,Q8WYQ9
A8MUP6,P25940
Q8N511,Q9Y4K3
P25940,Q9Y6U3
P03372,Q9P1Z9
P28482,Q2VWA4
P05997,P09496
P04637,Q9UBQ5
P04629,P10745
P05997,Q96KW2
A0A1B0GUY1,P18075
P04198,P23109
P04637,P51810
P42574,Q14693
P0DKB5,P42574
P12643,Q9Y5J9
P10415,P43699
P31749,Q92838
P31749,Q9Y5L2
P43235,Q8WYP5
O14788,Q5T1N1
P41180,Q15813
P04629,P58499
P12643,Q9HC23
P02461,Q9Y5N6
P12524,Q29980
P07333,Q96MR9
P01106,Q9Y4E8
P02812,P07333
Q16539,Q9NQW5
P07333,Q9BPU6
P10275,Q16621
P29474,Q9NP85
P34972,P50583
P04629,Q9H2W2
Q9BQB4,Q9NXF8
A6NCV1,P17612
P01258,Q86YL5
P02461,Q8NFU5
P04004,Q8TE73
P07333,Q95460
P19838,Q6NSI8
P28482,Q13434
P23219,Q6ZMZ0
P49841,P80108
P05412,Q14435
P04637,Q8NGD2
Q969D9,Q9BQB4
P04629,Q8TB03
P34972,Q14296
A3KMH1,P02751
A8CG34,P35354
F7VJQ1,P34972
P02461,P0C879
P01106,Q86VD9
P31749,Q96MY1
P20908,Q9BSY4
O60635,P10451
P13612,P43235
P10275,P85299
Q9NR55,Q9Y4K3
P10451,Q8IVM0
P05997,Q13398
P05997,Q8IZD0
P01106,Q9BW11
P01258,Q8WW24
P03372,Q8NH67
O60888,P05412
P10451,P37802
P31749,P83111
P20226,P34972
P07333,Q96GU1
P42574,Q9Y5I4
P04004,Q6PIY7
O43670,P10451
P06401,Q9H6T3
P04637,Q9HCG7
P25940,Q86Y34
O14788,Q13635
P03372,Q8NGE1
P42574,Q96BQ3
Q8NGT9,Q9BQB4
P12931,Q8IVU3
P49841,Q99943
P02818,Q9Y6X6
P08123,Q9BVR0
P41180,Q99729
P10415,Q8WWP7
C9J069,P42574
P04004,P60660
P04198,P0DW12
O75558,P49841
P04629,Q99909
P08590,P12643
P23219,Q12929
P10275,Q7Z5D8
P19838,Q8NA75
O60320,P03372
P04629,Q8TCG1
P35354,Q13416
P02461,Q8N4S9
P34972,Q9NZN9
P01106,Q96J92
P43235,Q6PII3
P17612,Q9NY74
P41180,Q99612
P02461,Q6ZSN1
O95843,P02461
P29622,P43235
P49841,Q5T619
P04637,Q9Y272
A8MUM7,P28482
P17612,Q15386
O95868,P04629
O95835,Q9UNN8
P19838,P20138
P12643,Q8WW52
P10451,Q9ULY5
P06401,Q07687
P18075,Q15389
O43711,P06401
Q14832,Q9BQB4
P0DMC3,Q9Y4K3
P29474,Q8IZ57
P12931,Q5CZA5
P02751,P63130
P18075,Q16674
P28482,Q96MK2
P10415,Q16878
P18075,Q76KD6
A8MW99,P25940
P34972,Q9UKR3
P03372,Q9NUJ3
P01106,Q58HT5
P17612,Q96EY4
A4IF30,P04629
P04004,Q8NAV1
P25940,Q14508
P10275,Q6PRD7
Q9NPH2,Q9UNN8
P23219,Q8NEM2
P10451,Q9P021
Q04206,Q6V1P9
O43680,P12524
C9JLJ4,P35354
P08123,P24534
P12524,P27469
Q16539,Q9Y5X5
O76013,P17612
P12931,Q5T749
P05997,Q7Z7H5
P04198,Q99598
P05997,Q8NEB5
P10275,Q76KX8
P49841,Q8NFU7
P17612,Q93033
P18075,P41271
P28482,Q13113
O14843,P23219
P00747,P10415
P34972,P83916
P02461,Q9Y6Z7
P26374,Q16539
P20908,Q0VG73
P12643,Q9Y6I0
P02818,Q9HC24
P03372,P49336
P04004,Q86U28
Q5R3K3,Q9Y4K3
P01258,Q5TIE3
P10451,Q9UM19
P15056,P35354
P08123,Q99075
P07333,Q96E16
P18505,Q04206
P08123,Q06418
Q9BQB4,Q9NZQ8
P03372,Q92979
P42574,Q8TAE6
A6NFH5,P12524
P04198,P04843
P35542,P41180
O15130,P07333
Q96CX6,Q9UNN8
P29474,Q8N135
P18075,Q9BYI3
Q16539,Q8IZM9
P43235,P62952
A0A1W2PPG7,P19838
P10114,P28482
Q8IYK8,Q9UNN8
P02751,Q6FI13
P05412,P0C7H8
Q04206,Q9UNN8
P41226,Q04206
O43513,P05997
P12931,Q5VZ52
P28482,P43235
E9PQX1,P17612
P16989,P41180
P23219,Q9HAU4
Q8NHS2,Q9UNN8
P04198,Q15155
P07359,P19838
Q16539,Q53EP0
P02751,Q9NUG4
P12931,Q8NBU5
P18075,Q8N5H3
P04004,Q8NB66
P12931,Q12988
P35354,Q8WW27
O60941,P34972
P12643,Q9BZ98
Q04206,Q86Y46
P28482,Q14593
P08123,Q8IU57
O97980,P18075
H3BPF8,P08123
P02461,Q9Y5Q5
P0CG30,P34972
P12643,Q71F78
P12931,P16444
P06748,P18075
P07333,Q9BXN6
P18075,Q9HC56
P04629,Q8NH06
O14965,P41180
P31749,Q9Y597
P01258,Q6NY19
P07333,Q6UXY1
Q04206,Q15617
A0A1W2PPG7,Q9BQB4
P28482,Q99798
P23219,Q9NRY7
P01106,P0CW24
P05997,Q9NS69
Q04206,Q8WW38
P28482,Q9BQI3
P23219,Q13077
P10415,P40426
P02818,Q8IWN6
P02461,P48788
Q04206,Q13214
P31749,Q96PJ5
P07359,Q9BQB4
O95571,P12931
P02753,P04629
P25940,Q13017
O14782,P31749
P03372,P80404
P16885,P49841
O14788,Q01892
P17612,Q8IZ20
P34972,Q9UGY1
P29474,Q10587
P41180,Q92968
O75409,P04637
P07333,Q9NX65
P01860,P28482
P18075,Q49AM1
P01258,P22694
P41180,Q9NRX3
P02452,Q8N100
P03372,Q9NYP9
P17612,Q86UU9
P04198,P80303
P10275,Q9NZP8
P02461,Q5W0U4
P20908,Q8N1P7
P19838,Q9NZU0
O00217,P02452
P25940,Q538Z0
P29474,Q6UXV4
P04198,Q9C0C4
P42574,Q8N3J6
P49841,Q6PCB6
O75106,P28482
A6NHZ5,Q16539
A0A0K0K1D8,P12524
P06401,Q8NBI5
P10275,Q5VXH5
O14788,P01589
P42574,Q8TCY5
P02818,Q96HJ5
P02818,Q5T871
P41180,Q3KPI0
Q16539,Q9H4M9
P18075,Q9H7Z3
P02818,Q30201
P17612,Q16698
O43541,P10275
P12643,Q8NAP3
P05997,Q8TF64
O14788,P60880
P43235,Q6PKG0
P43235,Q8NBZ0
P19838,Q8N6L1
C9J798,P43235
A6NFI3,P04198
P19838,Q9NUZ1
P04198,Q9H7Z6
O14788,Q9BYD5
P04629,Q8TB73
P02461,Q6ZV73
P01106,Q765P7
P06401,P62263
O14734,P01258
O75394,P05412
P02818,Q9NSN8
P18075,Q9UNM6
P49841,Q9NR19
P07333,Q9BT56
P02452,Q9NVR2
P20908,Q32M78
P29474,Q08209
P18075,Q9HC98
Q04206,Q5T2S8
A0A0A6YYJ7,P10451
P25940,Q9HBI1
P04004,Q06828
P01106,Q9NZJ0
P28482,Q5VZL5
P05412,Q01518
P01106,Q8WX94
P29474,P56277
P10451,Q5QJE6
