uidA,uidB,method,Host_organism_taxid,numParticipants
A0A140VK45,P49662,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q5D1E8,A2A288,"psi-mi:""MI:0018""(two hybrid)",taxid:9606(Homo sapiens),2
Q5D1E8,A2A288,"psi-mi:""MI:0019""(coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q5D1E8,A2A288,"psi-mi:""MI:0069""(mass spectrometry studies of complexes)",taxid:9606(Homo sapiens),2
Q9H4B7,A0A024R7B7,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
A0A384P5H2,A0A384P5H2,"psi-mi:""MI:0090""(protein complementation assay)|psi-mi:""MI:0228""(cytoplasmic complementation assay)|psi-mi:""MI:0230""(membrane bound complementation assay)",taxid:9606(Homo sapiens),2
Q99729,Q05901,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q9BPW0,A0A024R069,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
O60496,A0A024R3Y4,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P0DPK4-2,Q9NRR5,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
A0A024R328,A0A0S2Z5U7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R328,A0A0S2Z5U7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R328,A0A0S2Z5U7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R328,A0A0S2Z5U7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R328,A0A0S2Z5U7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R328,A0A0S2Z5U7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R328,A0A0S2Z5U7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R328,A0A0S2Z5U7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P63162,O76070,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
H9ZYJ2,P42574,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
H9ZYJ2,P42574,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
H9ZYJ2,P42574,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
H9ZYJ2,P42574,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O43765,Q8NI51,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q9NWM0,P11021,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
O95264,P46098,"psi-mi:""MI:0663""(confocal microscopy)",taxid:9606(Homo sapiens),2
A0A0S2Z3L2,Q9BPW0,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
P83731,O43824,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A0A024R2F2,G4XXL9,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P20794,O60303,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q9UKV8,Q9UL18,"psi-mi:""MI:0055""(fluorescent resonance energy transfer)",taxid:9606(Homo sapiens),2
Q9UKV8,Q9UL18,"psi-mi:""MI:0055""(fluorescent resonance energy transfer)",taxid:9606(Homo sapiens),2
Q9UKV8,Q9UL18,"psi-mi:""MI:0055""(fluorescent resonance energy transfer)",taxid:9606(Homo sapiens),2
Q9UKV8,Q9UL18,"psi-mi:""MI:0055""(fluorescent resonance energy transfer)",taxid:9606(Homo sapiens),2
A0A140VK45,Q13418,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P07205,Q6PEW1,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9BYN7,P30837,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q58A54,D9YZV4,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
P00533,A0A024R8H5,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6PG37,A0A024R739,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
P00533,A0A024R8H5,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P00533,A0A024R8H5,"psi-mi:""MI:0112""(ubiquitin reconstruction)",taxid:9606(Homo sapiens),2
A0A024RCR2,A0A384NPU2,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P00533,Q14247,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P00533,Q14247,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P00533,Q14247,"psi-mi:""MI:0112""(ubiquitin reconstruction)",taxid:9606(Homo sapiens),2
Q16778,P61978,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q9ULJ3,O60333,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
O94763,A0A024R904,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q9BZL3,J3KQ12,"psi-mi:""MI:0090""(protein complementation assay)|psi-mi:""MI:0228""(cytoplasmic complementation assay)|psi-mi:""MI:0230""(membrane bound complementation assay)",taxid:9606(Homo sapiens),2
Q86UR5,Q6P1W5,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
P54274,P09467,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
P11274,Q8N4T4,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P41279,O96019-2,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
Q93063,P62273,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9H5K3,P04843,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9UFF9,P78543,"psi-mi:""MI:0018""(two hybrid)",taxid:9606(Homo sapiens),2
Q7Z401,Q9UHB6,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q9ULR3,P61026,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9ULR3,P61026,"psi-mi:""MI:0663""(confocal microscopy)",taxid:9606(Homo sapiens),2
P54274,Q9GZR7,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
Q99558,Q9NR30,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
P09022,O15162,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
P09022,O15162,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
P25054,A0A024RDM6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P25054,A0A024RDM6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P25054,A0A024RDM6,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
P25054,A0A024RDM6,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
P25054,A0A024RDM6,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P25054,A0A024RDM6,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
P25054,A0A024RDM6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P05109,P06702,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P05109,P06702,"psi-mi:""MI:0114""(x-ray crystallography)",taxid:9606(Homo sapiens),2
P23588,Q96AP0,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
Q9P2E9,A7E2E1,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q92576,P17096,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q15714,Q99576,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P18848,P01100,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
P18848,P01100,"psi-mi:""MI:0364""(inferred by curator)",taxid:9606(Homo sapiens),2
P63167,A0A024R770,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P46379,O76071,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A8K401,P55008,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
A0A024R7E4,A8K3M3,"psi-mi:""MI:0019""(coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R7E4,A8K3M3,"psi-mi:""MI:0019""(coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q15393,Q96BE0,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q6ZVT0,A0A024RBB7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6ZVT0,A0A024RBB7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6ZVT0,A0A024RBB7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6ZVT0,A0A024RBB7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6ZVT0,A0A024RBB7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6ZVT0,A0A024RBB7,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P51825,P04608,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
Q8IUG5,Q15149,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A0A024QZQ1,Q9Y5Z7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q8TEH3,Q86SQ0,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
O75592,Q96JN8,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
A0A024QZQ1,Q13085,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q15797,Q9D8T3,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q15797,Q9D8T3,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6ZVT0,A0A024RBB7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6ZVT0,A0A024RBB7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
B3KV54,Q9UNE7,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
P28335,P07550,"psi-mi:""MI:0012""(bioluminescence resonance energy transfer)",taxid:9606(Homo sapiens),2
A0A0B4J269,Q99759,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
Q9NP97,O43521,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P20226,P47902,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9BY44,Q9P2K8,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q16695,Q93079,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A0A024QZT2,Q9Y2D4,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
A0A140VK97,Q9P2M7,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q8TBA6,O43815,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q6NZI2,O95619,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q13541,A0A140VK64,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A1U9X7W7,A0A024QZU0,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
Q9P2S5,B2R4C5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q00613,O60271,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P34998,P04899,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q8TBB5,P19338,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A0A024R0C8,Q14164,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60244,Q96RN5,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60244,Q96RN5,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y6Y0,A0A0S2Z4U0,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024RBD8,A0A024R4R3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024RBD8,A0A024R4R3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024RBD8,A0A024R4R3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024RBD8,A0A024R4R3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q13077,A0A024R8H5,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
Q13077,A0A024R8H5,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
Q9Y2H1,Q15323,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P06422,P49715,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P06422,P49715,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9H444,Q8WUX9,"psi-mi:""MI:0663""(confocal microscopy)",taxid:9606(Homo sapiens),2
Q9H444,Q8WUX9,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
Q99614,A0A024R6B5,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
P0C206,O14503,"psi-mi:""MI:0231""(mammalian protein protein interaction trap)",taxid:9606(Homo sapiens),2
Q5VT66,Q9H5Q4,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
K7PPA8,A0A024QZY1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,A0A024QZY1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,A0A024QZY1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,A0A024QZY1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O95167,O75800,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
O95167,O75800,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P16220,O00470,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P16220,O00470,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P16220,O00470,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P16220,O00470,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R4Q5,A0A024RC37,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q13813,A0A024R9N2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q13813,A0A024R9N2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P41227,Q15052,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P41227,Q15052,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P48023,P45983,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
A0A0U3FYV6,P26367,"psi-mi:""MI:0413""(electrophoretic mobility shift assay)",taxid:9606(Homo sapiens),2
Q13233,G4XH65,"psi-mi:""MI:0019""(coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P41743,Q9BYG4,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A0S2Z4X0,O75581,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P35398-4,Q9BZS1,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P35398-4,Q9BZS1,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P35398-4,Q9BZS1,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q16281,Q00839-2,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A0A024RD80,P24723,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q9NR64,Q8IVD9,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q9H6S0,A2AG06,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q14240,A0A024R8S5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9BQ89,Q9Y597,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P54252,Q16891,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P54252,Q16891,"psi-mi:""MI:0663""(confocal microscopy)",taxid:9606(Homo sapiens),2
P54252,Q16891,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P54252,Q16891,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
B4DYC6,Q9UKT8,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q9Y679,O94817,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9ULD6,P51665,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q5TA81,Q9BQ66,"psi-mi:""MI:0231""(mammalian protein protein interaction trap)",taxid:9606(Homo sapiens),2
O75592,A0A0S2Z391,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q5FBB7,B3KUN1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P49736,Q9UQE7,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P23588,Q9C0D0,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A4D2P1,P53365,"psi-mi:""MI:0012""(bioluminescence resonance energy transfer)",taxid:9606(Homo sapiens),2
A4D2P1,P53365,"psi-mi:""MI:1203""(split luciferase complementation)",taxid:9606(Homo sapiens),2
A4D2P1,P53365,"psi-mi:""MI:0090""(protein complementation assay)|psi-mi:""MI:0228""(cytoplasmic complementation assay)|psi-mi:""MI:0230""(membrane bound complementation assay)",taxid:9606(Homo sapiens),2
A4D2P1,P53365,"psi-mi:""MI:0231""(mammalian protein protein interaction trap)",taxid:9606(Homo sapiens),2
P05455,Q14164,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9P0K8,Q9P0K8,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
Q8NG66-2,Q13451,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
B1AQP2,P0C045,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q8WUY9,Q9Y597,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q8IYD8,A0A384NL93,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q9UNE7,A0A0S2Z4D1,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q4G0X9,A0A0S2Z5T0,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P11171,P30084,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A384MDU9,Q8N157,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q4VXZ2,Q96JG6,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q4VXZ2,Q96JG6,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q4VXZ2,Q96JG6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q4VXZ2,Q96JG6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P54274,Q13509,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
P54274,Q13509,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
A0A024R3Z2,P17676,"psi-mi:""MI:0663""(confocal microscopy)",taxid:9606(Homo sapiens),2
A0A024R3Z2,P17676,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R3Z2,P17676,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R3Z2,P17676,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P29066,A0A024R3C5,"psi-mi:""MI:0012""(bioluminescence resonance energy transfer)",taxid:9606(Homo sapiens),2
P29066,A0A024R3C5,"psi-mi:""MI:0012""(bioluminescence resonance energy transfer)",taxid:9606(Homo sapiens),2
Q92685,O43889,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q92685,O43889,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q16643,B0LPF3,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q9Y266,Q8NA75,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
D2IYK3,P19338,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
P63208,Q6PJ61,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P63208,Q6PJ61,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P63208,Q6PJ61,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P63208,Q6PJ61,"psi-mi:""MI:0231""(mammalian protein protein interaction trap)",taxid:9606(Homo sapiens),2
P63208,Q6PJ61,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P17844,Q13547,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P17844,Q13547,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P17844,Q13547,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9UJF2,O43166,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P68400,A0A024QZQ1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P68400,A0A024QZQ1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q5S007,D0PNI1,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
Q7Z494,A0A024R6U0,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q8WUM4,P23508,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P50402,A0A024R2Q3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P50402,A0A024R2Q3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P50402,A0A024R2Q3,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P50402,A0A024R2Q3,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9UMW8,A0A024R069,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9UMW8,A0A024R069,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q13093,Q16849,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P41091,Q9Y4K3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q7Z4H3,Q76353,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
A0A068F658,A0A0S2Z583,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P36801,O43166,"psi-mi:""MI:1203""(split luciferase complementation)",taxid:9606(Homo sapiens),2
