uidA,uidB,method,Host_organism_taxid,numParticipants
P01112,Q9Y5Z9,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P01112,Q9Y5Z9,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
P01112,Q9Y5Z9,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
P01112,Q9Y5Z9,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
P01112,Q9Y5Z9,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y4K3,Q99759,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
B4DYC6,Q9NYS7,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q13501,Q12923,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q13501,Q12923,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q13501,Q12923,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q13501,Q12923,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O14776,Q76FK4,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A0A024R770,P24385,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R770,P24385,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q14839,Q93079,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
P05771,A0A024RD80,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q8IWZ6,Q8NFJ9,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q8IWZ6,Q8NFJ9,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P83881,Q9NY93,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024RAF1,Q8TB24,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024RAF1,Q8TB24,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024RAF1,Q8TB24,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y4K3,Q13501,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y4K3,Q13501,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y4K3,Q13501,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y4K3,Q13501,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y4K3,Q13501,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y4K3,Q13501,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q8K2C9,Q99933,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
P07550,A0A0S2Z4K2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024QZ08,F1T0F0,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P47756,Q6IBS0,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9UNE7,Q2WGJ6,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q16778,Q14202,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
O15078,Q92834,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q15797,Q9QYE9,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q15797,Q9QYE9,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R2F2,Q9UBQ5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P60153,Q02750-2,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y5V3,A0A0S2Z4Y5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q5JRX3,P61960,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P08413,A0A140VJS3,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P08413,A0A140VJS3,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P08413,A0A140VJS3,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q8NBE8,Q96NU7,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60885,O60563,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60885,O60563,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60885,O60563,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60885,O60563,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60885,O60563,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60885,O60563,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O60885,O60563,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9UIV1,P62324,"psi-mi:""MI:0231""(mammalian protein protein interaction trap)",taxid:9606(Homo sapiens),2
Q9UIV1,P62324,"psi-mi:""MI:0018""(two hybrid)",taxid:9606(Homo sapiens),2
Q9UIV1,P62324,"psi-mi:""MI:1203""(split luciferase complementation)",taxid:9606(Homo sapiens),2
Q6UUV9,P03206,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O14965,O14920,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O14965,O14920,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q13418,Q16531,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P36897,Q99IB8,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
P36897,Q99IB8,"psi-mi:""MI:0663""(confocal microscopy)",taxid:9606(Homo sapiens),2
A0A0S2Z366,A0A0S2Z366,"psi-mi:""MI:0071""(molecular sieving)",taxid:9606(Homo sapiens),2
O43257,Q12888,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O43257,Q12888,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9UKV8,A5YKK6,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P25398,Q15973,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
P51955,Q9BWH2,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q8NHY5,Q15773,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
A0A384P5S0,Q6P3W7,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q04637,P60842,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q04637,P60842,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q04637,P60842,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
Q04637,P60842,"psi-mi:""MI:0019""(coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q04637,P60842,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q04637,P60842,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q04637,P60842,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q04637,P60842,"psi-mi:""MI:0019""(coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q01105,Q15572,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q01105,Q15572,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q01105,Q15572,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q01105,Q15572,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
K7PPA8,P46821,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
