Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,FDR
Other_Cellular_Proteins,Other_Cellular_Proteins,Other_Cellular_Proteins,39,92.86,0.0053222171196778125,MYC; PSMA4; TRAF6; OR51M1; OR13C8; PMS2; ZNF319; OR12D2; UCP3; METTL15P1; TRIB1; GNAT2; OR4K15; EFCAB9; ODF3; OR4X1; PHC2; CC2D1A; OR52D1; OR51A2; KLF3; ZNF547; TFAP2A; FILIP1; OR2A7; OR10H4; OR6C2; CALB2; FAM166C; GCA; OR10A2; OR7D2; EVX1; MAGEB6B; C17orf75; ELAVL3; SAMD15; OR52K2; MAGEB17,42,1035,1.21,0.015966651359033437
Membrane_Proteins,Membrane_Proteins,Membrane_Proteins,2,4.76,0.7991879346599059,RAB24; MITD1,42,1035,0.69,1.0
Cellular Enzymes,Cellular Enzymes,Cellular Enzymes,1,2.38,0.9407355322940147,TSSK6,42,1035,0.37,0.9407355322940147
