Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,FDR
Membrane_Proteins,Membrane_Proteins,Membrane_Proteins,1,25.0,0.24775229166019044,STK16,4,1035,3.64,0.4955045833203809
Other_Cellular_Proteins,Other_Cellular_Proteins,Other_Cellular_Proteins,3,75.0,0.7671054791726728,RPIA; CNTF; NCCRP1,4,1035,0.98,0.7671054791726728
