Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,FDR
Cellular Enzymes,Cellular Enzymes,Cellular Enzymes,1,16.67,0.32722431863203977,MAPK14,6,1035,2.61,0.6544486372640795
Other_Cellular_Proteins,Other_Cellular_Proteins,Other_Cellular_Proteins,5,83.33,0.5748614370911302,BOD1L1; ZNF277; RASEF; PALS1; RAPGEFL1,6,1035,1.09,0.5748614370911302
