Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,FDR
Serum_Proteins,Serum_Proteins,Serum_Proteins,1,50.0,0.007718255636849531,SAA1,2,1035,129.38,0.015436511273699062
Collagens,Collagens,Collagens,1,50.0,0.013487324680664181,COL4A4,2,1035,73.93,0.013487324680664181
