Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,FDR
Membrane_Proteins,Membrane_Proteins,Membrane_Proteins,5,12.5,0.1327671296386977,POPDC3; AADACL4; TNMD; GSG1L2; MCAM,40,1035,1.82,0.6638356481934884
Secreted_Factors,Secreted_Factors,Secreted_Factors,4,10.0,0.23047431789979017,KLK9; ENTPD5; LEFTY2; ST3GAL3,40,1035,1.62,0.5761857947494754
Collagens,Collagens,Collagens,1,2.5,0.241730907300393,COL3A1,40,1035,3.7,0.402884845500655
Cellular Enzymes,Cellular Enzymes,Cellular Enzymes,2,5.0,0.7390090606094878,UEVLD; NUAK2,40,1035,0.78,0.9237613257618598
Other_Cellular_Proteins,Other_Cellular_Proteins,Other_Cellular_Proteins,28,70.0,0.8858040112674616,UTS2R; ZNF311; ZCCHC2; SULT1E1; RUBCNL; MINDY2; HTR1E; FLYWCH1; GOT1L1; CCDC78; PDE7A; ZNF221; OTUD1; ZNF565; IQCM; AMZ2; ERICH6; NOSTRIN; ARHGAP44; PTGER1; SMC1B; ZNF772; SCAF4; GLYATL1; RDH16; IQCF5; P2RY11; C9orf64,40,1035,0.91,0.8858040112674616
