Term,description,Category,Count,%,PValue,Genes,List Total,Pop Total,Fold Enrichment,FDR
Secreted_Factors,Secreted_Factors,Secreted_Factors,6,15.38,0.02864482485396739,IL32; BPIFC; FAM20A; PDGFD; NPIPB7; TREML4,39,1035,2.49,0.17186894912380435
Collagens,Collagens,Collagens,1,2.56,0.23636398753406615,COL1A2,39,1035,3.79,0.7090919626021984
Cellular Enzymes,Cellular Enzymes,Cellular Enzymes,3,7.69,0.459107522840379,CAMK1G; MAPK11; ACP6,39,1035,1.21,0.918215045680758
Immunoglobulins,Immunoglobulins,Immunoglobulins,1,2.56,0.5395129454320252,TMIGD2,39,1035,1.33,0.8092694181480378
Other_Cellular_Proteins,Other_Cellular_Proteins,Other_Cellular_Proteins,27,69.23,0.9036012170514554,NAP1L3; ZNF669; FRMD6-AS1; OR9A1P; UAP1; HOXA13; ERF; SLC2A4RG; PDZD4; USP17L6P; HPD; SF3A1; SMIM23; FOXI1; GAL3ST3; STOX2; CARF; MKRN4P; GPR141; GPATCH2; ZNF718; PUM3; B4GALNT2; OIT3; ADORA3; DDX4; PSMD12,39,1035,0.9,1.0
Membrane_Proteins,Membrane_Proteins,Membrane_Proteins,1,2.56,0.940731509792766,MS4A10,39,1035,0.37,0.9407315097927661
